Recipient,Party,Chamber,Coal Ratio,Hydro Ratio,Nuclear Ratio,Oil Ratio,Solar Ratio,Wind Ratio
"Portman, Rob",0,0,0.07920394009448185,0.19599959794954266,0.23138003819479344,0.40798070157804806,0.018092270579957784,0.0673434516031762
"Blunt, Roy",0,0,0.13761467889908258,0.17737003058103976,0.25076452599388377,0.3751274209989806,0.0020387359836901123,0.05708460754332314
"Angle, Sharron",0,0,0.45454545454545453,0.0,0.0,0.5454545454545454,0.0,0.0
"Fiorina, Carly",0,0,0.15384615384615385,0.0,0.0,0.8461538461538461,0.0,0.0
"Buck, Ken",0,0,0.10578718108276292,0.04044803982576229,0.04044803982576229,0.8070939639079029,0.0,0.006222775357809583
"Mongiardo, Daniel",0,0,1.0,0.0,0.0,0.0,0.0,0.0
"Rubio, Marco",0,0,0.06511576898296023,0.1268043922299752,0.13879940230578366,0.6161596775741291,0.0,0.05312075890715177
"Toomey, Pat",0,0,0.11674008810572688,0.17420905086103325,0.2002402883460152,0.4597517020424509,0.0,0.04905887064477373
"Kirk, Mark",0,0,0.18333333333333332,0.09761904761904762,0.09285714285714286,0.46190476190476193,0.023809523809523808,0.14047619047619048
"Burr, Richard",0,0,0.06566850538481744,0.19700551615445233,0.20751247701602313,0.43919096401365904,0.014447071184659837,0.07617546624638823
"Rossi, Dino",0,0,0.08571428571428572,0.0,0.0,0.9142857142857143,0.0,0.0
"Templeman, Mike",0,0,1.0,0.0,0.0,0.0,0.0,0.0
"Johnson, Ron",0,0,0.06845238095238096,0.13988095238095238,0.16071428571428573,0.5238095238095238,0.0,0.10714285714285714
"McKinley, David",0,0,0.23698884758364314,0.16728624535315986,0.23698884758364314,0.34386617100371747,0.0,0.01486988847583643
"Bayh, Evan",0,0,0.14285714285714285,0.20408163265306123,0.3197278911564626,0.2789115646258503,0.0,0.05442176870748299
"Young, Todd",0,0,0.14484679665738162,0.10027855153203342,0.11420612813370473,0.5181058495821727,0.0,0.12256267409470752
"Sullivan, John",0,0,0.05641025641025641,0.09230769230769231,0.20256410256410257,0.6230769230769231,0.0,0.02564102564102564
"Burns, Timothy R",0,0,0.24489795918367346,0.04081632653061224,0.04081632653061224,0.673469387755102,0.0,0.0
"Gibbs, Bob",0,0,0.12846715328467154,0.15328467153284672,0.23503649635036497,0.41605839416058393,0.0,0.06715328467153285
"Boren, Dan",0,0,0.05260594252313687,0.034096444227959086,0.043838285435947394,0.8694593278129567,0.0,0.0
"Whitfield, Ed",0,0,0.10052910052910052,0.23885109599395313,0.3318216175359032,0.2842025699168556,0.0030234315948601664,0.04157218442932729
"Rogers, Hal",0,0,0.29308106102763865,0.09274717121127805,0.20608421443145983,0.27824151363383415,0.0,0.12984603969578928
"Manchin, Joe",0,0,0.12197802197802197,0.27692307692307694,0.34835164835164834,0.2098901098901099,0.002197802197802198,0.04065934065934066
"Davis, Geoff",0,0,0.18285714285714286,0.10285714285714286,0.10285714285714286,0.46285714285714286,0.0,0.14857142857142858
"Hurt, Robert",0,0,0.058823529411764705,0.08333333333333333,0.16176470588235295,0.5245098039215687,0.0,0.1715686274509804
"Chabot, Steve",0,0,0.027750247770069375,0.28344895936570863,0.28344895936570863,0.3280475718533201,0.0,0.07730426164519326
"Altmire, Jason",0,0,0.19833596128482037,0.2776703457987485,0.3421295332163151,0.10748817421830839,0.0,0.07437598548180763
"Specter, Arlen",0,0,0.15950920245398773,0.19631901840490798,0.19631901840490798,0.4110429447852761,0.0,0.03680981595092025
"Bunning, Jim",0,0,0.12,0.2,0.38,0.18,0.0,0.12
"Costello, Jerry F",0,0,0.19708029197080293,0.26277372262773724,0.3722627737226277,0.06569343065693431,0.0,0.10218978102189781
"Harris, Andy",0,0,0.11654135338345864,0.007518796992481203,0.007518796992481203,0.868421052631579,0.0,0.0
"Maynard, Elliott",0,0,1.0,0.0,0.0,0.0,0.0,0.0
"Donnelly, Joe",0,0,0.11864406779661017,0.2937853107344633,0.3107344632768362,0.05649717514124294,0.02824858757062147,0.192090395480226
"Griffith, Morgan",0,0,0.16509550775123408,0.18470059929669314,0.24042033316273465,0.35715936669363224,0.0,0.052624193095705867
"Coats, Dan",0,0,0.05818181818181818,0.14909090909090908,0.23272727272727273,0.48727272727272725,0.0,0.07272727272727272
"Cantor, Eric",0,0,0.08608496099641806,0.11563651477130785,0.18238839121117797,0.5198056859647437,0.0,0.09608444705635241
"Dorgan, Byron L",0,0,0.06533670180329297,0.3094346197403955,0.4038098556784854,0.14882248744083398,0.0,0.07259633533699218
"Ross, Mike",0,0,0.05102040816326531,0.1870748299319728,0.29931972789115646,0.4421768707482993,0.0,0.02040816326530612
"Boozman, John",0,0,0.05423728813559322,0.17627118644067796,0.2711864406779661,0.4711864406779661,0.0,0.02711864406779661
"Thompson, Glenn",0,0,0.0662786938247656,0.22356935014548981,0.22680245716133204,0.4203039120594892,0.0,0.06304558680892337
"Ayotte, Kelly",0,0,0.0285204991087344,0.2014260249554367,0.18716577540106952,0.5365418894830659,0.0035650623885918,0.0427807486631016
"Lincoln, Blanche",0,0,0.03605740338619082,0.2023220967780707,0.26683279781412006,0.4587302986354276,0.0,0.03605740338619082
"Guthrie, Brett",0,0,0.05812574139976275,0.20759193357058126,0.21708185053380782,0.4483985765124555,0.0,0.06880189798339265
"Bartlett, Roscoe G",0,0,0.17777777777777778,0.13333333333333333,0.15555555555555556,0.26666666666666666,0.0,0.26666666666666666
"McCaskill, Claire",0,0,0.1211152290288981,0.3058159532979677,0.491316038078628,0.0,0.015139403628612262,0.06661337596589395
"Capito, Shelley Moore",0,0,0.21363013963405825,0.1159717517227909,0.16887114724546745,0.461852414755676,0.0,0.03967454664200741
"Lummis, Cynthia",0,0,0.22986577181208054,0.053691275167785234,0.06040268456375839,0.639261744966443,0.0,0.016778523489932886
"Shimkus, John",0,0,0.08060801473975127,0.28420082911100875,0.31690465223399356,0.27176416397973285,0.0009212344541685859,0.045601105481345
"Salazar, John",0,0,0.13793103448275862,0.20689655172413793,0.22413793103448276,0.43103448275862066,0.0,0.0
"Paul, Rand",0,0,0.21063564603240548,0.14125467386788534,0.14956377233070212,0.4736186123805567,0.0,0.024927295388450354
"Rehberg, Denny",0,0,0.24113475177304963,0.19858156028368795,0.20567375886524822,0.3475177304964539,0.0,0.0070921985815602835
"Emerson, Jo Ann",0,0,0.16875,0.275,0.35,0.0875,0.0,0.11875
"Matheson, Jim",0,0,0.06683081252198382,0.1969750263805839,0.22001406964474146,0.4387970453746043,0.0,0.07738304607808653
"Barr, Andy",0,0,0.2948237059264816,0.10202550637659415,0.10502625656414104,0.45311327831957987,0.0,0.0450112528132033
"Lee, Mike",0,0,0.08688097306689835,0.11120764552562988,0.11120764552562988,0.6689834926151172,0.0,0.021720243266724587
"Thune, John",0,0,0.05687203791469194,0.2259083728278041,0.21800947867298578,0.3981042654028436,0.011058451816745656,0.09004739336492891
"Rockefeller, Jay",0,0,0.23809523809523808,0.2857142857142857,0.3333333333333333,0.047619047619047616,0.0,0.09523809523809523
