Recipient,Total,Party,Chamber
"Blackburn, Marsha",83700,Republican,House
"Nadler, Jerrold",1000,Democrat,House
"Deutch, Ted",1000,Democrat,House
"Collins, Doug",18500,Republican,House
"Bass, Karen",1000,Democrat,House
"Feinstein, Dianne",8500,Democrat,Senate
"Heitkamp, Heidi",69500,Democrat,Senate
"Brady, Kevin",135000,Republican,House
"Cornyn, John",26800,Republican,Senate
"Carter, John",33500,Republican,House
"Roberts, Kevin",10500,Republican,House
"Cotton, Tom",7500,Republican,Senate
"Culberson, John",68500,Republican,House
"Crenshaw, Dan",22200,Republican,House
"Olson, Pete",83200,Republican,House
"Cuellar, Henry",87500,Democrat,House
"Roy, Chip",21000,Republican,House
"Mullin, Markwayne",95000,Republican,House
"Russell, Steven",44000,Republican,House
"Barrasso, John A",128500,Republican,Senate
"Scalise, Steve",105000,Republican,House
"Cheney, Liz",33500,Republican,House
"Cole, Tom",35000,Republican,House
"Johnson, Bill",48500,Republican,House
"McCarthy, Kevin",114000,Republican,House
"Marino, Tom",10000,Republican,House
"Kelly, Mike",62000,Republican,House
"Lucas, Frank D",37500,Republican,House
"Walden, Greg",113500,Republican,House
"McCaul, Michael",52000,Republican,House
"Reed, Tom",30500,Republican,House
"Kennedy, John",12500,Republican,Senate
"Flores, Bill",84700,Republican,House
"Marchant, Kenny",46500,Republican,House
"McHenry, Patrick",60000,Republican,House
"Johnson, Mike",26000,Republican,House
"Shimkus, John",69500,Republican,House
"Hudson, Richard",52500,Republican,House
"Hurd, Will",111200,Republican,House
"Hern, Kevin",31500,Republican,House
"Graves, Garret",73200,Republican,House
"Cruz, Ted",82800,Republican,Senate
"Conaway, Mike",43900,Republican,House
"Ratcliffe, John",33000,Republican,House
"Latta, Robert E",47500,Republican,House
"Veasey, Marc",27000,Democrat,House
"Thompson, Glenn",25000,Republican,House
"Stivers, Steve",53500,Republican,House
"Balderson, Troy",32000,Republican,House
"Joyce, David P",23500,Republican,House
"Shuster, Bill",45000,Republican,House
"Perry, Scott",18500,Republican,House
"Ryan, Tim",6500,Democrat,House
"Rodgers, Cathy McMorris",53500,Republican,House
"Tipton, Scott",43000,Republican,House
"Perlmutter, Ed",2500,Democrat,House
"Zeldin, Lee",19500,Republican,House
"Richmond, Cedric",44000,Democrat,House
"Katko, John",35500,Republican,House
"Frelinghuysen, Rodney",17500,Republican,House
"Coffman, Mike",50500,Republican,House
"Reschenthaler, Guy",35500,Republican,House
"Costa, Jim",53500,Democrat,House
"Kinzinger, Adam",28000,Republican,House
"Castro, Joaquin",10000,Democrat,House
"Inhofe, James M",31689,Republican,Senate
"Calvert, Ken",25500,Republican,House
"Stewart, Chris",33500,Republican,House
"Sessions, Pete",84000,Republican,House
"Tiberi, Pat",22500,Republican,House
"Guthrie, Brett",33000,Republican,House
"Gibbs, Bob",18500,Republican,House
"Walorski, Jackie",44000,Republican,House
"McKinley, David",28500,Republican,House
"Davis, Rodney",47000,Republican,House
"Saccone, Rick",21000,Republican,House
"Vela, Filemon",19000,Democrat,House
"Doyle, Mike",1000,Democrat,House
"Hoyer, Steny H",14500,Democrat,House
"Larsen, Rick",13500,Democrat,House
"Lamborn, Douglas L",22000,Republican,House
"Schrader, Kurt",34000,Democrat,House
"Duncan, Jeff",33000,Republican,House
"Ryan, Paul",51000,Republican,House
"McSally, Martha",84000,Republican,House
"Gottheimer, Josh",7500,Democrat,House
"Hawley, Josh",74000,Republican,Senate
"Walters, Mimi",63500,Republican,House
"Strange, Luther",49500,Republican,Senate
"Heller, Dean",92000,Republican,Senate
"Fitzpatrick, Brian",23000,Republican,House
"Comstock, Barbara",39500,Republican,House
"Nunes, Devin",52000,Republican,House
"Handel, Karen",49500,Republican,House
"Denham, Jeff",88000,Republican,House
"Curbelo, Carlos",38000,Republican,House
"Poliquin, Bruce",37500,Republican,House
"Knight, Steve",38000,Republican,House
"Scott, Rick",52500,Republican,Senate
"Newhouse, Dan",20000,Republican,House
"Valadao, David",34500,Republican,House
"Renacci, Jim",50000,Republican,House
"Upton, Fred",53500,Republican,House
"Tenney, Claudia",25500,Republican,House
"Wicker, Roger",67200,Republican,Senate
"Flake, Jeff",46700,Republican,Senate
"Braun, Mike",52500,Republican,Senate
"Wittman, Rob",10000,Republican,House
"Roby, Martha",27000,Republican,House
"Paulsen, Erik",49700,Republican,House
"Smith, Jason",26000,Republican,House
"Stauber, Pete",24500,Republican,House
"Stefanik, Elise",30000,Republican,House
"Bacon, Donald John",27000,Republican,House
"Holding, George",42000,Republican,House
"Kim, Young",27000,Republican,House
"Fischer, Deb",29000,Republican,Senate
"Rice, Tom",25500,Republican,House
"Donovan, Dan",34000,Republican,House
"Correa, Lou",21000,Democrat,House
"Buchanan, Vernon",27000,Republican,House
"Westerman, Bruce",43000,Republican,House
"LaHood, Darin",35500,Republican,House
"Housley, Karin",22500,Republican,Senate
"Lipinski, Daniel",10500,Democrat,House
"Weber, Randy",51700,Republican,House
"Hyde-Smith, Cindy",62200,Republican,Senate
"Corker, Bob",17500,Republican,Senate
"Hatch, Orrin G",53000,Republican,Senate
"Cook, Paul",7500,Republican,House
"Lewis, Jason",31000,Republican,House
"Issa, Darrell",15000,Republican,House
"Huizenga, Bill",34500,Republican,House
"Wagner, Ann L",18500,Republican,House
"Vukmir, Leah",10000,Republican,Senate
"Love, Mia",22000,Republican,House
"Royce, Ed",14000,Republican,House
"Rubio, Marco",6500,Republican,Senate
"Duffy, Sean P",27000,Republican,House
"Palazzo, Steven",12000,Republican,House
"Brooks, Susan",17500,Republican,House
"Smucker, Lloyd",32500,Republican,House
"Emmer, Tom",27500,Republican,House
"Peterson, Collin",26500,Democrat,House
"Budd, Ted",19500,Republican,House
"Roskam, Peter",53500,Republican,House
"Yoder, Kevin",28500,Republican,House
"Bishop, Rob",29250,Republican,House
"Woodall, Rob",15000,Republican,House
"Sewell, Terri A",11750,Democrat,House
"Long, Billy",45500,Republican,House
"Barr, Andy",36000,Republican,House
"Kilmer, Derek",7500,Democrat,House
"Bishop, Mike",31500,Republican,House
"Taylor, Scott",20500,Republican,House
"Kelly, Trent",6500,Republican,House
"Walberg, Tim",33000,Republican,House
"Granger, Kay",3000,Republican,House
"Gallagher, Mike",20500,Republican,House
