Recipient,Total,Party,Chamber
"McClintock, Tom",1000,Republican,House
"Welch, Peter",2000,Democrat,House
"Reschenthaler, Guy",4000,Republican,House
"Casperson, Tom",500,Republican,House
"Blackburn, Marsha",21000,Republican,House
"Holding, George",10000,Republican,House
"Duncan, Jeff",13000,Republican,House
"McSally, Martha",15000,Republican,House
"Walker, Mark",10000,Republican,House
"Visclosky, Pete",9500,Democrat,House
"Brooks, Susan",7500,Republican,House
"Adams, Alma",9000,Democrat,House
"Rouzer, David",9000,Republican,House
"Strange, Luther",36500,Republican,Senate
"Norman, Ralph",3000,Republican,House
"Tester, Jon",20000,Democrat,Senate
"Price, David",8000,Democrat,House
"Pittenger, Robert",5000,Republican,House
"Meadows, Mark",7500,Republican,House
"Foxx, Virginia",9000,Republican,House
"Carson, Andre",7000,Democrat,House
"Butterfield, G K",10000,Democrat,House
"Tonko, Paul",12500,Democrat,House
"Braun, Mike",5000,Republican,Senate
"Fleischmann, Chuck",14000,Republican,House
"Chabot, Steve",13000,Republican,House
"Hatch, Orrin G",20000,Republican,Senate
"Fudge, Marcia L",16000,Democrat,House
"Wenstrup, Brad",15000,Republican,House
"Soto, Darren",5000,Democrat,House
"Braun, Steve",5000,Republican,House
"Barletta, Lou",16000,Republican,House
"Bucshon, Larry",5000,Republican,House
"Barr, Andy",15000,Republican,House
"Hyde-Smith, Cindy",12000,Republican,Senate
"Housley, Karin",4500,Republican,Senate
"Byrne, Bradley",19500,Republican,House
"Kaptur, Marcy",14500,Democrat,House
"Valadao, David",4500,Republican,House
"Dunn, Neal",8000,Republican,House
"Nunes, Devin",6500,Republican,House
"Yarmuth, John A",5500,Democrat,House
"Diaz-Balart, Mario",5000,Republican,House
"Banks, Jim",4000,Republican,House
"Lawson, Al",4000,Democrat,House
"Simpson, Mike",15000,Republican,House
"Demings, Val",6000,Democrat,House
"Jones, Doug",10500,Democrat,Senate
"Gonzalez, Anthony",10800,Republican,House
"Kustoff, David",4500,Republican,House
"Walters, Mimi",12500,Republican,House
"Arrington, Jodey",13500,Republican,House
"Wilson, Joe",7000,Republican,House
"Rokita, Todd",3500,Republican,House
"Hollingsworth, Trey",3000,Republican,House
"Denham, Jeff",10000,Republican,House
"Webster, Daniel",3000,Republican,House
"Katko, John",9500,Republican,House
"Rodgers, Cathy McMorris",20000,Republican,House
"Corker, Bob",6500,Republican,Senate
"Heller, Dean",16000,Republican,Senate
"Hamilton, Dan",2500,Republican,House
"McCaul, Michael",6500,Republican,House
"Gottheimer, Josh",2500,Democrat,House
"Black, Diane",2500,Republican,House
