Recipient,Total,Party,Chamber
"Johnson, Dusty",3000,Republican,House
"Casten, Sean",9000,Democrat,House
"Mullin, Markwayne",8500,Republican,House
"Arrington, Jodey",6000,Republican,House
"Gardner, Cory",2000,Republican,Senate
"Shimkus, John",9500,Republican,House
"Donnelly, Joe",8500,Democrat,Senate
"Kaine, Tim",9076,Democrat,Senate
"Heitkamp, Heidi",11000,Democrat,Senate
"Ryan, Paul",10000,Republican,House
"Gillibrand, Kirsten",1000,Democrat,Senate
"Baldwin, Tammy",6500,Democrat,Senate
"Kennedy, Joe III",10500,Democrat,House
"Brown, Sherrod",10000,Democrat,Senate
"Handel, Karen",8000,Republican,House
"Tester, Jon",8000,Democrat,Senate
"Casey, Bob",10000,Democrat,Senate
"Roskam, Peter",11000,Republican,House
"Menendez, Robert",7500,Democrat,Senate
"McCaskill, Claire",6500,Democrat,Senate
"Barrasso, John A",17000,Republican,Senate
"Bustos, Cheri",11000,Democrat,House
"Paulsen, Erik",11000,Republican,House
"Holding, George",14000,Republican,House
"Tonko, Paul",11000,Democrat,House
"Nunes, Devin",11000,Republican,House
"Kelly, Mike",10000,Republican,House
"Stabenow, Debbie",12000,Democrat,Senate
"Cheney, Liz",5000,Republican,House
"Nelson, Bill",9000,Democrat,Senate
"Scalise, Steve",11500,Republican,House
"Heinrich, Martin",13000,Democrat,Senate
"Himes, Jim",5500,Democrat,House
"Brady, Kevin",16000,Republican,House
"Kinzinger, Adam",13000,Republican,House
"Neal, Richard E",11000,Democrat,House
"Pallone, Frank Jr",13000,Democrat,House
"Hoyer, Steny H",12000,Democrat,House
"McHenry, Patrick",10000,Republican,House
"Ryan, Tim",10000,Democrat,House
"Kind, Ron",10000,Democrat,House
"Clyburn, James E",10000,Democrat,House
"Thornberry, Mac",11000,Republican,House
"Rodgers, Cathy McMorris",12000,Republican,House
"Walorski, Jackie",14000,Republican,House
"Moulton, Seth",10000,Democrat,House
"Crowley, Joseph",10000,Democrat,House
"Lucas, Frank D",12000,Republican,House
"McCarthy, Kevin",14000,Republican,House
"Stivers, Steve",10000,Republican,House
"Heller, Dean",7500,Republican,Senate
"Whitehouse, Sheldon",2000,Democrat,Senate
"Faso, John",7000,Republican,House
"Morelle, Joseph D",1000,Democrat,House
"Manchin, Joe",10000,Democrat,Senate
"Hatch, Orrin G",4000,Republican,Senate
"Turner, Michael R",9000,Republican,House
"Knight, Steve",9000,Republican,House
"Kuster, Ann",10000,Democrat,House
"Granger, Kay",8500,Republican,House
"Luetkemeyer, Blaine",8500,Republican,House
"Rogers, Mike D",8500,Republican,House
"Visclosky, Pete",8500,Democrat,House
"Long, Billy",8500,Republican,House
"Reed, Tom",14000,Republican,House
"Wagner, Ann L",8500,Republican,House
"Larsen, Rick",8500,Democrat,House
"Denham, Jeff",14500,Republican,House
"Carter, Buddy",8000,Republican,House
"Smith, Jason",8500,Republican,House
"Moore, Gwen",8500,Democrat,House
"Stefanik, Elise",10500,Republican,House
"Comstock, Barbara",8000,Republican,House
"Gallagher, Mike",8000,Republican,House
"Murphy, Christopher S",4500,Democrat,Senate
"Lipinski, Daniel",9000,Democrat,House
"Welch, Peter",9000,Democrat,House
"Bera, Ami",10000,Democrat,House
"Roby, Martha",8000,Republican,House
"Peters, Scott",10000,Democrat,House
"Collins, Chris",8000,Republican,House
"Veasey, Marc",8000,Democrat,House
"Smith, Adam",8000,Democrat,House
"Graves, Garret",9000,Republican,House
"Rochester, Lisa Blunt",8500,Democrat,House
"Crenshaw, Dan",2500,Republican,House
"Capuano, Michael E",5000,Democrat,House
"DelBene, Suzan",8500,Democrat,House
