Recipient,Total,Party,Chamber
"McCaskill, Claire",9000,Democrat,Senate
"Wagner, Ann L",21500,Republican,House
"LaHood, Darin",14500,Republican,House
"Kinzinger, Adam",22500,Republican,House
"Bost, Mike",16000,Republican,House
"Shimkus, John",74500,Republican,House
"Graves, Sam",10000,Republican,House
"Long, Billy",16500,Republican,House
"Luetkemeyer, Blaine",13000,Republican,House
"Davis, Rodney",18500,Republican,House
"Smith, Jason",20500,Republican,House
"Clay, William L Jr",10000,Democrat,House
"Hartzler, Vicky",10000,Republican,House
"Bustos, Cheri",24500,Democrat,House
"Olson, Pete",22500,Republican,House
"Ryan, Paul",25000,Republican,House
"Walden, Greg",66000,Republican,House
"McCarthy, Kevin",37000,Republican,House
"Brady, Kevin",56500,Republican,House
"Nelson, Bill",5700,Democrat,Senate
"Heitkamp, Heidi",16000,Democrat,Senate
"Davis, Danny K",11500,Democrat,House
"Manchin, Joe",33000,Democrat,Senate
"Johnson, Bill",35000,Republican,House
"Bilirakis, Gus",14000,Republican,House
"Griffith, Morgan",25000,Republican,House
"Lance, Leonard",11500,Republican,House
"Duckworth, Tammy",3000,Democrat,Senate
"Walberg, Tim",25000,Republican,House
"Scalise, Steve",31000,Republican,House
"Donnelly, Joe",14000,Democrat,Senate
"Doyle, Mike",22500,Democrat,House
"Burr, Richard",2000,Republican,Senate
"Wicker, Roger",28500,Republican,Senate
"Roskam, Peter",13000,Republican,House
"Buchanan, Vernon",14000,Republican,House
"Paulsen, Erik",20000,Republican,House
"Yoder, Kevin",19500,Republican,House
"Scott, Tim",8500,Republican,Senate
"Kaine, Tim",14500,Democrat,Senate
"Tiberi, Pat",16000,Republican,House
"Cleaver, Emanuel",1000,Democrat,House
"Stivers, Steve",18500,Republican,House
"Cruz, Ted",17500,Republican,Senate
"Hoyer, Steny H",51500,Democrat,House
"Upton, Fred",56500,Republican,House
"Clyburn, James E",36000,Democrat,House
"Cornyn, John",9000,Republican,Senate
"McHenry, Patrick",13500,Republican,House
"Harper, Gregg",12000,Republican,House
"Guthrie, Brett",13000,Republican,House
"Richmond, Cedric",26000,Democrat,House
"Hultgren, Randy",12500,Republican,House
"Fischer, Deb",25500,Republican,Senate
"Neal, Richard E",28000,Democrat,House
"Pallone, Frank Jr",21000,Democrat,House
"Casey, Bob",16500,Democrat,Senate
"Hurd, Will",21500,Republican,House
"Womack, Steve",10500,Republican,House
"Brown, Anthony",1000,Democrat,House
"Inhofe, James M",6000,Republican,Senate
"Thornberry, Mac",9900,Republican,House
"Barrasso, John A",24000,Republican,Senate
"Thompson, Mike",6000,Democrat,House
"Clarke, Yvette D",10500,Democrat,House
"Walorski, Jackie",21000,Republican,House
"Mullin, Markwayne",13000,Republican,House
"Comstock, Barbara",2000,Republican,House
"Thompson, Bennie G",30000,Democrat,House
"Thune, John",16500,Republican,Senate
"Durbin, Dick",2000,Democrat,Senate
"Curbelo, Carlos",22000,Republican,House
"Flake, Jeff",22000,Republican,Senate
"Costello, Ryan",15000,Republican,House
"Stabenow, Debbie",34500,Democrat,Senate
"Bishop, Mike",19000,Republican,House
"Lawrence, Brenda",13000,Democrat,House
"Kildee, Dan",10000,Democrat,House
"Moolenaar, John",10000,Republican,House
"Mitchell, Paul",10000,Republican,House
"Dingell, Debbie",15500,Democrat,House
"Bergman, John",13000,Republican,House
"Huizenga, Bill",12000,Republican,House
"Greimel, Tim",4500,Democrat,House
"Peters, Gary",10500,Democrat,Senate
"Latta, Robert E",31500,Republican,House
"Kowall, Michael",3500,Republican,House
"Murkowski, Lisa",14000,Republican,Senate
"Brown, Sherrod",2500,Democrat,Senate
"Toomey, Pat",13500,Republican,Senate
"McNerney, Jerry",9500,Democrat,House
"Cramer, Kevin",13500,Republican,House
"Frelinghuysen, Rodney",11000,Republican,House
"Levin, Andy",2000,Democrat,House
"Loebsack, David",4000,Democrat,House
"Faso, John",4000,Republican,House
"Sewell, Terri A",17500,Democrat,House
"Conyers, Ian",1000,Democrat,House
"Pocan, Mark",2000,Democrat,House
"Budd, Ted",6500,Republican,House
"Hudson, Richard",15000,Republican,House
"Jones, Brenda",1000,Democrat,House
"Matsui, Doris",2000,Democrat,House
"Reed, Tom",5500,Republican,House
"McClintock, Tom",1000,Republican,House
"Welch, Peter",2000,Democrat,House
"Reschenthaler, Guy",4000,Republican,House
"Casperson, Tom",500,Republican,House
"Blackburn, Marsha",21000,Republican,House
"Holding, George",10000,Republican,House
"Duncan, Jeff",13000,Republican,House
"Rice, Tom",22000,Republican,House
"McSally, Martha",15000,Republican,House
"Walker, Mark",10000,Republican,House
"Visclosky, Pete",9500,Democrat,House
"Brooks, Susan",7500,Republican,House
"Heinrich, Martin",19500,Democrat,Senate
"Adams, Alma",9000,Democrat,House
"Rouzer, David",9000,Republican,House
"Strange, Luther",36500,Republican,Senate
"Beatty, Joyce",18500,Democrat,House
"Norman, Ralph",3000,Republican,House
"Tester, Jon",20000,Democrat,Senate
"Price, David",8000,Democrat,House
"Pittenger, Robert",5000,Republican,House
"Meadows, Mark",7500,Republican,House
"Pence, Greg",10000,Republican,House
"Foxx, Virginia",9000,Republican,House
"Carson, Andre",7000,Democrat,House
"Butterfield, G K",10000,Democrat,House
"Tonko, Paul",10000,Democrat,House
"Balderson, Troy",9200,Republican,House
"Messer, Luke",5000,Republican,House
"Braun, Mike",5000,Republican,Senate
"Fleischmann, Chuck",14000,Republican,House
"Chabot, Steve",13000,Republican,House
"Hatch, Orrin G",15000,Republican,Senate
"Fudge, Marcia L",16000,Democrat,House
"Miller, Carol",6000,Republican,House
"Wenstrup, Brad",15000,Republican,House
"Soto, Darren",5000,Democrat,House
"Braun, Steve",5000,Republican,House
"Barletta, Lou",16000,Republican,House
"Bucshon, Larry",5000,Republican,House
"Barr, Andy",15000,Republican,House
"Hyde-Smith, Cindy",12000,Republican,Senate
"Housley, Karin",5500,Republican,Senate
"Byrne, Bradley",19500,Republican,House
"Kaptur, Marcy",14500,Democrat,House
"Valadao, David",4500,Republican,House
"Dunn, Neal",8000,Republican,House
"Nunes, Devin",6500,Republican,House
"Yarmuth, John A",5500,Democrat,House
"Diaz-Balart, Mario",5000,Republican,House
"Banks, Jim",4000,Republican,House
"Lawson, Al",4000,Democrat,House
"Simpson, Mike",15000,Republican,House
"Demings, Val",6000,Democrat,House
"Jones, Doug",10500,Democrat,Senate
"Gonzalez, Anthony",10800,Republican,House
"Kustoff, David",4500,Republican,House
"Joyce, David P",17000,Republican,House
"Ryan, Tim",13500,Democrat,House
"Walters, Mimi",12500,Republican,House
"Arrington, Jodey",12500,Republican,House
"Wilson, Joe",7000,Republican,House
"Rokita, Todd",3500,Republican,House
"Hollingsworth, Trey",3000,Republican,House
"Gibbs, Bob",13000,Republican,House
"Denham, Jeff",10000,Republican,House
"Webster, Daniel",3000,Republican,House
"Katko, John",7000,Republican,House
"Rodgers, Cathy McMorris",20000,Republican,House
"Corker, Bob",6500,Republican,Senate
"Heller, Dean",14000,Republican,Senate
"Hamilton, Dan",2500,Republican,House
"McCaul, Michael",6500,Republican,House
"Gottheimer, Josh",2500,Democrat,House
"Black, Diane",2500,Republican,House
"Yoho, Ted",2500,Republican,House
"Timmons, William",2500,Republican,House
"Graham, Lindsey",12000,Republican,Senate
"Vela, Filemon",5000,Democrat,House
"Kind, Ron",23500,Democrat,House
"Sinema, Kyrsten",12000,Democrat,House
"Costa, Jim",2000,Democrat,House
"Rogers, Hal",2000,Republican,House
"Ruppersberger, Dutch",3000,Democrat,House
"Mast, Brian",2000,Republican,House
"Culberson, John",3000,Republican,House
"Carter, Buddy",16000,Republican,House
"Knight, Steve",3000,Republican,House
"Bacon, Donald John",2000,Republican,House
"Handel, Karen",17000,Republican,House
"Rutherford, John",2000,Republican,House
"Posey, Bill",2000,Republican,House
"Stefanik, Elise",3000,Republican,House
"Gallagher, Mike",17000,Republican,House
"Jones, Walter B Jr",2000,Republican,House
"Ross, Dennis",2000,Republican,House
"Taylor, Scott",12000,Republican,House
"Flores, Bill",6000,Republican,House
"Shaheen, Jeanne",1500,Democrat,Senate
"Cooper, Jim",1500,Democrat,House
"Barton, Joe",7500,Republican,House
"Feinstein, Dianne",5000,Democrat,Senate
"Rooney, Tom",1000,Republican,House
"Smucker, Lloyd",10000,Republican,House
"Sanford, Mark",1000,Republican,House
"Lujan, Ben Ray",8500,Democrat,House
"Cummings, Elijah E",2000,Democrat,House
"Roby, Martha",17000,Republican,House
"Meehan, Patrick",12000,Republican,House
"Carper, Tom",17000,Democrat,Senate
"Cassidy, Bill",6000,Republican,Senate
"Gowdy, Trey",1000,Republican,House
"Renacci, Jim",11000,Republican,House
"Mooney, Alex",11000,Republican,House
"Ernst, Joni",1000,Republican,Senate
"Comer, James",1000,Republican,House
"Bishop, Sanford",12000,Democrat,House
"Whitehouse, Sheldon",4000,Democrat,Senate
"Gardner, Cory",6500,Republican,Senate
"Beutler, Jaime Herrera",3000,Republican,House
"Duffy, Sean P",12000,Republican,House
"Daines, Steven",15500,Republican,Senate
"Massie, Thomas",1000,Republican,House
"Waltz, Michael",1000,Republican,House
"Young, Todd",1000,Republican,Senate
"Rothfus, Keith J",13000,Republican,House
"Ratcliffe, John",13000,Republican,House
"Davidson, Warren",6000,Republican,House
"Sessions, Pete",2000,Republican,House
"Hirono, Mazie K",1000,Democrat,Senate
"Veasey, Marc",3000,Democrat,House
"DeSantis, Ron",1000,Republican,House
"Baird, Jim",500,Republican,House
"Graves, Garret",8000,Republican,House
"Hill, French",6500,Republican,House
"Johnson, Mike",6500,Republican,House
"Guest, Michael Patrick",15000,Republican,House
"Palazzo, Steven",15000,Republican,House
"Westerman, Bruce",5000,Republican,House
"Rush, Bobby L",16500,Democrat,House
"Cole, Tom",7000,Republican,House
"Cotton, Tom",3500,Republican,Senate
"Higgins, Clay",4000,Republican,House
"Kelly, Trent",14000,Republican,House
"Abraham, Ralph",3500,Republican,House
"Kennedy, John",3500,Republican,Senate
"Babin, Brian",3000,Republican,House
"Cuellar, Henry",5500,Democrat,House
"O'Halleran, Tom",4000,Democrat,House
"Crawford, Rick",3000,Republican,House
"Blunt, Roy",2500,Republican,Senate
"Landry, Jeff",2500,Republican,House
"Warner, Mark",10000,Democrat,Senate
"McConnell, Mitch",2500,Republican,Senate
"Rubio, Marco",2500,Republican,Senate
"Weber, Randy",2000,Republican,House
"Gooden, Lance",4500,Republican,House
"Green, Gene",3000,Democrat,House
"Klobuchar, Amy",6750,Democrat,Senate
"Murphy, Christopher S",7000,Democrat,Senate
"Fortenberry, Jeff",2000,Republican,House
"Peters, Scott",6000,Democrat,House
"Lewis, Jason",9000,Republican,House
"Higgins, Brian M",1500,Democrat,House
"Larson, John B",2500,Democrat,House
"Granger, Kay",3000,Republican,House
"Kennedy, Joe III",5000,Democrat,House
"McEachin, Donald",3500,Democrat,House
"Collins, Chris",1000,Republican,House
"Wyden, Ron",2000,Democrat,Senate
"Crowley, Joseph",6000,Democrat,House
