Recipient,Total,Party,Chamber
"Brown, Scott",8000,Republican,Senate
"Himes, Jim",10000,Democrat,House
"Camp, Dave",18000,Republican,House
"Gillibrand, Kirsten",16500,Democrat,Senate
"McConnell, Mitch",6500,Republican,Senate
"Murphy, Christopher S",15500,Democrat,House
"Stabenow, Debbie",10000,Democrat,Senate
"Boehner, John",10000,Republican,House
"McKeon, Buck",10000,Republican,House
"Brown, Sherrod",14000,Democrat,Senate
"Barrow, John",10000,Democrat,House
"Tester, Jon",11000,Democrat,Senate
"Cruz, Ted",10000,Republican,Senate
"Tonko, Paul",10000,Democrat,House
"Matheson, Jim",11500,Democrat,House
"Smith, Adam",10000,Democrat,House
"Tiberi, Pat",11000,Republican,House
"Boustany, Charles Jr",11000,Republican,House
"Shuster, Bill",11500,Republican,House
"Hoyer, Steny H",13500,Democrat,House
"Gibson, Chris",10000,Republican,House
"Biggert, Judy",10000,Republican,House
"Andrews, Robert E",10000,Democrat,House
"McIntyre, Mike",10000,Democrat,House
"Upton, Fred",16000,Republican,House
"Larsen, Rick",10000,Democrat,House
"Carney, John",11000,Democrat,House
"Royce, Ed",10000,Republican,House
"Cantor, Eric",16000,Republican,House
"McCarthy, Kevin",12500,Republican,House
"Clyburn, James E",10000,Democrat,House
"Levin, Sander",10000,Democrat,House
"Frelinghuysen, Rodney",11000,Republican,House
"Visclosky, Pete",10000,Democrat,House
"Capito, Shelley Moore",10000,Republican,House
"Israel, Steve",10000,Democrat,House
"Corker, Bob",18000,Republican,Senate
"Bachus, Spencer",10000,Republican,House
"Kind, Ron",10000,Democrat,House
"Neal, Richard E",10000,Democrat,House
"Crowley, Joseph",10000,Democrat,House
"Latham, Tom",12000,Republican,House
"Goodlatte, Bob",10000,Republican,House
"Perlmutter, Ed",10000,Democrat,House
"Bartlett, Roscoe G",10000,Republican,House
"Heller, Dean",11000,Republican,Senate
"Paulsen, Erik",12000,Republican,House
"Thornberry, Mac",8500,Republican,House
"Critz, Mark",9000,Democrat,House
"Brady, Kevin",9000,Republican,House
"Casey, Bob",12000,Democrat,Senate
"Pallone, Frank Jr",13000,Democrat,House
"Whitfield, Ed",9000,Republican,House
"Kelly, Mike",9000,Republican,House
"Young, C W Bill",9000,Republican,House
"Moran, Jim",9000,Democrat,House
"Price, Tom",12500,Republican,House
"Carper, Tom",15400,Democrat,Senate
"Noem, Kristi",8000,Republican,House
"Chambliss, Saxby",11000,Republican,Senate
"McHenry, Patrick",8000,Republican,House
"Wicker, Roger",10000,Republican,Senate
"Stivers, Steve",8000,Republican,House
"Shimkus, John",9000,Republican,House
"Bonner, Jo",8000,Republican,House
"Hartzler, Vicky",8000,Republican,House
"Hurt, Robert",8000,Republican,House
"Crenshaw, Ander ",7500,Republican,House
"Wilson, Joe",7500,Republican,House
"Reed, Tom",7500,Republican,House
"Walden, Greg",7500,Republican,House
"Pascrell, Bill Jr",10500,Democrat,House
"Conaway, Mike",7500,Republican,House
"West, Allen",1000,Republican,House
"Schock, Aaron",7500,Republican,House
"Chabot, Steve",8000,Republican,House
"Baldwin, Tammy",2000,Democrat,House
"Yarmuth, John A",6500,Democrat,House
"Tierney, John F",5500,Democrat,House
"Garrett, Scott",7000,Republican,House
"Rogers, Mike D",7000,Republican,House
"Barrasso, John A",7000,Republican,Senate
"Klobuchar, Amy",2000,Democrat,Senate
"Guthrie, Brett",7000,Republican,House
"Rogers, Hal",9500,Republican,House
"Ross, Dennis",6000,Republican,House
"Sessions, Pete",7000,Republican,House
"Thompson, Bennie G",7000,Democrat,House
"Kinzinger, Adam",7000,Republican,House
"Cardin, Ben",7000,Democrat,Senate
"Kingston, Jack",7000,Republican,House
"Runyan, Jon",7000,Republican,House
"Rodgers, Cathy McMorris",7000,Republican,House
"Guinta, Frank",7000,Republican,House
"Renacci, Jim",7000,Republican,House
"Akin, Todd",6000,Republican,House
"Price, David",11500,Democrat,House
"Fudge, Marcia L",6500,Democrat,House
"Emerson, Jo Ann",6500,Republican,House
"Hensarling, Jeb",6500,Republican,House
"Dold, Bob",7000,Republican,House
"Denham, Jeff",6500,Republican,House
"Pelosi, Nancy",6000,Democrat,House
"Gerlach, Jim",11000,Republican,House
"Schilling, Bobby",6000,Republican,House
"Gowdy, Trey",6000,Republican,House
"Meeks, Gregory W",6000,Democrat,House
"Roskam, Peter",6000,Republican,House
"Burgess, Michael",6000,Republican,House
"Dent, Charlie",9000,Republican,House
"Fleming, John",6000,Republican,House
"Rothman, Steven R",6000,Democrat,House
"Johnson, Bill",6000,Republican,House
"Becerra, Xavier",6000,Democrat,House
"Beutler, Jaime Herrera",6000,Republican,House
"Heitkamp, Heidi",5000,Democrat,Senate
"Turner, Michael R",6000,Republican,House
"Ryan, Tim",6000,Democrat,House
"Amodei, Mark",6000,Republican,House
"Welch, Peter",7000,Democrat,House
"Johnson, Sam",7000,Republican,House
"Jenkins, Lynn",6000,Republican,House
"Rokita, Todd",6000,Republican,House
"Holt, Rush",10000,Democrat,House
"Hatch, Orrin G",2500,Republican,Senate
"Feinstein, Dianne",11000,Democrat,Senate
"Ryan, Paul",5000,Republican,House
"Nunes, Devin",5500,Republican,House
"Buchanan, Vernon",5500,Republican,House
"McCaskill, Claire",3500,Democrat,Senate
"Palazzo, Steven",5500,Republican,House
"Schultz, Debbie Wasserman",5000,Democrat,House
"Esty, Elizabeth",1000,Democrat,House
"Portman, Rob",4000,Republican,Senate
"Wittman, Rob",5000,Republican,House
"Barton, Joe",5000,Republican,House
"Sanchez, Loretta",5000,Democrat,House
"Loebsack, David",7000,Democrat,House
"Chaffetz, Jason",5000,Republican,House
"Schrader, Kurt",5000,Democrat,House
"Rigell, Scott",5000,Republican,House
"Ribble, Reid",5000,Republican,House
"Kaptur, Marcy",5000,Democrat,House
"Granger, Kay",5000,Republican,House
"Neugebauer, Randy",5000,Republican,House
"Peters, Gary",5000,Democrat,House
"Fincher, Steve",5000,Republican,House
"Cravaack, Chip",5000,Republican,House
"Petri, Tom",5000,Republican,House
"Duffy, Sean P",5000,Republican,House
"Foxx, Virginia",5000,Republican,House
"Slaughter, Louise M",5000,Democrat,House
"Jordan, Jim",5000,Republican,House
"Kissell, Larry",5000,Democrat,House
"Pompeo, Mike",5000,Republican,House
"Hayworth, Nan",5000,Republican,House
"Dingell, John D",5000,Democrat,House
"Bishop, Sanford",5000,Democrat,House
"Mica, John L",13000,Republican,House
"Calvert, Ken",5000,Republican,House
"Ruppersberger, Dutch",5000,Democrat,House
"Mulvaney, Mick",5000,Republican,House
"Pitts, Joe",12000,Republican,House
"Rahall, Nick",5000,Democrat,House
"Cleaver, Emanuel",5000,Democrat,House
"Reichert, Dave",8000,Republican,House
"Griffith, Morgan",5000,Republican,House
"Maloney, Carolyn B",5000,Democrat,House
"Blumenauer, Earl",6500,Democrat,House
"Meehan, Patrick",11000,Republican,House
"Scott, Austin",4900,Republican,House
"Carson, Andre",4500,Democrat,House
"LaTourette, Steve",4500,Republican,House
"Lipinski, Daniel",8500,Democrat,House
"Rangel, Charles B",3500,Democrat,House
"Desjarlais, Scott",2000,Republican,House
"Clarke, Yvette D",4500,Democrat,House
"Brown, Corrine",7000,Democrat,House
"Kline, John",4000,Republican,House
"Webster, Daniel",4000,Republican,House
"Canseco, Quico",4000,Republican,House
"Connolly, Gerry",4000,Democrat,House
"Menendez, Robert",5000,Democrat,Senate
"Franks, Trent",4000,Republican,House
"McCarthy, Carolyn",5000,Democrat,House
"Johnson, Eddie Bernice",4000,Democrat,House
"Alexander, Rodney",4000,Republican,House
"Chandler, Ben",4000,Democrat,House
"Richmond, Cedric",4000,Democrat,House
"Nunnelee, Alan",4000,Republican,House
"Schwartz, Allyson",10500,Democrat,House
"Davis, Geoff",4000,Republican,House
"Young, Todd",4000,Republican,House
"Schmidt, Jean",4000,Republican,House
"Brooks, Mo",4000,Republican,House
"Nugent, Richard",4000,Republican,House
"Jones, Walter B Jr",4000,Republican,House
"Manchin, Joe",4000,Democrat,Senate
"Fitzpatrick, Michael G",4000,Republican,House
"Huizenga, Bill",4000,Republican,House
"Capps, Lois",7000,Democrat,House
"Graves, Sam",4000,Republican,House
"Moore, Gwen",4000,Democrat,House
"Hanna, Richard",4000,Republican,House
"Sewell, Terri A",4000,Democrat,House
"Lee, Barbara",3000,Democrat,House
"Graves, Tom",3800,Republican,House
"Woodall, Rob",4800,Republican,House
"Pocan, Mark",3000,Democrat,House
"Manzullo, Don",3675,Republican,House
"Schweikert, David",3000,Republican,House
"Scott, David",3500,Democrat,House
"Warner, Mark",2500,Democrat,Senate
"Aderholt, Robert B",3500,Republican,House
"Waxman, Henry",3500,Democrat,House
"Grimm, Michael",3500,Republican,House
"Coble, Howard",1000,Republican,House
"Bass, Charles",7500,Republican,House
"Lugar, Richard G",7000,Republican,Senate
"Rubio, Marco",3500,Republican,Senate
"McCaul, Michael",5500,Republican,House
"Ros-Lehtinen, Ileana",3000,Republican,House
"Duckworth, Tammy",3000,Democrat,House
"Thompson, Mike",6500,Democrat,House
"Cuellar, Henry",3000,Democrat,House
"Edwards, Donna",3000,Democrat,House
"Posey, Bill",3000,Republican,House
"Scott, Tim",3000,Republican,House
"Keating, Bill",3000,Democrat,House
"Blackburn, Marsha",5000,Republican,House
"Jackson Lee, Sheila",3000,Democrat,House
"Bennet, Michael",3000,Democrat,Senate
"Garamendi, John",6000,Democrat,House
"Miller, Gary",3000,Republican,House
"Shuler, Heath",3000,Democrat,House
"Heck, Joe",3000,Republican,House
"Ellmers, Renee",5000,Republican,House
"Benishek, Dan",3000,Republican,House
"Costello, Jerry F",3000,Democrat,House
"Terry, Lee",3000,Republican,House
"Issa, Darrell",3000,Republican,House
"Bono Mack, Mary",4000,Republican,House
"Johnson, Hank",4000,Democrat,House
"Cicilline, David",3000,Democrat,House
"Coats, Dan",3000,Republican,Senate
