Recipient,Total,Party,Chamber
"Romney, Mitt",30250,Republican,
"Barr, Andy",22000,Republican,House
"Rehberg, Denny",58500,Republican,House
"Heller, Dean",42200,Republican,Senate
"Allen, George",42000,Republican,Senate
"Wilson, Heather A",18500,Republican,Senate
"Berg, Rick",42700,Republican,House
"Mourdock, Richard E",26000,Republican,Senate
"Flake, Jeff",27000,Republican,House
"Mandel, Josh",30500,Republican,Senate
"Thompson, Tommy G",11000,Republican,Senate
"Smith, Tom",11000,Republican,Senate
"Massie, Thomas",17000,Republican,House
"Bucshon, Larry",16000,Republican,House
"McKinley, David",33500,Republican,House
"Whitfield, Ed",33000,Republican,House
"Manchin, Joe",30000,Democrat,Senate
"Sullivan, John",9000,Republican,House
"Mullin, Markwayne",6000,Republican,House
"Mack, Connie",10000,Republican,House
"Bartlett, Roscoe G",7000,Republican,House
"Inhofe, James M",7500,Republican,Senate
"Dewhurst, David H",5000,Republican,Senate
"Bruning, Jon",11000,Republican,Senate
"Johnson, Bill",16000,Republican,House
"Renacci, Jim",13500,Republican,House
"Summers, Charlie",8000,Republican,Senate
"Rogers, Hal",27500,Republican,House
"Young, Todd",5000,Republican,House
"Walorski, Jackie",4500,Republican,House
"Shimkus, John",22500,Republican,House
"Harris, Andy",6000,Republican,House
"Griffith, Morgan",32000,Republican,House
"Upton, Fred",18500,Republican,House
"Keadle, Scott",2500,Republican,House
"Hatch, Orrin G",18000,Republican,Senate
"Snuffer, Rick",4500,Republican,House
"Davis, Geoff",8000,Republican,House
"Walberg, Tim",6000,Republican,House
"Holden, Tim",6000,Democrat,House
"Altmire, Jason",9000,Democrat,House
"Yoder, Kevin",1000,Republican,House
"Radel, Trey",1000,Republican,House
"Murphy, Tim",12500,Republican,House
"Capito, Shelley Moore",20500,Republican,House
"Wagner, Ann L",17500,Republican,House
"Lummis, Cynthia",20000,Republican,House
"Boehner, John",20000,Republican,House
"Tipton, Scott",9500,Republican,House
"Barrasso, John A",21500,Republican,Senate
"Bishop, Rob",6000,Republican,House
"Daines, Steven",12000,Republican,House
"Matheson, Jim",7000,Democrat,House
"Hastings, Doc",18000,Republican,House
"Plummer, Jason",8000,Republican,House
"Akin, Todd",10000,Republican,House
"Guthrie, Brett",9500,Republican,House
"Chaffetz, Jason",5000,Republican,House
"Rahall, Nick",9000,Democrat,House
"Gardner, Cory",6500,Republican,House
"Fischer, Deb",9000,Republican,Senate
"Lamborn, Douglas L",4000,Republican,House
"Wicker, Roger",12000,Republican,Senate
"Long, Billy",4000,Republican,House
"Coffman, Mike",7000,Republican,House
"Donnelly, Joe",1000,Democrat,House
"Cantor, Eric",18500,Republican,House
"McConnell, Mitch",11000,Republican,Senate
"Emerson, Jo Ann",6500,Republican,House
"Terry, Lee",3000,Republican,House
"Smith, Adrian",3000,Republican,House
"Hurt, Robert",2000,Republican,House
"Stewart, Chris",3000,Republican,House
"Davis, Rodney",3000,Republican,House
"Benishek, Dan",3000,Republican,House
"Kelly, Mike",7000,Republican,House
"Luetkemeyer, Blaine",2500,Republican,House
"Risch, James E",10000,Republican,Senate
"Sessions, Pete",2500,Republican,House
"Baucus, Max",5500,Democrat,Senate
"Pearce, Steve",2500,Republican,House
"Schilling, Bobby",2500,Republican,House
"Schock, Aaron",3000,Republican,House
"Kinzinger, Adam",2000,Republican,House
"Gibbs, Bob",11000,Republican,House
"Lungren, Dan",2000,Republican,House
"Duncan, John J Jr",2000,Republican,House
"Simpson, Mike",4000,Republican,House
"Tester, Jon",2000,Democrat,Senate
"Hartzler, Vicky",2000,Republican,House
"McIntosh, David M",2000,Republican,House
"Pompeo, Mike",2000,Republican,House
"Fincher, Steve",2000,Republican,House
"Blackburn, Marsha",2000,Republican,House
"LaTourette, Steve",2000,Republican,House
"Roskam, Peter",2000,Republican,House
"Camp, Dave",12000,Republican,House
"McCarthy, Kevin",2000,Republican,House
"Thompson, Glenn",6000,Republican,House
"Rokita, Todd",2000,Republican,House
"Scott, Tim",2500,Republican,House
"Costello, Jerry F",4000,Democrat,House
"Noem, Kristi",6000,Republican,House
"Cruz, Ted",6000,Republican,Senate
"Enzi, Mike",3000,Republican,Senate
"Barton, Joe",6000,Republican,House
"Nunes, Devin",2000,Republican,House
"Shuster, Bill",10000,Republican,House
"Barrow, John",4500,Democrat,House
"Paul, Rand",1850,Republican,Senate
"Biggert, Judy",1500,Republican,House
"Kline, John",1500,Republican,House
"Graves, Sam",4000,Republican,House
"Broun, Paul",1500,Republican,House
"Pitts, Joe",1000,Republican,House
"Murkowski, Lisa",1000,Republican,Senate
"Canseco, Quico",1000,Republican,House
"Sensenbrenner, Jim",3500,Republican,House
"Ross, Mike",1000,Democrat,House
"Duncan, Jeff",1000,Republican,House
"Johnson, Ron",1000,Republican,Senate
"Rodgers, Cathy McMorris",3000,Republican,House
"Stivers, Steve",4000,Republican,House
"Hultgren, Randy",1000,Republican,House
"Heck, Joe",1000,Republican,House
"Heitkamp, Heidi",1000,Democrat,Senate
"Stabenow, Debbie",3500,Democrat,Senate
"Nelson, Ben",1000,Democrat,Senate
"Corker, Bob",6000,Republican,Senate
"Stutzman, Marlin",1000,Republican,House
"Cravaack, Chip",1000,Republican,House
"McCaskill, Claire",4600,Democrat,Senate
"Olson, Pete",1000,Republican,House
"Dold, Bob",1000,Republican,House
"Johnson, Timothy",1000,Republican,House
"Rigell, Scott",1000,Republican,House
"Mica, John L",1000,Republican,House
"Tiberi, Pat",6000,Republican,House
"Latta, Robert E",3000,Republican,House
"Frelinghuysen, Rodney",1000,Republican,House
"Stearns, Cliff",4500,Republican,House
"Durbin, Dick",1000,Democrat,Senate
"Stockman, Steve",1000,Republican,House
"Calvert, Ken",1000,Republican,House
"Young, Don",1000,Republican,House
"Koster, John",1000,Republican,House
"Gosar, Paul",3500,Republican,House
"Fleischmann, Chuck",1000,Republican,House
"Brown, Scott",16000,Republican,Senate
"Bentivolio, Kerry",1000,Republican,House
"Blunt, Roy",500,Republican,Senate
"Duckworth, Tammy",250,Democrat,House
"Larsen, Rick",7000,Democrat,House
"Gillan, Kim",1000,Democrat,House
"Beutler, Jaime Herrera",1000,Republican,House
"Toomey, Pat",10000,Republican,Senate
"Critz, Mark",6000,Democrat,House
"Meehan, Patrick",1500,Republican,House
"Fitzpatrick, Michael G",1000,Republican,House
"Lee, Mike",5000,Republican,Senate
"Crapo, Mike",5000,Republican,Senate
"Lingle, Linda",6000,Republican,Senate
"Chambliss, Saxby",5000,Republican,Senate
"Hoekstra, Peter",3000,Republican,Senate
"Joyce, David P",5000,Republican,House
"Pawlenty, Tim",5000,Republican,
"Frost, Robert",5000,Republican,House
"Wenstrup, Brad",3000,Republican,House
"Cramer, Kevin",5000,Republican,House
"Harper, Gregg",2500,Republican,House
"Nunnelee, Alan",2500,Republican,House
"Hoeven, John",3500,Republican,Senate
"Salmon, Matt",2500,Republican,House
