Recipient,Total,Party,Chamber
"Klobuchar, Amy",1000,Democrat,Senate
"Corker, Bob",50500,Republican,Senate
"Upton, Fred",93500,Republican,House
"Goodlatte, Bob",3000,Republican,House
"Walden, Greg",46000,Republican,House
"Smith, Lamar",42000,Republican,House
"Cardin, Ben",8000,Democrat,Senate
"Whitehouse, Sheldon",1000,Democrat,Senate
"Rubio, Marco",3988,Republican,Senate
"Romney, Mitt",25000,Republican,
"Dewhurst, David H",75000,Republican,Senate
"Barrasso, John A",103500,Republican,Senate
"Hatch, Orrin G",139500,Republican,Senate
"Boustany, Charles Jr",77250,Republican,House
"Boehner, John",95000,Republican,House
"Hastings, Doc",61500,Republican,House
"Cruz, Ted",119500,Republican,Senate
"Cassidy, Bill",45500,Republican,House
"Pearce, Steve",56500,Republican,House
"Cantor, Eric",96500,Republican,House
"McConnell, Mitch",54500,Republican,Senate
"Green, Gene",41500,Democrat,House
"Cuellar, Henry",42000,Democrat,House
"Conaway, Mike",48000,Republican,House
"Vitter, David",18000,Republican,Senate
"Olson, Pete",59500,Republican,House
"Flores, Bill",50000,Republican,House
"McCarthy, Kevin",77000,Republican,House
"Poe, Ted",32000,Republican,House
"Reed, Tom",34500,Republican,House
"Tipton, Scott",57000,Republican,House
"Rehberg, Denny",87500,Republican,House
"Coffman, Mike",63500,Republican,House
"Gardner, Cory",62500,Republican,House
"Lummis, Cynthia",40500,Republican,House
"Chaffetz, Jason",13500,Republican,House
"Matheson, Jim",48000,Democrat,House
"Manchin, Joe",39500,Democrat,Senate
"McKinley, David",40000,Republican,House
"Sullivan, John",63750,Republican,House
"Allen, George",81000,Republican,Senate
"Cole, Tom",44000,Republican,House
"Fleming, John",28000,Republican,House
"Brown, Scott",85500,Republican,Senate
"Lankford, James",52000,Republican,House
"Granger, Kay",13000,Republican,House
"Johnson, Bill",54000,Republican,House
"Brady, Kevin",85000,Republican,House
"Shuster, Bill",52500,Republican,House
"Gibbs, Bob",39500,Republican,House
"Whitfield, Ed",76000,Republican,House
"Barletta, Lou",26500,Republican,House
"Marchant, Kenny",33500,Republican,House
"Lucas, Frank D",46000,Republican,House
"Renacci, Jim",41000,Republican,House
"Mandel, Josh",48000,Republican,Senate
"Dold, Bob",13500,Republican,House
"Huntsman, Jon",5000,Republican,
"Phillips, George K",7500,Republican,House
"Williams, Roger",32500,Republican,House
"Stivers, Steve",20500,Republican,House
"Berg, Rick",102000,Republican,House
"Thompson, Tommy G",45000,Republican,Senate
"Rogers, Hal",19000,Republican,House
"Collins, Chris",16000,Republican,House
"Cramer, Kevin",26000,Republican,House
"Hensarling, Jeb",44000,Republican,House
"Summers, Charlie",17500,Republican,Senate
"Flake, Jeff",46000,Republican,House
"Mica, John L",48000,Republican,House
"Lungren, Dan",61000,Republican,House
"Chabot, Steve",17500,Republican,House
"Latham, Tom",28000,Republican,House
"Rogers, Mike",39000,Republican,House
"Bishop, Rob",21500,Republican,House
"Gohmert, Louis B Jr",23500,Republican,House
"Boren, Dan",7000,Democrat,House
"Perlmutter, Ed",5000,Democrat,House
"Hayworth, Nan",20000,Republican,House
"Parker, Vernon",15000,Republican,House
"Gill, Ricky",22500,Republican,House
"Fischer, Deb",26000,Republican,Senate
"Rouzer, David",13500,Republican,House
"Lingle, Linda",53500,Republican,Senate
"Bass, Charles",27500,Republican,House
"Garrett, Scott",20500,Republican,House
"Young, C W Bill",5000,Republican,House
"Bartlett, Roscoe G",12000,Republican,House
"Hall, Ralph",23500,Republican,House
"Bilbray, Brian P",37500,Republican,House
