Recipient,Party,Chamber,Coal Total,Hydro Total,Nuclear Total,Oil Total,Solar Total,Wind Total,Total,PAC Total,FEC Candidate ID,ID,Coal Ratio,Hydro Ratio,Nuclear Ratio,Oil Ratio,Solar Ratio,Wind Ratio
"Braun, Mike",Republican,Senate,16000,5000,5000,52500,0,2500,81000,784490.63,S8IN00171,B001310,0.020395399751301044,0.006373562422281576,0.006373562422281576,0.06692240543395656,0.0,0.003186781211140788
"Barr, Andy",Republican,House,17500,15000,15000,36000,0,2000,85500,2052448.9,H0KY06104,B001282,0.008526399853365412,0.007308342731456067,0.007308342731456067,0.017540022555494562,0.0,0.0009744456975274757
"Cramer, Kevin",Republican,House,15000,13500,11500,52000,0,0,92000,844175.0,H0ND01026,C001096,0.017768827553528592,0.015991944798175735,0.013622767791038588,0.06159860218556579,0.0,0.0
"McSally, Martha",Republican,House,12500,15000,15000,84000,0,3000,129500,504260.96,H2AZ08102,M001197,0.024788752236540382,0.029746502683848458,0.029746502683848458,0.16658041502955137,0.0,0.0059493005367696914
"Yoder, Kevin",Republican,House,8500,19500,25500,28500,0,5000,87000,2366082.75,H0KS03137,Y000063,0.0035924356407230473,0.008241469999305815,0.010777306922169142,0.012045225383600805,0.0,0.0021131974357194395
"Heller, Dean",Republican,Senate,18000,14000,16000,92000,5000,7500,152500,3414659.0,S2NV00183,H001041,0.0052713902032384494,0.004099970158074349,0.0046856801806564,0.026942661038774296,0.0014642750564551248,0.0021964125846826873
"Blackburn, Marsha",Republican,House,12500,21000,21000,83700,0,0,138200,222157.36,H2TN06030,B001243,0.05626642304355796,0.09452759071317737,0.09452759071317737,0.3767599686996641,0.0,0.0
"Miller, Carol",Republican,House,17500,6000,11000,4500,0,0,39000,339245.0,H8WV03097,M001205,0.051585137584931245,0.017686332886262143,0.03242494362481393,0.013264749664696606,0.0,0.0
"Barrasso, John A",Republican,Senate,22000,24000,36000,128500,2000,17000,229500,2555865.0,S6WY00068,B001261,0.008607653377623623,0.009390167321043951,0.014085250981565928,0.05027652086475616,0.0007825139434203294,0.006651368519072799
"Hurd, Will",Republican,House,8000,21500,23500,111200,0,8500,172700,1873119.22,H0TX23086,H001073,0.004270950783367649,0.011478180230300557,0.01254591792614247,0.059366215888810324,0.0,0.004537885207328127
"Bost, Mike",Republican,House,14250,16000,16000,25000,0,5000,76250,1429791.34,H4IL12060,B001295,0.00996648923611469,0.011190444054584915,0.011190444054584915,0.01748506883528893,0.0,0.003497013767057786
"Hern, Kevin",Republican,House,5000,0,0,31500,0,0,36500,337700.0,H8OK01157,H001082,0.014806040864672786,0.0,0.0,0.09327805744743856,0.0,0.0
"Bucshon, Larry",Republican,House,7200,5000,5000,12500,0,6000,35700,711650.0,H0IN08114,B001275,0.010117332958617298,0.007025925665706457,0.007025925665706457,0.01756481416426614,0.0,0.008431110798847749
"Mooney, Alex",Republican,House,9500,11000,11000,16000,0,0,47500,769598.75,H4WV02080,M001195,0.012344094893605271,0.014293162508385051,0.014293162508385051,0.020790054557650983,0.0,0.0
"Davis, Rodney",Republican,House,10500,18500,18500,47000,2000,8000,104500,2466999.61,H2IL13120,D000619,0.004256182269927477,0.00749898780891984,0.00749898780891984,0.019051482541580136,0.0008107013847480909,0.0032428055389923634
"Roskam, Peter",Republican,House,2500,13000,13500,53500,0,11000,93500,3124389.63,H6IL06117,R000580,0.0008001562852453841,0.004160812683275997,0.004320843940325074,0.01712334450425122,0.0,0.00352068765507969
"Love, Mia",Republican,House,2500,0,0,22000,0,0,24500,1109115.33,H2UT04023,L000584,0.0022540487290893365,0.0,0.0,0.019835628815986158,0.0,0.0
"Rothfus, Keith J",Republican,House,15000,13000,13000,26000,0,0,67000,1262867.5,H0PA04220,R000598,0.011877730640783771,0.010294033222012602,0.010294033222012602,0.020588066444025204,0.0,0.0
"Bishop, Mike",Republican,House,5000,19000,21000,31500,0,4500,81000,1798788.72,H4MI08135,B001293,0.002779648295770945,0.010562663523929592,0.01167452284223797,0.017511784263356957,0.0,0.0025016834661938507
"Griffith, Morgan",Republican,House,13500,25000,30000,27000,0,1000,96500,634093.75,H0VA09055,G000568,0.021290227194322605,0.03942634665615297,0.04731161598738357,0.04258045438864521,0.0,0.001577053866246119
"Poliquin, Bruce",Republican,House,5000,7500,7000,37500,0,5000,62000,62000.0,S2ME00158,P000611,0.08064516129032258,0.12096774193548387,0.11290322580645161,0.6048387096774194,0.0,0.08064516129032258
"Young, David",Republican,House,5000,2000,6000,4000,2000,6500,25500,25500.0,S4IA00103,Y000066,0.19607843137254902,0.0784313725490196,0.23529411764705882,0.1568627450980392,0.0784313725490196,0.2549019607843137
"Tenney, Claudia",Republican,House,5000,1000,1000,25500,0,5000,37500,1370420.95,H4NY22051,T000478,0.00364851398396967,0.000729702796793934,0.000729702796793934,0.018607421318245318,0.0,0.00364851398396967
"Lewis, Jason",Republican,House,5000,9000,7000,31000,0,0,52000,1152827.49,H6MN02149,L000587,0.004337162362427704,0.0078068922523698665,0.006072027307398785,0.026890406647051765,0.0,0.0
"Paulsen, Erik",Republican,House,5000,20000,22000,49700,0,11000,107700,2887337.56,H8MN03077,P000594,0.001731699150548923,0.006926796602195692,0.007619476262415261,0.017213089556456295,0.0,0.0038097381312076307
"Walters, Mimi",Republican,House,5000,12500,12500,63500,0,3500,97000,1988180.45,H4CA45097,W000820,0.00251486227017271,0.006287155675431775,0.006287155675431775,0.031938750831193415,0.0,0.001760403589120897
"Knight, Steve",Republican,House,5000,3000,3000,38000,0,9000,58000,1299893.91,H4CA25123,K000387,0.0038464677475102565,0.002307880648506154,0.002307880648506154,0.02923315488107795,0.0,0.006923641945518462
"McCarthy, Kevin",Republican,House,30000,37000,44500,114000,2500,14000,242000,3204908.5,H6CA22125,M001165,0.009360641653264048,0.011544791372358993,0.013884951785675004,0.03557043828240338,0.0007800534711053373,0.004368299438189889
"Blum, Rod",Republican,House,5000,1000,3000,15000,0,0,24000,611371.89,H2IA01055,B001294,0.008178328251238374,0.0016356656502476748,0.0049069969507430245,0.024534984753715124,0.0,0.0
"Culberson, John",Republican,House,6500,3000,3000,68500,0,5000,86000,1432798.71,H0TX07055,C001048,0.004536575832065064,0.0020938042301838758,0.0020938042301838758,0.047808529922531824,0.0,0.0034896737169731263
"Valadao, David",Republican,House,5000,4500,4500,34500,0,2000,50500,1530216.93,H2CA20094,V000129,0.003267510574464759,0.0029407595170182835,0.0029407595170182835,0.02254582296380684,0.0,0.0013070042297859037
"Shuster, Bill",Republican,House,5000,15000,15000,45000,0,6500,86500,716650.0,H2PA09035,S001154,0.0069769064396846435,0.020930719319053933,0.020930719319053933,0.0627921579571618,0.0,0.009069978371590038
"Taylor, Scott",Republican,House,7500,12000,12000,20500,0,3000,55000,1016760.61,H0VA02118,T000477,0.007376367579778686,0.011802188127645897,0.011802188127645897,0.02016207138472841,0.0,0.0029505470319114743
"Smucker, Lloyd",Republican,House,5000,10000,10000,32500,0,6000,63500,980934.85,H6PA16320,S001199,0.005097178472148278,0.010194356944296556,0.010194356944296556,0.03313166006896381,0.0,0.006116614166577933
"Pence, Greg",Republican,House,5000,10000,12500,15500,0,2500,45500,468275.0,H8IN06129,P000615,0.01067748651967327,0.02135497303934654,0.02669371629918317,0.033100208210987137,0.0,0.005338743259836635
"Gianforte, Greg",Republican,House,8500,1000,1000,20000,0,0,30500,536214.4,H8MT01182,G000584,0.015851868207940704,0.0018649256715224357,0.0018649256715224357,0.03729851343044872,0.0,0.0
"Walden, Greg",Republican,House,16000,66000,81000,113500,0,12500,289000,2991017.14,H6OR02116,W000791,0.005349350823178499,0.022066072145611307,0.02708108854234115,0.03794695740192248,0.0,0.0041791803306082025
"Foxx, Virginia",Republican,House,16000,9000,9000,15000,0,1000,50000,1053044.15,H4NC05146,F000450,0.015194044808092805,0.008546650204552203,0.008546650204552203,0.014244417007587004,0.0,0.0009496278005058003
"Ryan, Paul",Republican,House,2500,25000,22500,51000,0,10000,111000,311700.0,H8WI01024,R000570,0.008020532563362208,0.08020532563362208,0.07218479307025986,0.16361886429258904,0.0,0.03208213025344883
"Inhofe, James M",Republican,Senate,2500,6000,7000,31689,1000,2000,50189,50189.0,S4OK00083,I000024,0.04981171172966188,0.1195481081511885,0.13947279284305325,0.6313933332005021,0.01992468469186475,0.0398493693837295
"Bishop, Rob",Republican,House,10500,0,0,29250,0,0,39750,568700.0,H2UT01094,B001250,0.018463161596623878,0.0,0.0,0.05143309301916652,0.0,0.0
"Renacci, Jim",Republican,House,2500,11000,12500,50000,0,0,76000,76000.0,H0OH16097,R000586,0.03289473684210526,0.14473684210526316,0.16447368421052633,0.6578947368421053,0.0,0.0
"Zeldin, Lee",Republican,House,2500,0,2000,19500,0,4000,28000,1172689.04,H8NY01148,Z000017,0.002131852447431418,0.0,0.0017054819579451343,0.01662844908996506,0.0,0.0034109639158902685
"McKinley, David",Republican,House,16500,14500,22000,28500,0,1000,82500,874350.0,H0WV01072,M001180,0.018871161434208267,0.01658374792703151,0.02516154857894436,0.03259564247726883,0.0,0.00114370675358838
"Walorski, Jackie",Republican,House,5500,21000,26500,44000,0,14000,111000,1683114.42,H0IN02190,W000813,0.0032677516956927982,0.012476870110827046,0.015744621806519844,0.026142013565542386,0.0,0.008317913407218032
"Johnson, Bill",Republican,House,19000,35000,38500,48500,0,6000,147000,1101052.0,H0OH06189,J000292,0.017256224047547255,0.03178778114021863,0.03496655925424049,0.044048782437160094,0.0,0.005449333909751765
"Brooks, Susan",Republican,House,2500,7500,7500,17500,0,3000,38000,900051.79,H2IN05082,B001284,0.002777617941296467,0.0083328538238894,0.0083328538238894,0.01944332558907527,0.0,0.0033331415295557603
"Shimkus, John",Republican,House,18500,74500,79000,69500,1000,9500,252000,1740893.95,H2IL20042,S000364,0.010626724275766481,0.04279410586727583,0.045378984745164976,0.039922018225176784,0.0005744175284198099,0.005456966519988194
"Hultgren, Randy",Republican,House,1250,12500,12500,12500,0,5000,43750,1406800.92,H0IL14080,H001059,0.0008885407894103453,0.008885407894103454,0.008885407894103454,0.008885407894103454,0.0,0.0035541631576413812
"Amodei, Mark",Republican,House,1000,0,1000,7000,0,2000,11000,568046.38,H2NV02395,A000369,0.001760419633340503,0.0,0.001760419633340503,0.01232293743338352,0.0,0.003520839266681006
"Brady, Kevin",Republican,House,4000,56500,79000,135000,6000,16000,296500,3062477.24,H6TX08100,B000755,0.0013061321559405287,0.018449116702659966,0.025796110079825442,0.04408196026299284,0.0019591982339107927,0.005224528623762115
"Comer, James",Republican,House,2000,1000,1000,9000,0,3000,16000,428540.12,H6KY01110,C001108,0.00466700760712906,0.00233350380356453,0.00233350380356453,0.021001534232080767,0.0,0.0070005114106935894
"Cheney, Liz",Republican,House,16000,0,0,33500,0,5000,54500,499434.17,H6WY00159,C001109,0.03203625414736841,0.0,0.0,0.06707590712105262,0.0,0.010011329421052628
"Jenkins, Evan",Republican,House,5000,5000,10000,8500,0,5000,33500,381560.0,S8WV00127,J000297,0.013104098962155362,0.013104098962155362,0.026208197924310724,0.022276968235664114,0.0,0.013104098962155362
"Wagner, Ann L",Republican,House,8000,21500,31500,18500,0,8500,88000,1522300.0,H2MO02102,W000812,0.005255205938382711,0.014123365959403535,0.02069237338238192,0.012152663732510017,0.0,0.00558365630953163
"Tipton, Scott",Republican,House,8000,10000,10000,43000,0,0,71000,740185.15,H6CO03139,T000470,0.01080810659333006,0.013510133241662576,0.013510133241662576,0.058093572939149074,0.0,0.0
"Manchin, Joe",Democrat,Senate,6500,33000,33000,37500,1000,10000,121000,2206439.91,S0WV00090,M001183,0.0029459220577640836,0.014956219677879194,0.014956219677879194,0.016995704179408176,0.0004532187781175513,0.004532187781175513
"Gosar, Paul",Republican,House,5500,2500,2500,18500,0,0,29000,210200.0,H0AZ01259,G000565,0.026165556612749764,0.011893434823977164,0.011893434823977164,0.08801141769743102,0.0,0.0
"Heitkamp, Heidi",Democrat,Senate,10000,16000,18000,69500,2000,11000,126500,2920093.62,S2ND00099,H001069,0.003424547737616714,0.005479276380186742,0.006164185927710085,0.02380060677643616,0.0006849095475233428,0.003767002511378385
"Costa, Jim",Democrat,House,3500,2000,2000,53500,0,0,61000,1064042.89,H4CA20082,C001059,0.003289341090376536,0.0018796234802151634,0.0018796234802151634,0.05027992809575562,0.0,0.0
"LaHood, Darin",Republican,House,2000,14500,15500,35500,1000,6500,75000,1461476.12,H6IL18088,L000585,0.0013684794247613159,0.00992147582951954,0.010605715541900198,0.024290509789513356,0.0006842397123806579,0.004447558130474276
"Gibbs, Bob",Republican,House,12000,13000,16500,18500,0,5000,65000,737638.05,H0OH18077,G000563,0.016268141265218083,0.017623819703986257,0.022368694239674865,0.025080051117211212,0.0,0.006778392193840868
"Smith, Jason",Republican,House,2000,20500,23500,26000,0,8500,80500,1355128.34,H4MO08162,S001195,0.0014758749713698702,0.015127718456541171,0.017341530913595977,0.019186374627808315,0.0,0.006272468628321949
"Harris, Andy",Republican,House,2000,0,0,10000,0,0,12000,559856.72,H8MD01094,H001052,0.003572342580794601,0.0,0.0,0.017861712903973002,0.0,0.0
"Smith, Adrian",Republican,House,1500,0,0,16000,0,7000,24500,973750.0,H6NE03115,S001172,0.0015404364569961489,0.0,0.0,0.016431322207958923,0.0,0.007188703465982028
"Guthrie, Brett",Republican,House,2500,13000,13000,33000,0,2000,63500,1608459.27,H8KY02031,G000558,0.0015542824407359722,0.008082268691827056,0.008082268691827056,0.02051652821771483,0.0,0.0012434259525887776
