Recipient,Party,Chamber,Coal Ratio,Hydro Ratio,Nuclear Ratio,Oil Ratio,Solar Ratio,Wind Ratio
"McConnell, Mitch",0,0,0.10101058687150972,0.12506072660282155,0.18518607593110115,0.555072414970731,0.0,0.03367019562383657
"Barr, Andy",0,0,0.3769230769230769,0.09230769230769231,0.09230769230769231,0.33076923076923076,0.0,0.1076923076923077
"Cassidy, Bill",0,0,0.2304147465437788,0.06451612903225806,0.14285714285714285,0.5622119815668203,0.0,0.0
"Jenkins, Evan",0,0,0.4444444444444444,0.0,0.0,0.5555555555555556,0.0,0.0
"Tillis, Thom",0,0,0.2423469387755102,0.12755102040816327,0.12755102040816327,0.46003401360544216,0.0,0.04251700680272109
"Wehby, Monica",0,0,0.13333333333333333,0.06666666666666667,0.06666666666666667,0.7333333333333333,0.0,0.0
"Capito, Shelley Moore",0,0,0.23391812865497075,0.05555555555555555,0.11988304093567251,0.5614035087719298,0.0,0.029239766081871343
"Daines, Steven",0,0,0.16091954022988506,0.1752873563218391,0.1752873563218391,0.47126436781609193,0.0,0.017241379310344827
"Davis, Rodney",0,0,0.23076923076923078,0.19230769230769232,0.22596153846153846,0.28365384615384615,0.0,0.0673076923076923
"Land, Terri Lynn",0,0,0.16759776536312848,0.08379888268156424,0.13966480446927373,0.6089385474860335,0.0,0.0
"Johnson, Bill",0,0,0.0696969696969697,0.18181818181818182,0.24848484848484848,0.43333333333333335,0.0,0.06666666666666667
"Ernst, Joni",0,0,0.2569832402234637,0.08379888268156424,0.12849162011173185,0.4748603351955307,0.0,0.055865921787709494
"Mooney, Alex",0,0,0.45454545454545453,0.0,0.12987012987012986,0.35064935064935066,0.0,0.06493506493506493
"Gillespie, Ed",0,0,0.145985401459854,0.014598540145985401,0.014598540145985401,0.8248175182481752,0.0,0.0
"Inhofe, James M",0,0,0.15121951219512195,0.12682926829268293,0.14878048780487804,0.5341463414634147,0.0,0.03902439024390244
"Byrne, Bradley",0,0,0.07462686567164178,0.27611940298507465,0.27611940298507465,0.31343283582089554,0.0,0.05970149253731343
"Gibbs, Bob",0,0,0.12413793103448276,0.15172413793103448,0.23448275862068965,0.4206896551724138,0.0,0.06896551724137931
"Schilling, Bobby",0,0,0.3333333333333333,0.0,0.0,0.6666666666666666,0.0,0.0
"Bucshon, Larry",0,0,0.43902439024390244,0.08536585365853659,0.08536585365853659,0.24390243902439024,0.0,0.14634146341463414
"Pompeo, Mike",0,0,0.04924242424242424,0.14772727272727273,0.1856060606060606,0.5416666666666666,0.0,0.07575757575757576
"Rogers, Hal",0,0,0.3333333333333333,0.057971014492753624,0.17391304347826086,0.34782608695652173,0.0,0.08695652173913043
"Enyart, William",0,0,0.28125,0.28125,0.28125,0.0,0.0,0.15625
"Lucas, Frank D",0,0,0.026785714285714284,0.05357142857142857,0.07142857142857142,0.7589285714285714,0.0,0.08928571428571429
"McKinley, David",0,0,0.1729957805907173,0.1940928270042194,0.23628691983122363,0.3881856540084388,0.0,0.008438818565400843
"Vitter, David",0,0,0.18181818181818182,0.21114369501466276,0.2727272727272727,0.31671554252199413,0.0,0.017595307917888565
"Flores, Bill",0,0,0.009615477071894921,0.057692862431369535,0.1634534947451418,0.7115453033202243,0.0,0.057692862431369535
"Messer, Luke",0,0,0.044444444444444446,0.15555555555555556,0.17777777777777778,0.5555555555555556,0.0,0.06666666666666667
"Boehner, John",0,0,0.061946902654867256,0.23893805309734514,0.2743362831858407,0.37168141592920356,0.0,0.05309734513274336
"Gardner, Cory",0,0,0.10869565217391304,0.16436903499469777,0.16436903499469777,0.5572640509013785,0.0,0.005302226935312832
"Tipton, Scott",0,0,0.11042944785276074,0.11042944785276074,0.11042944785276074,0.6687116564417178,0.0,0.0
"Enzi, Mike",0,0,0.16613418530351437,0.11501597444089456,0.12460063897763578,0.536741214057508,0.0,0.05750798722044728
"Lummis, Cynthia",0,0,0.23809523809523808,0.0,0.0,0.7619047619047619,0.0,0.0
"Whitfield, Ed",0,0,0.06837606837606838,0.25854700854700857,0.3611111111111111,0.27350427350427353,0.0,0.038461538461538464
"Wagner, Ann L",0,0,0.16062176165803108,0.15544041450777202,0.23834196891191708,0.34196891191709844,0.0,0.10362694300518134
"Barrasso, John A",0,0,0.22289156626506024,0.3674698795180723,0.3795180722891566,0.030120481927710843,0.0,0.0
"Cantor, Eric",0,0,0.05878044314228163,0.12268815235304889,0.16205823109320638,0.5685771836659952,0.0,0.08789598974546786
"Casey, Nick",0,0,0.18524168591727325,0.26151767423615047,0.3704833718345465,0.18275726801202982,0.0,0.0
"Smith, Jason",0,0,0.18446601941747573,0.1941747572815534,0.24271844660194175,0.33980582524271846,0.0,0.038834951456310676
"Upton, Fred",0,0,0.050966608084358524,0.2390158172231986,0.30052724077328646,0.36731107205623903,0.0,0.0421792618629174
"Blunt, Roy",0,0,0.4827586206896552,0.1724137931034483,0.20689655172413793,0.0,0.0,0.13793103448275862
"Bishop, Rob",0,0,0.0963855421686747,0.0,0.0,0.8313253012048193,0.0,0.07228915662650602
"Long, Billy",0,0,0.0989010989010989,0.2087912087912088,0.25274725274725274,0.32967032967032966,0.0,0.10989010989010989
"Lamborn, Douglas L",0,0,0.09174311926605505,0.01834862385321101,0.01834862385321101,0.8715596330275229,0.0,0.0
"Landrieu, Mary L",0,0,0.02409495636959439,0.20758731641496705,0.2650445200655383,0.4365487125879466,0.02409495636959439,0.042629538192359304
"Chaffetz, Jason",0,0,0.12698412698412698,0.06349206349206349,0.06349206349206349,0.5555555555555556,0.0,0.19047619047619047
"Peterson, Collin",0,0,0.1111111111111111,0.25396825396825395,0.23809523809523808,0.3968253968253968,0.0,0.0
"Scalise, Steve",0,0,0.030927835051546393,0.19329896907216496,0.19072164948453607,0.5335051546391752,0.0,0.05154639175257732
"Cornyn, John",0,0,0.059469350411710885,0.08920402561756634,0.15324794144556267,0.6294602012808783,0.009149130832570906,0.059469350411710885
"Terry, Lee",0,0,0.027149321266968326,0.2579185520361991,0.29411764705882354,0.3755656108597285,0.0,0.04524886877828054
"Brady, Kevin",0,0,0.022727272727272728,0.07196969696969698,0.10227272727272728,0.7272727272727273,0.0,0.07575757575757576
"Coffman, Mike",0,0,0.03468208092485549,0.057803468208092484,0.057803468208092484,0.8034682080924855,0.0,0.046242774566473986
"Benishek, Dan",0,0,0.031914893617021274,0.22340425531914893,0.19148936170212766,0.5212765957446809,0.0,0.031914893617021274
"Rounds, Mike",0,0,0.1601423487544484,0.19217081850533807,0.18505338078291814,0.42704626334519574,0.0,0.03558718861209965
"Zinke, Ryan K",0,0,0.18867924528301888,0.0,0.0,0.7358490566037735,0.0,0.07547169811320754
"Kelly, Mike",0,0,0.12315270935960591,0.1477832512315271,0.1477832512315271,0.4827586206896552,0.0,0.09852216748768473
"Heitkamp, Heidi",0,0,0.13,0.21,0.22,0.44,0.0,0.0
"Griffith, Morgan",0,0,0.12807881773399016,0.17733990147783252,0.22660098522167488,0.3891625615763547,0.0,0.07881773399014778
"Shimkus, John",0,0,0.04519774011299435,0.3050847457627119,0.3644067796610169,0.24293785310734464,0.0,0.0423728813559322
"Walorski, Jackie",0,0,0.06060606060606061,0.12121212121212122,0.12121212121212122,0.494949494949495,0.0,0.20202020202020202
"Matheson, Jim",0,0,0.08130081300813008,0.21138211382113822,0.21138211382113822,0.4146341463414634,0.0,0.08130081300813008
"Murphy, Tim",0,0,0.1092436974789916,0.18907563025210083,0.19747899159663865,0.47478991596638653,0.0,0.029411764705882353
"Lujan, Ben Ray",0,0,0.08108108108108109,0.21621621621621623,0.4189189189189189,0.28378378378378377,0.0,0.0
"Wyden, Ron",0,0,0.020242914979757085,0.3684210526315789,0.4979757085020243,0.012145748987854251,0.048582995951417005,0.05263157894736842
"Luetkemeyer, Blaine",0,0,0.0684931506849315,0.3561643835616438,0.4383561643835616,0.0,0.0,0.136986301369863
"Rothfus, Keith J",0,0,0.25,0.1625,0.1625,0.36875,0.0,0.05625
"Stewart, Chris",0,0,0.05952380952380952,0.03571428571428571,0.03571428571428571,0.7976190476190477,0.0,0.07142857142857142
"Tiberi, Pat",0,0,0.01968503937007874,0.25984251968503935,0.30708661417322836,0.3425196850393701,0.0,0.07086614173228346
"Harris, Andy",0,0,0.078125,0.0,0.0,0.921875,0.0,0.0
"Thompson, Glenn",0,0,0.0743801652892562,0.19008264462809918,0.2066115702479339,0.512396694214876,0.0,0.01652892561983471
"Denham, Jeff",0,0,0.04132231404958678,0.049586776859504134,0.049586776859504134,0.6446280991735537,0.0,0.21487603305785125
"Barton, Joe",0,0,0.03765690376569038,0.14225941422594143,0.2803347280334728,0.5062761506276151,0.0,0.03347280334728033
"Kirk, Mark",0,0,0.3333333333333333,0.17777777777777778,0.17777777777777778,0.044444444444444446,0.1111111111111111,0.15555555555555556
"Simpson, Mike",0,0,0.02926829268292683,0.2146341463414634,0.24878048780487805,0.43902439024390244,0.0,0.06829268292682927
"Roberts, Pat",0,0,0.09309791332263243,0.07704654895666131,0.1348314606741573,0.6468699839486356,0.0,0.048154093097913325
"Young, Don",0,0,0.10526315789473684,0.0,0.0,0.8947368421052632,0.0,0.0
"Schock, Aaron",0,0,0.0392156862745098,0.27450980392156865,0.27450980392156865,0.29411764705882354,0.0,0.11764705882352941
"Crapo, Mike",0,0,1.0,0.0,0.0,0.0,0.0,0.0
"Pryor, Mark",0,0,0.02072538860103627,0.27461139896373055,0.35233160621761656,0.2694300518134715,0.0,0.08290155440414508
"Costa, Jim",0,0,0.03636363636363636,0.0,0.0,0.9636363636363636,0.0,0.0
"Scott, Tim",0,0,0.153125,0.18125,0.1875,0.415625,0.0,0.0625
"Sasse, Ben",0,0,0.18235294117647058,0.058823529411764705,0.058823529411764705,0.6411764705882353,0.0,0.058823529411764705
"Fleischmann, Chuck",0,0,0.2,0.0,0.0,0.6,0.0,0.2
"Gallego, Pete",0,0,0.045454545454545456,0.10227272727272728,0.3977272727272727,0.36363636363636365,0.0,0.09090909090909091
"Kinzinger, Adam",0,0,0.02040816326530612,0.2193877551020408,0.23469387755102042,0.42346938775510207,0.0,0.10204081632653061
