Recipient,Total,Party,Chamber
"Blunt, Roy",39000,Republican,Senate
"Emerson, Jo Ann",22000,Republican,House
"Costello, Jerry F",18000,Democrat,House
"Shimkus, John",124500,Republican,House
"Luetkemeyer, Blaine",33000,Republican,House
"McCaskill, Claire",37000,Democrat,Senate
"Schock, Aaron",33000,Republican,House
"Clay, William L Jr",28000,Democrat,House
"Boucher, Rick",78500,Democrat,House
"Graves, Sam",29000,Republican,House
"Skelton, Ike",11500,Democrat,House
"Halvorson, Deborah",11000,Democrat,House
"Hare, Phil",8000,Democrat,House
"Akin, Todd",8500,Republican,House
"Carnahan, Russ",8000,Democrat,House
"Grassley, Chuck",34000,Republican,Senate
"Murkowski, Lisa",99500,Republican,Senate
"Barton, Joe",95000,Republican,House
"Davis, Danny K",10000,Democrat,House
"Johnson, Timothy",8000,Republican,House
"Baucus, Max",58000,Democrat,Senate
"Clyburn, James E",132500,Democrat,House
"Butterfield, G K",46000,Democrat,House
"Dingell, John D",94500,Democrat,House
"Roskam, Peter",16000,Republican,House
"Dorgan, Byron L",42624,Democrat,Senate
"McConnell, Mitch",76000,Republican,Senate
"Cantor, Eric",51750,Republican,House
"Lincoln, Blanche",50500,Democrat,Senate
"Hoyer, Steny H",189250,Democrat,House
"Bayh, Evan",15000,Democrat,Senate
"Barrow, John",89500,Democrat,House
"Bond, Christopher ""Kit""",3000,Republican,Senate
"Green, Gene",27800,Democrat,House
"Crapo, Mike",27000,Republican,Senate
"Isakson, Johnny",13500,Republican,Senate
"Frelinghuysen, Rodney",29000,Republican,House
"Boehner, John",194000,Republican,House
"Durbin, Dick",19500,Democrat,Senate
"Specter, Arlen",16000,Democrat,Senate
"Rush, Bobby L",21500,Democrat,House
"Matheson, Jim",56000,Democrat,House
"Casey, Bob",41000,Democrat,Senate
"Simpson, Mike",33000,Republican,House
"Upton, Fred",193000,Republican,House
"Conrad, Kent",12000,Democrat,Senate
"Mollohan, Alan B",7000,Democrat,House
"Bingaman, Jeff",13500,Democrat,Senate
"Murphy, Tim",62000,Republican,House
"Inouye, Daniel K",4500,Democrat,Senate
"Gordon, Bart",12500,Democrat,House
"Levin, Sander",52500,Democrat,House
"Graham, Lindsey",37000,Republican,Senate
"Webb, Jim",7000,Democrat,Senate
"Rangel, Charles B",4500,Democrat,House
"Thompson, Bennie G",81500,Democrat,House
"Biggert, Judy",6500,Republican,House
"Kinzinger, Adam",45000,Republican,House
"Hill, Baron",12000,Democrat,House
"Landrieu, Mary L",77000,Democrat,Senate
"Neal, Richard E",52500,Democrat,House
"Hartzler, Vicky",8000,Republican,House
"Lucas, Frank D",10000,Republican,House
"Bennett, Robert F",23500,Republican,Senate
"Pryor, Mark",48000,Democrat,Senate
"Shuler, Heath",9500,Democrat,House
"Doyle, Mike",83500,Democrat,House
"Bunning, Jim",5000,Republican,Senate
"Stabenow, Debbie",52500,Democrat,Senate
"Thune, John",32000,Republican,Senate
"Nelson, Ben",20000,Democrat,Senate
"Bean, Melissa",6500,Democrat,House
"Warner, Mark",13500,Democrat,Senate
"Arcuri, Mike",1000,Democrat,House
"Space, Zack",31500,Democrat,House
"Murphy, Scott",14000,Democrat,House
"Meeks, Gregory W",1500,Democrat,House
"Peters, Gary",33500,Democrat,House
"Schauer, Mark",10000,Democrat,House
"Camp, Dave",107999,Republican,House
"Miller, Candice S",35000,Republican,House
"Allen, Jason",5000,Republican,House
"Stupak, Bart",13000,Democrat,House
"Kilpatrick, Carolyn Cheeks",7000,Democrat,House
"Huizenga, Bill",26000,Republican,House
"Rogers, Mike",34500,Republican,House
"Obey, David R",12675,Democrat,House
"Benishek, Dan",51500,Republican,House
"McCain, John",37000,Republican,Senate
"Bennet, Michael",28500,Democrat,Senate
"McCotter, Thaddeus G",7500,Republican,House
"Pastor, Ed",22000,Democrat,House
"Udall, Mark",48500,Democrat,Senate
"Burr, Richard",28500,Republican,Senate
"Spratt, John M Jr",21000,Democrat,House
"Conyers, John Jr",16500,Democrat,House
"Kildee, Dale E",7000,Democrat,House
"Visclosky, Pete",31500,Democrat,House
"Amash, Justin",9500,Republican,House
"Markey, Ed",22500,Democrat,Senate
"Vitter, David",31000,Republican,Senate
"Walberg, Tim",25500,Republican,House
"Manchin, Joe",76500,Democrat,Senate
"McDowell, Gary J",2500,Democrat,House
"Toomey, Pat",46500,Republican,Senate
"Ryan, Paul",48500,Republican,House
"Dent, Charlie",47000,Republican,House
"Murphy, Christopher S",34500,Democrat,House
"Whitfield, Ed",135000,Republican,House
"Teague, Harry",8000,Democrat,House
"Kratovil, Frank",8500,Democrat,House
"Crowley, Joseph",49500,Democrat,House
"Ehlers, Vernon J",2000,Republican,House
"Sessions, Pete",16500,Republican,House
"Ayotte, Kelly",21000,Republican,Senate
"Rockefeller, Jay",6000,Democrat,Senate
"Mikulski, Barbara A",4500,Democrat,Senate
"Becerra, Xavier",6500,Democrat,House
"Larsen, Rick",3000,Democrat,House
"Sullivan, John",18000,Republican,House
"Klobuchar, Amy",22000,Democrat,Senate
"Quayle, Ben",4000,Republican,House
"Bass, Charles",26000,Republican,House
"Coats, Dan",20500,Republican,Senate
"Edwards, Chet",22000,Democrat,House
"Ross, Mike",27500,Democrat,House
"Kirk, Mark",6500,Republican,Senate
"Van Hollen, Chris",5000,Democrat,House
"Fincher, Steve",1000,Republican,House
"Rehberg, Denny",56000,Republican,House
"Murray, Patty",17500,Democrat,Senate
"Scalise, Steve",66000,Republican,House
"Shaheen, Jeanne",17000,Democrat,Senate
"Boren, Dan",3500,Democrat,House
"Griffin, Tim",15000,Republican,House
"Larson, John B",17000,Democrat,House
"Myrick, Sue",23500,Republican,House
"Petri, Tom",5000,Republican,House
"Gonzalez, Charlie A",10500,Democrat,House
"Pomeroy, Earl",22050,Democrat,House
"Shuster, Bill",53000,Republican,House
"Schultz, Debbie Wasserman",1000,Democrat,House
"Mitchell, Harry",4000,Democrat,House
"Crawford, Rick",10000,Republican,House
"Reed, Tom",19000,Republican,House
"Chambliss, Saxby",4500,Republican,Senate
"Hall, Ralph",10000,Republican,House
"Burgess, Michael",13000,Republican,House
"Altmire, Jason",28000,Democrat,House
"McCarthy, Kevin",72500,Republican,House
"Yoder, Kevin",1000,Republican,House
"Adler, John H",6500,Democrat,House
"Portman, Rob",58500,Republican,Senate
"Kind, Ron",57000,Democrat,House
"Barrasso, John A",89000,Republican,Senate
"Ryan, Tim",50500,Democrat,House
"Grijalva, Raul M",3500,Democrat,House
"Edwards, Donna",4000,Democrat,House
"Himes, Jim",24500,Democrat,House
"Bucshon, Larry",6500,Republican,House
"Walden, Greg",88750,Republican,House
"Carper, Tom",17130,Democrat,Senate
"Stivers, Steve",31000,Republican,House
"Rubio, Marco",18500,Republican,Senate
"Meehan, Patrick",25000,Republican,House
"Black, Diane",7000,Republican,House
"Clarke, Hansen",8000,Democrat,House
"Driehaus, Steve",10500,Democrat,House
"Kissell, Larry",12000,Democrat,House
"Inglis, Bob",8500,Republican,House
"Etheridge, Bob",5500,Democrat,House
"Ellsworth, Brad",6500,Democrat,House
"Hagan, Kay R",18000,Democrat,Senate
"Duncan, Jeff",24000,Republican,House
"McHenry, Patrick",17000,Republican,House
"Chabot, Steve",36000,Republican,House
"McIntyre, Mike",30500,Democrat,House
"Boxer, Barbara",7000,Democrat,Senate
"Mulvaney, Mick",22500,Republican,House
"Tiberi, Pat",79000,Republican,House
"Thomas, David Lloyd",2500,Republican,House
"Brown, Sherrod",26000,Democrat,Senate
"Coble, Howard",12000,Republican,House
"Davis, Geoff",9000,Republican,House
"Schmidt, Jean",7000,Republican,House
"Conway, Jack",4500,Democrat,Senate
"Foxx, Virginia",12500,Republican,House
"Grayson, Trey",4500,Republican,Senate
"Waxman, Henry",8500,Democrat,House
"Nye, Glenn",3500,Democrat,House
"Christian-Christensen, Donna",3500,Democrat,
"Austria, Steve",9000,Republican,House
"Watt, Melvin L",6500,Democrat,House
"Stutzman, Marlin",8000,Republican,House
"Melancon, Charles",22000,Democrat,House
"Boccieri, John A",9000,Democrat,House
"Carson, Andre",13000,Democrat,House
"Gowdy, Trey",19500,Republican,House
"Towns, Edolphus",26000,Democrat,House
"Markey, Betsy",10000,Democrat,House
"Paul, Rand",5000,Republican,Senate
"Donnelly, Joe",11000,Democrat,Senate
"Lummis, Cynthia",6000,Republican,House
"Lieberman, Joe",5000,Independent,Senate
"Brown, Henry",2000,Republican,House
"Wilson, Charlie",10000,Democrat,House
"Lee, Barbara",17000,Democrat,House
"Latham, Tom",28000,Republican,House
"Lewis, John",22000,Democrat,House
"Bright, Bobby",13500,Democrat,House
"Fudge, Marcia L",32500,Democrat,House
"Rokita, Todd",10000,Republican,House
"Childers, Travis",20500,Democrat,House
"Miller, Brad",3000,Democrat,House
"Cummings, Elijah E",3000,Democrat,House
"Castle, Michael N",1000,Republican,House
"Sutton, Betty Sue",22000,Democrat,House
"Jones, Walter B Jr",6000,Republican,House
"Shelby, Richard C",17500,Republican,Senate
