Recipient,Party,Chamber,Coal Total,Hydro Total,Nuclear Total,Oil Total,Solar Total,Wind Total,Total,PAC Total,FEC Candidate ID,ID,Coal Ratio,Hydro Ratio,Nuclear Ratio,Oil Ratio,Solar Ratio,Wind Ratio
"Portman, Rob",Republican,Senate,20400,34000,39000,79000,0,9500,181900,2018764.0,S0OH00133,P000449,0.010105193078537165,0.016841988464228606,0.01931875147367399,0.03913285554923706,0.0,0.004705849717946228
"Blunt, Roy",Republican,House,37500,32000,44000,90000,0,9500,213000,213000.0,H6MO07128,B000575,0.176056338028169,0.15023474178403756,0.20657276995305165,0.4225352112676056,0.0,0.04460093896713615
"Buck, Ken",Republican,Senate,15000,0,0,38500,0,0,53500,498547.0,S0CO00237,B001297,0.030087434083446496,0.0,0.0,0.07722441414751267,0.0,0.0
"Rubio, Marco",Republican,Senate,5000,2000,2000,57500,0,1000,67500,1260653.0,S0FL00338,R000595,0.003966198470157926,0.0015864793880631704,0.0015864793880631704,0.04561128240681615,0.0,0.0007932396940315852
"Kirk, Mark",Republican,House,22000,1000,1000,58500,0,7500,90000,2364142.2,S0IL00261,K000360,0.00930570081613534,0.00042298640073342456,0.00042298640073342456,0.024744704442905337,0.0,0.003172398005500684
"Burr, Richard",Republican,Senate,15000,24500,25500,82000,1000,13000,161000,2721777.0,S4NC00089,B001135,0.005511105428549069,0.00900147219996348,0.009368879228533418,0.03012737634273491,0.00036740702856993796,0.0047762913714091935
"Johnson, Ron",Republican,Senate,1000,2000,1000,18500,0,1000,23500,805777.0,S0WI00197,J000293,0.0012410381532359448,0.0024820763064718897,0.0012410381532359448,0.022959205834864983,0.0,0.0012410381532359448
"McKinley, David",Republican,House,17500,0,0,4000,0,0,21500,307885.79,H0WV01072,M001180,0.05683925847958102,0.0,0.0,0.012991830509618519,0.0,0.0
"Young, Todd",Republican,House,6000,0,0,7500,0,0,13500,223358.41,H0IN09070,Y000064,0.02686265540661755,0.0,0.0,0.03357831925827194,0.0,0.0
"Gibbs, Bob",Republican,House,10000,1000,1000,16000,0,1000,29000,319045.5,H0OH18077,G000563,0.03134349175901243,0.003134349175901243,0.003134349175901243,0.05014958681441989,0.0,0.003134349175901243
"Manchin, Joe",Democrat,Senate,16000,24500,32000,15500,0,3500,91500,1144835.0,S0WV00090,M001183,0.013975813108439207,0.021400463822297537,0.027951626216878415,0.013539068948800482,0.0,0.0030572091174710767
"Hurt, Robert",Republican,House,4000,1000,3000,10000,0,1000,19000,681410.84,H0VA05095,H001060,0.005870173711941536,0.001467543427985384,0.004402630283956152,0.01467543427985384,0.0,0.001467543427985384
"Harris, Andy",Republican,House,3000,0,0,15000,0,0,18000,426693.0,H8MD01094,H001052,0.007030816066820876,0.0,0.0,0.03515408033410438,0.0,0.0
"Donnelly, Joe",Democrat,House,4000,2000,2000,0,0,3000,11000,11000.0,S2IN00091,D000607,0.36363636363636365,0.18181818181818182,0.18181818181818182,0.0,0.0,0.2727272727272727
"Griffith, Morgan",Republican,House,7000,0,0,13000,0,1000,21000,265146.83,H0VA09055,G000568,0.026400466488699863,0.0,0.0,0.04902943776472832,0.0,0.003771495212671409
