Recipient,Party,Chamber,Coal Total,Hydro Total,Nuclear Total,Oil Total,Solar Total,Wind Total,Total,PAC Total,FEC Candidate ID,ID,Coal Ratio,Hydro Ratio,Nuclear Ratio,Oil Ratio,Solar Ratio,Wind Ratio
"Portman, Rob",Republican,Senate,32400,88500,106100,194450,9000,29500,459950,6153194.0,S0OH00133,P000449,0.005265558017510906,0.014382774214497381,0.01724307733512059,0.031601473966203567,0.0014626550048641405,0.004794258071499127
"Blunt, Roy",Republican,Senate,67500,84500,111000,174000,0,24500,461500,461500.0,H6MO07128,B000575,0.14626218851570963,0.18309859154929578,0.24052004333694474,0.37703141928494044,0.0,0.05308775731310943
"Buck, Ken",Republican,House,17000,4000,4000,97200,0,1000,123200,794897.0,S0CO00237,B001297,0.021386418617758023,0.005032098498296006,0.005032098498296006,0.12227999350859294,0.0,0.0012580246245740014
"Rubio, Marco",Republican,Senate,19000,32000,35500,173288,0,15500,275288,3497892.0,S0FL00338,R000595,0.005431842949982447,0.009148367073654648,0.010148969722335624,0.049540694795608325,0.0,0.004431240301301469
"Kirk, Mark",Republican,Senate,38500,20500,19500,97000,5000,29500,210000,4644593.2,S0IL00261,K000360,0.008289208191580697,0.00441373423188063,0.004198430123008404,0.02088449856060591,0.0010765205443611294,0.006351471211730663
"Burr, Richard",Republican,Senate,25000,72000,76000,167200,5500,29000,374700,6664452.0,S4NC00089,B001135,0.0037512461639756726,0.010803588952249938,0.011403788338486045,0.0250883343446693,0.000825274156074648,0.0043514455502117804
"Johnson, Ron",Republican,Senate,11500,19000,22500,88000,0,17000,158000,3024855.0,S0WI00197,J000293,0.003801835129287189,0.006281292822300573,0.007438373079040153,0.029092303598023707,0.0,0.005620104104163671
"McKinley, David",Republican,House,91500,60500,83000,124000,0,5000,364000,2825739.3899999997,H0WV01072,M001180,0.03238090544507008,0.021410325458215737,0.02937284319061002,0.04388231994741738,0.0,0.0017694483849765071
"Young, Todd",Republican,House,21500,17000,19500,90500,0,21000,169500,1755652.45,H0IN09070,Y000064,0.012246159540289424,0.009683009869066056,0.011106981908634593,0.051547787832381065,0.0,0.011961365132375716
"Gibbs, Bob",Republican,House,32000,33500,55500,108000,0,15000,244000,2463004.8899999997,H0OH18077,G000563,0.012992260035667247,0.01360127222483915,0.022533450999360383,0.04384887762037696,0.0,0.006090121891719022
