Recipient,Total,Party,Chamber
"Murphy, Christopher S",21000,Democrat,Senate
"Rogers, Hal",47300,Republican,House
"Hensarling, Jeb",44000,Republican,House
"Mitchell, Harry",6000,Democrat,House
"Gonzalez, Charlie A",28500,Democrat,House
"Pomeroy, Earl",23500,Democrat,House
"Hurt, Robert",16500,Republican,House
"Burgess, Michael",51000,Republican,House
"Conaway, Mike",46000,Republican,House
"Bright, Bobby",16500,Democrat,House
"Sessions, Pete",57200,Republican,House
"Israel, Steve",36000,Democrat,House
"Alexander, Rodney",17500,Republican,House
"Neugebauer, Randy",23000,Republican,House
"LaTourette, Steve",23000,Republican,House
"Camp, Dave",112499,Republican,House
"Gingrey, Phil",29000,Republican,House
"Turner, Michael R",12000,Republican,House
"Boren, Dan",4500,Democrat,House
"Wills, Robbie",2000,Democrat,House
"Cornyn, John",63000,Republican,Senate
"Gohmert, Louis B Jr",32000,Republican,House
"Salazar, John",13000,Democrat,House
"Quayle, Ben",5000,Republican,House
"Myrick, Sue",26000,Republican,House
"Shadegg, John",1000,Republican,House
"Whitehouse, Sheldon",9000,Democrat,Senate
"Crowley, Joseph",78000,Democrat,House
"Calvert, Ken",1000,Republican,House
"Wyden, Ron",109000,Democrat,Senate
"Johnson, Sam",20600,Republican,House
"Rodriguez, Ciro D",7999,Democrat,House
"Shuster, Bill",108000,Republican,House
"Garrett, Scott",18500,Republican,House
"Engel, Eliot",1000,Democrat,House
"Walden, Greg",157250,Republican,House
"Udall, Mark",57000,Democrat,Senate
"Conway, Jack",5500,Democrat,Senate
"Corker, Bob",35000,Republican,Senate
"Ellsworth, Brad",7500,Democrat,House
"Bass, Charles",9000,Republican,House
"Adler, John H",8000,Democrat,House
"Hastings, Doc",10000,Republican,House
"Boustany, Charles Jr",46000,Republican,House
"Rockefeller, Jay",7000,Democrat,Senate
"Wicker, Roger",22500,Republican,Senate
"McCarthy, Kevin",136500,Republican,House
"Pallone, Frank Jr",27500,Democrat,House
"Bono Mack, Mary",4500,Republican,House
"Nelson, Bill",19000,Democrat,Senate
"Farenthold, Blake",8500,Republican,House
"Lafonta, Juan",200,Democrat,House
"Peters, Gary",38000,Democrat,Senate
"Schauer, Mark",10000,Democrat,House
"Miller, Candice S",36000,Republican,House
"Allen, Jason",10000,Republican,House
"Kilpatrick, Carolyn Cheeks",7000,Democrat,House
"Huizenga, Bill",35000,Republican,House
"Benishek, Dan",51500,Republican,House
"McCotter, Thaddeus G",7500,Republican,House
"Spratt, John M Jr",24000,Democrat,House
"Conyers, John Jr",26500,Democrat,House
"Kildee, Dale E",7000,Democrat,House
"Amash, Justin",9500,Republican,House
"Walberg, Tim",38500,Republican,House
"McDowell, Gary J",2500,Democrat,House
"Toomey, Pat",79000,Republican,Senate
"Dent, Charlie",66000,Republican,House
"Teague, Harry",22500,Democrat,House
"Kratovil, Frank",9500,Democrat,House
"Ehlers, Vernon J",2000,Republican,House
"Ayotte, Kelly",52500,Republican,Senate
"Mikulski, Barbara A",4500,Democrat,Senate
"Becerra, Xavier",8500,Democrat,House
"Larsen, Rick",3000,Democrat,House
"Kirk, Mark",19500,Republican,Senate
"Van Hollen, Chris",6000,Democrat,House
"Fincher, Steve",1000,Republican,House
"Rehberg, Denny",58000,Republican,House
"Murray, Patty",37500,Democrat,Senate
"Shaheen, Jeanne",13500,Democrat,Senate
"Griffin, Tim",15000,Republican,House
"Larson, John B",20000,Democrat,House
"Schultz, Debbie Wasserman",2000,Democrat,House
"Crawford, Rick",14000,Republican,House
"Reed, Tom",25500,Republican,House
"Chambliss, Saxby",4500,Republican,Senate
"Yoder, Kevin",34000,Republican,House
"Barrasso, John A",109000,Republican,Senate
"Grijalva, Raul M",3500,Democrat,House
"Edwards, Donna",5500,Democrat,House
"Himes, Jim",13000,Democrat,House
"Bucshon, Larry",16000,Republican,House
"Carper, Tom",25130,Democrat,Senate
"Rubio, Marco",35500,Republican,Senate
"Meehan, Patrick",43000,Republican,House
"Black, Diane",10000,Republican,House
"Clarke, Hansen",8000,Democrat,House
"Driehaus, Steve",10500,Democrat,House
"Kissell, Larry",12000,Democrat,House
"Inglis, Bob",8500,Republican,House
"Etheridge, Bob",5500,Democrat,House
"Hagan, Kay R",19000,Democrat,Senate
"Duncan, Jeff",34000,Republican,House
"McHenry, Patrick",33500,Republican,House
"Chabot, Steve",53000,Republican,House
"McIntyre, Mike",32500,Democrat,House
"Boxer, Barbara",13000,Democrat,Senate
"Mulvaney, Mick",32500,Republican,House
"Thomas, David Lloyd",2500,Republican,House
"Coble, Howard",12000,Republican,House
"Davis, Geoff",9000,Republican,House
"Schmidt, Jean",7000,Republican,House
"Foxx, Virginia",26500,Republican,House
"Grayson, Trey",4500,Republican,Senate
"Waxman, Henry",13500,Democrat,House
"Nye, Glenn",3500,Democrat,House
"Christian-Christensen, Donna",3500,Democrat,
"Watt, Melvin L",6500,Democrat,House
"Carson, Andre",18000,Democrat,House
"Gowdy, Trey",26000,Republican,House
"Paul, Rand",16000,Republican,Senate
"Donnelly, Joe",13500,Democrat,Senate
"Lummis, Cynthia",9000,Republican,House
"Lieberman, Joe",4000,Independent,Senate
"Brown, Henry",2000,Republican,House
"Lee, Barbara",22500,Democrat,House
"Lewis, John",25500,Democrat,House
"Fudge, Marcia L",55500,Democrat,House
"Rokita, Todd",16000,Republican,House
"Childers, Travis",21500,Democrat,House
"Miller, Brad",3000,Democrat,House
"Cummings, Elijah E",4000,Democrat,House
"Castle, Michael N",1000,Republican,House
"Sutton, Betty Sue",24000,Democrat,House
"Jones, Walter B Jr",8500,Republican,House
"Shelby, Richard C",30500,Republican,Senate
"Meek, Kendrick B",3750,Democrat,House
"Price, David",8000,Democrat,House
"Moran, Jerry",27500,Republican,Senate
"Risch, James E",4000,Republican,Senate
"Holden, Tim",31000,Democrat,House
"Lugar, Richard G",12000,Republican,Senate
"Boyd, Allen",12000,Democrat,House
"Pelosi, Nancy",9500,Democrat,House
"Begich, Mark",45500,Democrat,Senate
"Scott, Tim",72000,Republican,Senate
"Levin, Carl",1000,Democrat,Senate
"Nunes, Devin",27000,Republican,House
"Gibbs, Bob",55500,Republican,House
"DeMint, Jim",5000,Republican,Senate
"Flores, Bill",44785,Republican,House
"Marchant, Kenny",29999,Republican,House
"Johnson, Eddie Bernice",28698,Democrat,House
"Carter, John",36000,Republican,House
"Granger, Kay",12500,Republican,House
"McCaul, Michael",50500,Republican,House
"Olson, Pete",102999,Republican,House
"Peterson, Collin",27250,Democrat,House
"Smith, Lamar",9500,Republican,House
"Herseth Sandlin, Stephanie",9500,Democrat,House
"Culberson, John",8000,Republican,House
"Thornberry, Mac",39550,Republican,House
"Poe, Ted",18500,Republican,House
"Reyes, Silvestre",2000,Democrat,House
"Jackson Lee, Sheila",10000,Democrat,House
"Hinojosa, Ruben",2000,Democrat,House
"Brady, Kevin",75500,Republican,House
"Palazzo, Steven",48000,Republican,House
"Schumer, Charles E",49000,Democrat,Senate
"Garcia, Joe",6400,Democrat,House
"Harper, Gregg",85000,Republican,House
"King, Pete",10000,Republican,House
"Richmond, Cedric",57500,Democrat,House
"Nunnelee, Alan",36500,Republican,House
"Womack, Steve",19000,Republican,House
"Maffei, Dan",9000,Democrat,House
"Hastings, Alcee L",6000,Democrat,House
"Courtney, Joe",6000,Democrat,House
"Cassidy, Bill",39900,Republican,Senate
"Klein, Ron",4000,Democrat,House
"Owens, Bill",18000,Democrat,House
"Landry, Jeff",9000,Republican,House
"Tonko, Paul",9000,Democrat,House
"Brown, Scott",15500,Republican,Senate
"Elliott, Joyce",1000,Democrat,House
"Downer, Hunt",1000,Republican,House
"Velazquez, Nydia M",2000,Democrat,House
"Dreier, David",1000,Republican,House
"Tanner, John",1000,Democrat,House
"Bledsoe, Cecile H",1000,Republican,House
"McNerney, Jerry",10000,Democrat,House
"Alexander, Lamar",26500,Republican,Senate
"Clarke, Yvette D",13500,Democrat,House
"Cao, Joseph",1000,Republican,House
"Lungren, Dan",1000,Republican,House
"Cardoza, Dennis",1000,Democrat,House
"Coons, Chris",19500,Democrat,Senate
"Bass, Karen",3500,Democrat,House
"Sanchez, Loretta",1500,Democrat,House
"Hilliard, Earl Frederick Jr",5500,Democrat,House
"Pompeo, Mike",57500,Republican,House
"Cleaver, Emanuel",24000,Democrat,House
"Tiahrt, Todd",3000,Republican,House
"Jenkins, Lynn",28750,Republican,House
"Huelskamp, Tim",6500,Republican,House
"Barnett, James A",250,Republican,House
"Moore, Dennis",1000,Democrat,House
"Thompson, Glenn",47150,Republican,House
"Dahlkemper, Kathy",11000,Democrat,House
"Renacci, Jim",43000,Republican,House
"Lance, Leonard",29500,Republican,House
"Pitts, Joe",38500,Republican,House
"Stearns, Cliff",8000,Republican,House
"Broun, Paul",26500,Republican,House
"Burns, Timothy R",1000,Republican,House
"Kanjorski, Paul E",11000,Democrat,House
"Holt, Rush",7500,Democrat,House
"Issa, Darrell",2000,Republican,House
"Carney, John",8000,Democrat,House
"Clinton, Hillary",12500,Democrat,
"Hutchison, Kay Bailey",2500,Republican,Senate
"Pascrell, Bill Jr",7000,Democrat,House
"Collins, Susan M",4000,Republican,Senate
"Bilbray, Brian P",7500,Republican,House
"LoBiondo, Frank",11000,Republican,House
"Harman, Jane",1000,Democrat,House
"Michaud, Mike",3000,Democrat,House
"Inslee, Jay",1000,Democrat,House
"Causey, Chad",1000,Democrat,House
"Heinrich, Martin",47000,Democrat,Senate
"Lujan, Ben Ray",66000,Democrat,House
"Udall, Tom",38000,Democrat,Senate
"White, Bill",1000,Democrat,Senate
"DeFazio, Peter",7500,Democrat,House
"Blumenauer, Earl",34000,Democrat,House
"Schrader, Kurt",54250,Democrat,House
"Wu, David",2000,Democrat,House
"Carney, Chris",13000,Democrat,House
"Murphy, Patrick J",10000,Democrat,House
"Schwartz, Allyson",14500,Democrat,House
"Chandler, Ben",12000,Democrat,House
"Barletta, Lou",40500,Republican,House
"Marino, Tom",53200,Republican,House
"Gerlach, Jim",39500,Republican,House
"Yarmuth, John A",28000,Democrat,House
"Thompson, Mike",25500,Democrat,House
"Tester, Jon",34000,Democrat,Senate
"Guthrie, Brett",63500,Republican,House
"Sewell, Terri A",60000,Democrat,House
"Aderholt, Robert B",45000,Republican,House
"Taylor, Gene",10000,Democrat,House
"Smoot, Sheila",10000,Democrat,House
"Bonner, Jo",20000,Republican,House
"Woodall, Rob",40000,Republican,House
"Rogers, Mike D",39000,Republican,House
"Westmoreland, Lynn A",36000,Republican,House
"Bachus, Spencer",20000,Republican,House
"Graves, Tom",41000,Republican,House
