Recipient,Total,Party,Chamber
"Reichert, Dave",37000,Republican,House
"Schauer, Mark",4000,Democrat,House
"Snowe, Olympia",4000,Republican,Senate
"Costello, Jerry F",7000,Democrat,House
"Royce, Ed",29000,Republican,House
"Stearns, Cliff",5000,Republican,House
"Baca, Joe",6000,Democrat,House
"McCarthy, Kevin",45000,Republican,House
"Fattah, Chaka",4000,Democrat,House
"Coble, Howard",5000,Republican,House
"DeMint, Jim",4000,Republican,Senate
"Hill, Baron",6000,Democrat,House
"Sensenbrenner, Jim",9000,Republican,House
"Biggert, Judy",14000,Republican,House
"Granger, Kay",25000,Republican,House
"Berkley, Shelley",5000,Democrat,House
"Rogers, Mike D",29500,Republican,House
"Price, Tom",42000,Republican,House
"Slaughter, Louise M",19000,Democrat,House
"Inslee, Jay",6000,Democrat,House
"Mikulski, Barbara A",9000,Democrat,Senate
"Kingston, Jack",14500,Republican,House
"Herger, Wally",4000,Republican,House
"Sanchez, Linda",20000,Democrat,House
"Murphy, Tim",19500,Republican,House
"Richardson, Laura",7000,Democrat,House
"Pascrell, Bill Jr",32000,Democrat,House
"Watt, Melvin L",6000,Democrat,House
"Rogers, Hal",27000,Republican,House
"Clarke, Yvette D",18500,Democrat,House
"Smith, Lamar",13000,Republican,House
"Cooper, Jim",13000,Democrat,House
"Rogers, Mike",21000,Republican,House
"Ellsworth, Brad",3500,Democrat,House
"Courtney, Joe",12000,Democrat,House
"Kirk, Mark",29500,Republican,Senate
"Nelson, Bill",12500,Democrat,Senate
"Gutierrez, Luis V",4500,Democrat,House
"Rush, Bobby L",15500,Democrat,House
"Bachmann, Michele",3000,Republican,House
"Kerry, John",5500,Democrat,Senate
"Garrett, Scott",17500,Republican,House
"Visclosky, Pete",30500,Democrat,House
"Nye, Glenn",3500,Democrat,House
"Manchin, Joe",8500,Democrat,Senate
"Rahall, Nick",17500,Democrat,House
"Nunes, Devin",25500,Republican,House
"Rubio, Marco",15500,Republican,Senate
"Sherman, Brad",2000,Democrat,House
"Van Hollen, Chris",15000,Democrat,House
"Ross, Mike",3000,Democrat,House
"Kratovil, Frank",3000,Democrat,House
"Engel, Eliot",8000,Democrat,House
"Weiner, Anthony D",2000,Democrat,House
"Specter, Arlen",3000,Democrat,Senate
"Hinchey, Maurice",4000,Democrat,House
"Barton, Joe",20000,Republican,House
"Brady, Kevin",34000,Republican,House
"Scott, David",6500,Democrat,House
"Lipinski, Daniel",28000,Democrat,House
"Altmire, Jason",7500,Democrat,House
"Austria, Steve",4000,Republican,House
"Bright, Bobby",3000,Democrat,House
"Mollohan, Alan B",3000,Democrat,House
"Bunning, Jim",3000,Republican,Senate
"Emerson, Jo Ann",9500,Republican,House
"Johnson, Sam",18000,Republican,House
"Etheridge, Bob",8000,Democrat,House
"Coats, Dan",10000,Republican,Senate
"Obey, David R",3000,Democrat,House
"Terry, Lee",11000,Republican,House
"Sutton, Betty Sue",4000,Democrat,House
"Olver, John W",4000,Democrat,House
"Cohen, Steve",4000,Democrat,House
"Kaptur, Marcy",21000,Democrat,House
"Chabot, Steve",16500,Republican,House
"Bilirakis, Gus",16000,Republican,House
"Boccieri, John A",3000,Democrat,House
"Hunter, Duncan D",16000,Republican,House
"Merkley, Jeff",7000,Democrat,Senate
"Critz, Mark",12000,Democrat,House
"Carter, John",7000,Republican,House
"Dent, Charlie",34500,Republican,House
"Donnelly, Joe",8500,Democrat,Senate
"Ross, Dennis",24500,Republican,House
"LoBiondo, Frank",10000,Republican,House
"Oberstar, James L",3000,Democrat,House
"LaTourette, Steve",7500,Republican,House
"Bayh, Evan",4000,Democrat,Senate
"Kline, John",11000,Republican,House
"Gonzalez, Charlie A",3000,Democrat,House
"Barrasso, John A",10000,Republican,Senate
"Thompson, Mike",28000,Democrat,House
"Paul, Rand",2000,Republican,Senate
"Ayotte, Kelly",12000,Republican,Senate
"Bass, Karen",14000,Democrat,House
"Gerlach, Jim",24500,Republican,House
"Carney, Chris",2500,Democrat,House
"Paulsen, Erik",34500,Republican,House
"Davis, Lincoln",2500,Democrat,House
"Ruppersberger, Dutch",15500,Democrat,House
"Gordon, Bart",2000,Democrat,House
"Baldwin, Tammy",6500,Democrat,Senate
"Manzullo, Don",6175,Republican,House
"Klobuchar, Amy",7000,Democrat,Senate
"Ellison, Keith",2000,Democrat,House
"Toomey, Pat",22000,Republican,Senate
"Markey, Betsy",2000,Democrat,House
"Brown, Sherrod",18000,Democrat,Senate
"Lucas, Frank D",21000,Republican,House
"Ros-Lehtinen, Ileana",5000,Republican,House
"Stupak, Bart",4000,Democrat,House
"Boswell, Leonard",3000,Democrat,House
"Jackson Lee, Sheila",9000,Democrat,House
"Latta, Robert E",16000,Republican,House
"McCaskill, Claire",4500,Democrat,Senate
"Speier, Jackie",7000,Democrat,House
"Menendez, Robert",7000,Democrat,Senate
