Recipient,Total,Party,Chamber
"Price, David",8000,Democrat,House
"Van Hollen, Chris",5500,Democrat,House
"Rice, Tom",6000,Republican,House
"Ashford, Brad",6000,Democrat,House
"Zeldin, Lee",6000,Republican,House
"Esty, Elizabeth",6000,Democrat,House
"Katko, John",6000,Republican,House
"Schrader, Kurt",5500,Democrat,House
"Olson, Pete",5500,Republican,House
"Barton, Joe",6500,Republican,House
"Costello, Ryan",11500,Republican,House
"Noem, Kristi",5500,Republican,House
"Grothman, Glenn S",5500,Republican,House
"Aguilar, Pete",5000,Democrat,House
"Boehner, John",5000,Republican,House
"Derickson, Tim",5000,Republican,House
"Ruiz, Raul",5000,Democrat,House
"Roskam, Peter",7000,Republican,House
"Murphy, Tim",5000,Republican,House
"Clark, Katherine",5000,Democrat,House
"Aderholt, Robert B",5000,Republican,House
"Garamendi, John",7000,Democrat,House
"Hanna, Richard",5000,Republican,House
"Graves, Garret",6000,Republican,House
"Moran, Jerry",7500,Republican,Senate
"Royce, Ed",5000,Republican,House
"Sasse, Ben",5000,Republican,Senate
"Foxx, Virginia",5000,Republican,House
"Connolly, Gerry",5000,Democrat,House
"Castro, Joaquin",5000,Democrat,House
"Dingell, Debbie",5000,Democrat,House
"Lujan, Ben Ray",5000,Democrat,House
"Graves, Tom",5000,Republican,House
"Weber, Randy",5000,Republican,House
"Meeks, Gregory W",5000,Democrat,House
"Brown, Corrine",5000,Democrat,House
"Cooper, Jim",5000,Democrat,House
"Sessions, Pete",5000,Republican,House
"Brooks, Susan",5000,Republican,House
"Byrne, Bradley",5000,Republican,House
"Latta, Robert E",5000,Republican,House
"Clarke, Yvette D",5000,Democrat,House
"Richmond, Cedric",5000,Democrat,House
"Pitts, Joe",5500,Republican,House
"Bucshon, Larry",4500,Republican,House
"Rigell, Scott",4500,Republican,House
"Crenshaw, Ander ",4500,Republican,House
"Hudson, Richard",4500,Republican,House
"Maloney, Sean Patrick",4000,Democrat,House
"Meehan, Patrick",9500,Republican,House
"Angelle, Scott",4500,Republican,House
"Guthrie, Brett",4000,Republican,House
"Langevin, Jim",4000,Democrat,House
"Marino, Tom",4000,Republican,House
"Kildee, Dan",4000,Democrat,House
"Norcross, Don",4000,Democrat,House
"McCollum, Betty",4000,Democrat,House
"Forbes, Randy",4000,Republican,House
"Pocan, Mark",4000,Democrat,House
"Calvert, Ken",4000,Republican,House
"Wittman, Rob",4000,Republican,House
"LaHood, Darin",4000,Republican,House
"Rush, Bobby L",4000,Democrat,House
"Kelly, Trent",4000,Republican,House
"Ruppersberger, Dutch",4000,Democrat,House
"Walters, Mimi",5000,Republican,House
"Barletta, Lou",4000,Republican,House
"Bilirakis, Gus",4000,Republican,House
"Walz, Tim",4000,Democrat,House
"Nadler, Jerrold",3500,Democrat,House
"Waters, Maxine",3500,Democrat,House
"Israel, Steve",3500,Democrat,House
"Sewell, Terri A",3500,Democrat,House
"McCaul, Michael",4500,Republican,House
"Barr, Andy",3500,Republican,House
"Hurt, Robert",3500,Republican,House
"Heller, Dean",4500,Republican,Senate
"Brooks, Mo",3500,Republican,House
"Ribble, Reid",3500,Republican,House
"Bass, Karen",3500,Democrat,House
"Comer, James",3500,Republican,House
"Valadao, David",3500,Republican,House
"Nolan, Rick",3000,Democrat,House
"Young, Don",3000,Republican,House
"Butterfield, G K",3000,Democrat,House
"Buchanan, Vernon",3000,Republican,House
"Foster, Bill",3000,Democrat,House
"Thompson, Glenn",4000,Republican,House
"Carney, John",3000,Democrat,House
"Cheney, Liz",1000,Republican,House
"Price, Tom",6000,Republican,House
"Courtney, Joe",3000,Democrat,House
"Klobuchar, Amy",3000,Democrat,Senate
"Carson, Andre",3000,Democrat,House
"Blum, Rod",3000,Republican,House
"Maloney, Carolyn B",3000,Democrat,House
"Salmon, Matt",3000,Republican,House
"DeFazio, Peter",4000,Democrat,House
"Pearce, Steve",3000,Republican,House
"Cuellar, Henry",3000,Democrat,House
"Heck, Joe",6000,Republican,House
"Takai, Mark",3000,Democrat,House
"Speier, Jackie",3000,Democrat,House
"Capuano, Michael E",3000,Democrat,House
"Whitfield, Ed",3000,Republican,House
"Graham, Gwen",3000,Democrat,House
"Russell, Steven",3000,Republican,House
"Bridenstine, James",3000,Republican,House
"Emmer, Tom",3000,Republican,House
"Gallagher, Mike",2000,Republican,House
"Duckworth, Tammy",2000,Democrat,House
"Trott, Dave",2500,Republican,House
"Fudge, Marcia L",2500,Democrat,House
"Young, David",2500,Republican,House
"Schatz, Brian",2500,Democrat,Senate
"Johnson, Hank",2500,Democrat,House
"Delaney, John K",2500,Democrat,House
"Pelosi, Nancy",2500,Democrat,House
"Schock, Aaron",2500,Republican,House
"Crawford, Rick",2500,Republican,House
"Frankel, Lois J",2000,Democrat,House
"Donnelly, Joe",2000,Democrat,Senate
"Lewis, John",2000,Democrat,House
"Matsui, Doris",8000,Democrat,House
"Pompeo, Mike",3000,Republican,House
"Ferguson, Drew",2000,Republican,House
"Lowey, Nita M",5500,Democrat,House
"Sanford, Mark",2000,Republican,House
"Hall, Isadore",2000,Democrat,House
"Bonamici, Suzanne",2000,Democrat,House
"Swalwell, Eric",2000,Democrat,House
"Heitkamp, Heidi",2000,Democrat,Senate
"Kelly, Robin",2000,Democrat,House
"Hollingsworth, Trey",2000,Republican,House
"Collins, Susan M",2000,Republican,Senate
"Lee, Barbara",1000,Democrat,House
"Boozman, John",2000,Republican,Senate
"Tester, Jon",2000,Democrat,Senate
"Stewart, Chris",2000,Republican,House
"Abraham, Ralph",2000,Republican,House
"Hirono, Mazie K",2000,Democrat,Senate
"Keating, Bill",2000,Democrat,House
"Woodall, Rob",2000,Republican,House
"Love, Mia",2000,Republican,House
"Messer, Luke",2000,Republican,House
"Cornyn, John",6500,Republican,Senate
"Gallego, Ruben",2000,Democrat,House
"Culberson, John",4500,Republican,House
"Davis, Danny K",2000,Democrat,House
"Johnson, Sam",2000,Republican,House
"Castor, Kathy",2000,Democrat,House
"Loebsack, David",4000,Democrat,House
"Fischer, Deb",2000,Republican,Senate
"Cartwright, Matt",2000,Democrat,House
"Donovan, Dan",2000,Republican,House
"Smith, Lamar",2000,Republican,House
"Baldwin, Tammy",2000,Democrat,Senate
"Carter, John",2000,Republican,House
"Lankford, James",5500,Republican,Senate
"Allen, Richard W",2000,Republican,House
"Titus, Dina",1500,Democrat,House
"Matthews, Kathleen",1000,Democrat,House
"Coleman, Bonnie",3500,Democrat,House
"DeGette, Diana",1500,Democrat,House
"Cardin, Ben",1500,Democrat,Senate
"Gabbard, Tulsi",1000,Democrat,House
"Booker, Cory",2000,Democrat,Senate
"Craig, Angie",1000,Democrat,House
"McConnell, Mitch",1000,Republican,Senate
"Coffman, Mike",1000,Republican,House
"Duffy, Sean P",1000,Republican,House
"Beatty, Joyce",1000,Democrat,House
"King, Angus",1000,Independent,Senate
"Baucum, Trey",1000,Republican,House
"Cohen, Steve",1000,Democrat,House
"McDermott, Jim",1000,Democrat,House
"Whitehouse, Sheldon",1000,Democrat,Senate
"Wenstrup, Brad",3000,Republican,House
"Meadows, Mark",1000,Republican,House
"King, Pete",1000,Republican,House
"Wicker, Roger",1000,Republican,Senate
"Schiff, Adam",1000,Democrat,House
"Honda, Mike",1000,Democrat,House
"Burgess, Michael",2000,Republican,House
"Taylor, Scott",1000,Republican,House
"Rooney, Tom",1000,Republican,House
"Heinrich, Martin",1000,Democrat,Senate
"Kaine, Tim",1000,Democrat,Senate
"Rochester, Lisa Blunt",1000,Democrat,House
"Smucker, Lloyd",1000,Republican,House
"Babin, Brian",1000,Republican,House
"Flake, Jeff",1000,Republican,Senate
"Cleaver, Emanuel",1000,Democrat,House
"Buck, Ken",1000,Republican,House
"Rokita, Todd",1000,Republican,House
"Lawrence, Brenda",1000,Democrat,House
"Inhofe, James M",1000,Republican,Senate
"Simpson, Mike",1000,Republican,House
"Hatch, Orrin G",3000,Republican,Senate
"Reid, Harry",1000,Democrat,Senate
"Amodei, Mark",1000,Republican,House
"Marshall, Roger",1000,Republican,House
"Davis, Susan",1000,Democrat,House
"Lynch, Stephen F",2000,Democrat,House
"Westmoreland, Lynn A",1000,Republican,House
"Flores, Bill",1000,Republican,House
"Farenthold, Blake",1000,Republican,House
"Cicilline, David",1000,Democrat,House
"Scott, Austin",1000,Republican,House
"Brown, Anthony",1000,Democrat,House
"Pace, Jim",1000,Republican,House
"Feinstein, Dianne",1000,Democrat,Senate
"Sanchez, Loretta",1000,Democrat,House
"Chaffetz, Jason",1000,Republican,House
"McKinley, David",3000,Republican,House
"Manchin, Joe",1000,Democrat,Senate
"Vela, Filemon",1000,Democrat,House
"Perdue, David",1000,Republican,Senate
"Hill, French",1000,Republican,House
"McGinty, Katie",5400,Democrat,Senate
"Durbin, Dick",1000,Democrat,Senate
"Masto, Catherine Cortez",1000,Democrat,Senate
"Gardner, Cory",500,Republican,Senate
"Lance, Leonard",4500,Republican,House
"Coons, Chris",4500,Democrat,Senate
"Tillis, Thom",2500,Republican,Senate
"Boyle, Brendan",2000,Democrat,House
"Carper, Tom",1680,Democrat,Senate
"Duncan, John J Jr",1000,Republican,House
"Ratcliffe, John",1000,Republican,House
"Chabot, Steve",1000,Republican,House
"McNerney, Jerry",1000,Democrat,House
"Blackburn, Marsha",1000,Republican,House
"Eshoo, Anna",1000,Democrat,House
"Nelson, Bill",1000,Democrat,Senate
"McGovern, James P",500,Democrat,House
