Recipient,Total,Party,Chamber
"Brady, Kevin",129000,Republican,House
"Barton, Joe",78732,Republican,House
"Castro, Joaquin",12500,Democrat,House
"Rubio, Marco",100700,Republican,Senate
"McCain, John",42000,Republican,Senate
"Scott, Tim",61200,Republican,Senate
"Toomey, Pat",103500,Republican,Senate
"Culberson, John",50500,Republican,House
"Murkowski, Lisa",101400,Republican,Senate
"Boustany, Charles Jr",87000,Republican,House
"McCaul, Michael",54400,Republican,House
"Conaway, Mike",53500,Republican,House
"Lamborn, Douglas L",48500,Republican,House
"Lankford, James",104000,Republican,Senate
"Ryan, Paul",120400,Republican,House
"Flores, Bill",96500,Republican,House
"Cuellar, Henry",64202,Democrat,House
"Shuster, Bill",95200,Republican,House
"Cole, Tom",46500,Republican,House
"Johnson, Bill",57500,Republican,House
"Mullin, Markwayne",78500,Republican,House
"Shimkus, John",58500,Republican,House
"Scalise, Steve",120500,Republican,House
"Marchant, Kenny",46000,Republican,House
"Portman, Rob",108200,Republican,Senate
"Reed, Tom",40000,Republican,House
"Pompeo, Mike",67500,Republican,House
"Perlmutter, Ed",10000,Democrat,House
"Cramer, Kevin",86700,Republican,House
"Kelly, Mike",45812,Republican,House
"Marino, Tom",12000,Republican,House
"Veasey, Marc",30500,Democrat,House
"Turner, Michael R",11000,Republican,House
"Barletta, Lou",20500,Republican,House
"Doyle, Mike",12500,Democrat,House
"Boehner, John",70000,Republican,House
"Hensarling, Jeb",34500,Republican,House
"Bishop, Rob",65500,Republican,House
"Hoeven, John",88500,Republican,Senate
"Whitfield, Ed",32000,Republican,House
"Latta, Robert E",25000,Republican,House
"Ryan, Tim",8500,Democrat,House
"Walden, Greg",77500,Republican,House
"Tiberi, Pat",42500,Republican,House
"Bennet, Michael",45000,Democrat,Senate
"Hurd, Will",111000,Republican,House
"McCarthy, Kevin",113500,Republican,House
"Hudson, Richard",50000,Republican,House
"Gibbs, Bob",22000,Republican,House
"Russell, Steven",32000,Republican,House
"Lucas, Frank D",31000,Republican,House
"McHenry, Patrick",58000,Republican,House
"Thune, John",54000,Republican,Senate
"Ayotte, Kelly",88000,Republican,Senate
"Perry, Scott",21000,Republican,House
"Vitter, David",12000,Republican,Senate
"Carter, John",10500,Republican,House
"Thompson, Glenn",22000,Republican,House
"Stivers, Steve",28850,Republican,House
"Hoyer, Steny H",8500,Democrat,House
"Upton, Fred",89000,Republican,House
"Scott, David",6000,Democrat,House
"Schrader, Kurt",26000,Democrat,House
"Renacci, Jim",30000,Republican,House
"Pearce, Steve",59800,Republican,House
"Graves, Garret",75500,Republican,House
"Bishop, Sanford",10000,Democrat,House
"Peterson, Collin",26000,Democrat,House
"Zeldin, Lee",24000,Republican,House
"Richmond, Cedric",35000,Democrat,House
"Sinema, Kyrsten",11500,Democrat,House
"Ashford, Brad",21000,Democrat,House
"Hall, Ralph",2500,Republican,House
"Murphy, Tim",30000,Republican,House
"Kennedy, John",61200,Republican,Senate
"Boozman, John",58500,Republican,Senate
"Costa, Jim",45500,Democrat,House
"Johnson, Sam",21000,Republican,House
"Olson, Pete",87900,Republican,House
"Blackburn, Marsha",38000,Republican,House
"Blunt, Roy",84000,Republican,Senate
"Moran, Jerry",59000,Republican,Senate
"Thornberry, Mac",10000,Republican,House
"Coffman, Mike",61000,Republican,House
"Guthrie, Brett",40500,Republican,House
"McKinley, David",34000,Republican,House
"Black, Diane",21500,Republican,House
"Katko, John",33000,Republican,House
"Williams, Roger",33000,Republican,House
"Smith, Lamar",39500,Republican,House
"Jenkins, Lynn",34000,Republican,House
"Gohmert, Louis B Jr",11500,Republican,House
"Griffith, Morgan",30068,Republican,House
"Davis, Rodney",23500,Republican,House
"Ratcliffe, John",21500,Republican,House
"Burr, Richard",85200,Republican,Senate
"Calvert, Ken",31000,Republican,House
"Bridenstine, James",26500,Republican,House
"Grassley, Chuck",32500,Republican,Senate
"Costello, Ryan",23000,Republican,House
"Stewart, Chris",30000,Republican,House
"Nunes, Devin",44500,Republican,House
"Granger, Kay",10000,Republican,House
"Farenthold, Blake",37000,Republican,House
"Larsen, Rick",8000,Democrat,House
"Burgess, Michael",29000,Republican,House
"Dent, Charlie",22000,Republican,House
"Poe, Ted",25200,Republican,House
"Tipton, Scott",50500,Republican,House
"McSally, Martha",49000,Republican,House
"Rodgers, Cathy McMorris",44500,Republican,House
"Meehan, Patrick",34500,Republican,House
"Zinke, Ryan K",29500,Republican,House
"Lee, Mike",51500,Republican,Senate
"Angelle, Scott",30000,Republican,House
"Johnson, Ron",68500,Republican,Senate
"Heck, Joe",73500,Republican,House
"Kirk, Mark",37500,Republican,Senate
"Knight, Steve",33500,Republican,House
"Comstock, Barbara",34000,Republican,House
"Denham, Jeff",78500,Republican,House
"Curbelo, Carlos",34000,Republican,House
"Royce, Ed",26000,Republican,House
"Valadao, David",31500,Republican,House
"Holding, George",27500,Republican,House
"Stefanik, Elise",35500,Republican,House
"Roby, Martha",13500,Republican,House
"Issa, Darrell",17500,Republican,House
"Palazzo, Steven",18000,Republican,House
"Love, Mia",30500,Republican,House
"Messer, Luke",34500,Republican,House
"Noem, Kristi",25500,Republican,House
"Walters, Mimi",36000,Republican,House
"Lummis, Cynthia",9500,Republican,House
"Young, Todd",63500,Republican,House
"Walorski, Jackie",25000,Republican,House
"Ros-Lehtinen, Ileana",8000,Republican,House
"Ellmers, Renee",16000,Republican,House
"Wagner, Ann L",20500,Republican,House
"Jenkins, Evan",33500,Republican,House
"Correa, Lou",5000,Democrat,House
"Smith, Jason",26500,Republican,House
