Recipient,Total,Party,Chamber
"Ryan, Paul",84000,Republican,House
"Walker, Scott",7700,Republican,
"Grassley, Chuck",9000,Republican,Senate
"Kind, Ron",20000,Democrat,House
"Grothman, Glenn S",5000,Republican,House
"Loebsack, David",6000,Democrat,House
"Duffy, Sean P",18500,Republican,House
"Shimkus, John",94000,Republican,House
"Johnson, Ron",14500,Republican,Senate
"Young, David",7000,Republican,House
"Baldwin, Tammy",4000,Democrat,Senate
"Pocan, Mark",6000,Democrat,House
"Scalise, Steve",54200,Republican,House
"Gallagher, Mike",8500,Republican,House
"Blum, Rod",4000,Republican,House
"Murkowski, Lisa",60500,Republican,Senate
"Upton, Fred",78000,Republican,House
"Shuster, Bill",42000,Republican,House
"Ribble, Reid",2500,Republican,House
"Sensenbrenner, Jim",2000,Republican,House
"King, Steven A",2000,Republican,House
"Ernst, Joni",2000,Republican,Senate
"Perdue, David",2000,Republican,Senate
"McConnell, Mitch",29500,Republican,Senate
"Cramer, Kevin",31500,Republican,House
"Whitfield, Ed",25000,Republican,House
"Inhofe, James M",1000,Republican,Senate
"Walden, Greg",55500,Republican,House
"Boehner, John",50500,Republican,House
"Blunt, Roy",54000,Republican,Senate
"Clinton, Hillary",7500,Democrat,
"Kinzinger, Adam",32000,Republican,House
"Luetkemeyer, Blaine",15000,Republican,House
"Hartzler, Vicky",11000,Republican,House
"Bost, Mike",13500,Republican,House
"Davis, Rodney",24500,Republican,House
"Clay, William L Jr",10000,Democrat,House
"Bustos, Cheri",21000,Democrat,House
"Smith, Jason",17500,Republican,House
"Graves, Sam",13500,Republican,House
"Wagner, Ann L",19500,Republican,House
"Long, Billy",22000,Republican,House
"Olson, Pete",44500,Republican,House
"LaHood, Darin",12000,Republican,House
"Kirk, Mark",13000,Republican,Senate
"Cleaver, Emanuel",3500,Democrat,House
"Scott, Tim",32500,Republican,Senate
"Paulsen, Erik",18000,Republican,House
"Hoyer, Steny H",64500,Democrat,House
"Guthrie, Brett",25500,Republican,House
"McCain, John",31500,Republican,Senate
"McNerney, Jerry",7000,Democrat,House
"Griffith, Morgan",22500,Republican,House
"Lance, Leonard",12000,Republican,House
"Thornberry, Mac",20050,Republican,House
"Pompeo, Mike",15000,Republican,House
"Brooks, Susan",15000,Republican,House
"Norcross, Don",8000,Democrat,House
"Davis, Danny K",1000,Democrat,House
"Kaine, Tim",11500,Democrat,Senate
"Tiberi, Pat",45500,Republican,House
"Stivers, Steve",27500,Republican,House
"Hultgren, Randy",14000,Republican,House
"Graves, Garret",25500,Republican,House
"McHenry, Patrick",16500,Republican,House
"Dold, Bob",15500,Republican,House
"Johnson, Bill",44500,Republican,House
"Thompson, Bennie G",35500,Democrat,House
"Walberg, Tim",13000,Republican,House
"Ellmers, Renee",16000,Republican,House
"Dingell, Debbie",16000,Democrat,House
"Levin, Sander",14000,Democrat,House
"Murray, Patty",17000,Democrat,Senate
"Huizenga, Bill",9000,Republican,House
"McKinley, David",30000,Republican,House
"Clyburn, James E",41000,Democrat,House
"Portman, Rob",31000,Republican,Senate
"McCaskill, Claire",5500,Democrat,Senate
"Fudge, Marcia L",21000,Democrat,House
"Campbell, Foster",18200,Democrat,Senate
"McCarthy, Kevin",50000,Republican,House
"Hurd, Will",47500,Republican,House
"Boozman, John",29000,Republican,Senate
"Barton, Joe",31000,Republican,House
"Beatty, Joyce",27500,Democrat,House
"Kennedy, John",22000,Republican,Senate
"Gohmert, Louis B Jr",12000,Republican,House
"Jordan, Jim",14000,Republican,House
"Gibbs, Bob",17500,Republican,House
"Mullin, Markwayne",16000,Republican,House
"Ayotte, Kelly",40500,Republican,Senate
