Recipient,Total,Party,Chamber
"Portman, Rob",37400,Republican,Senate
"Blunt, Roy",67500,Republican,Senate
"Angle, Sharron",5000,Republican,Senate
"Fiorina, Carly",12000,Republican,Senate
"Buck, Ken",17000,Republican,House
"Mongiardo, Daniel",5000,Democrat,Senate
"Rubio, Marco",19000,Republican,Senate
"Toomey, Pat",53500,Republican,Senate
"Kirk, Mark",38500,Republican,Senate
"Burr, Richard",25000,Republican,Senate
"Rossi, Dino",6000,Republican,Senate
"Templeman, Mike",5000,Republican,House
"Johnson, Ron",11500,Republican,Senate
"McKinley, David",108000,Republican,House
"Bayh, Evan",10500,Democrat,Senate
"Young, Todd",26000,Republican,Senate
"Sullivan, John",11000,Republican,House
"Burns, Timothy R",6000,Republican,House
"Gibbs, Bob",44000,Republican,House
"Boren, Dan",5400,Democrat,House
"Whitfield, Ed",66500,Republican,House
"Rogers, Hal",79000,Republican,House
"Manchin, Joe",54000,Democrat,Senate
"Davis, Geoff",16000,Republican,House
"Hurt, Robert",6000,Republican,House
"Chabot, Steve",7000,Republican,House
"Altmire, Jason",20000,Democrat,House
"Specter, Arlen",13000,Democrat,Senate
"Bunning, Jim",3000,Republican,Senate
"Costello, Jerry F",13500,Democrat,House
"Harris, Andy",15500,Republican,House
"Maynard, Elliott",2000,Republican,House
"Donnelly, Joe",10500,Democrat,Senate
"Griffith, Morgan",72500,Republican,House
"Coats, Dan",8000,Republican,Senate
"Cantor, Eric",38525,Republican,House
"Dorgan, Byron L",9000,Democrat,Senate
"Ross, Mike",7500,Democrat,House
"Boozman, John",8000,Republican,Senate
"Thompson, Glenn",18500,Republican,House
"Ayotte, Kelly",8000,Republican,Senate
"Lincoln, Blanche",9000,Democrat,Senate
"Guthrie, Brett",24500,Republican,House
"Bartlett, Roscoe G",8000,Republican,House
"McCaskill, Claire",20000,Democrat,Senate
"Capito, Shelley Moore",76000,Republican,Senate
"Lummis, Cynthia",57000,Republican,House
"Shimkus, John",79500,Republican,House
"Salazar, John",8000,Democrat,House
"Paul, Rand",25350,Republican,Senate
"Rehberg, Denny",68000,Republican,House
"Emerson, Jo Ann",13500,Republican,House
"Matheson, Jim",19000,Democrat,House
"Barr, Andy",83000,Republican,House
"Lee, Mike",10000,Republican,Senate
"Thune, John",18000,Republican,Senate
"Rockefeller, Jay",5000,Democrat,Senate
"Boucher, Rick",14500,Democrat,House
"Camp, Dave",25000,Republican,House
"Oliverio, Mike",4900,Democrat,House
"Wilson, Charlie",10000,Democrat,House
"Hoeven, John",58500,Republican,Senate
"Isakson, Johnny",12000,Republican,Senate
"Hastings, Doc",28000,Republican,House
"Murkowski, Lisa",40500,Republican,Senate
"Gardner, Cory",36000,Republican,Senate
"Grayson, Trey",2000,Republican,Senate
"Norton, Jane",9500,Republican,Senate
"Crapo, Mike",11500,Republican,Senate
"Bennett, Robert F",4500,Republican,Senate
"Shelby, Richard C",6000,Republican,Senate
"Barrasso, John A",75500,Republican,Senate
"Webb, Jim",8000,Democrat,Senate
"Upton, Fred",45000,Republican,House
"Bishop, Rob",27000,Republican,House
"Luetkemeyer, Blaine",9000,Republican,House
"Miller, Joe",8000,Republican,Senate
"Hartzler, Vicky",9000,Republican,House
"Pearce, Steve",8500,Republican,House
"Hultgren, Randy",7250,Republican,House
"Blackburn, Marsha",17500,Republican,House
"Frazier, Ryan",5500,Republican,House
"Chaffetz, Jason",14500,Republican,House
"Baucus, Max",15000,Democrat,Senate
"Grassley, Chuck",2000,Republican,Senate
"Barton, Joe",28700,Republican,House
"Lamborn, Douglas L",32000,Republican,House
"Moran, Jerry",2000,Republican,House
"Enzi, Mike",34000,Republican,Senate
"Schilling, Bobby",9500,Republican,House
"Kinzinger, Adam",8000,Republican,House
"Nelson, Ben",3000,Democrat,Senate
"DeMint, Jim",12000,Republican,Senate
"Herseth Sandlin, Stephanie",6000,Democrat,House
"Smith, Adrian",10000,Republican,House
"Stivers, Steve",18000,Republican,House
"Holden, Tim",9000,Democrat,House
"Stabenow, Debbie",5500,Democrat,Senate
"Graves, Sam",8000,Republican,House
"Heller, Dean",63200,Republican,Senate
"Long, Billy",19500,Republican,House
"Rahall, Nick",17500,Democrat,House
"Boehner, John",46500,Republican,House
"Manzullo, Don",1000,Republican,House
"Hatch, Orrin G",19000,Republican,Senate
"Melancon, Charles",3000,Democrat,House
"Peters, Gary",2000,Democrat,House
"Bucshon, Larry",47600,Republican,House
"Peterson, Collin",7500,Democrat,House
"Lungren, Dan",3000,Republican,House
"Coffman, Mike",13500,Republican,House
"Mollohan, Alan B",3000,Democrat,House
"Hensarling, Jeb",1000,Republican,House
"Fleming, John",1000,Republican,House
"Nye, Glenn",1000,Democrat,House
"Vitter, David",21500,Republican,Senate
"Akin, Todd",11000,Republican,House
"Murphy, Tim",44000,Republican,House
"Rodgers, Cathy McMorris",7000,Republican,House
"McCaul, Michael",4500,Republican,House
"Boustany, Charles Jr",3500,Republican,House
"Schock, Aaron",6000,Republican,House
"Stutzman, Marlin",2000,Republican,House
"Bingaman, Jeff",6000,Democrat,Senate
"Lewis, Jerry",1000,Republican,House
"Nunes, Devin",5000,Republican,House
"Sessions, Pete",9000,Republican,House
"Simpson, Mike",11500,Republican,House
"Miller, Candice S",1000,Republican,House
"Benishek, Dan",9000,Republican,House
"Dingell, John D",1000,Democrat,House
"Duncan, John J Jr",5000,Republican,House
"Biggert, Judy",2500,Republican,House
"Calvert, Ken",9000,Republican,House
"Pombo, Richard W",8500,Republican,House
"Young, Don",8000,Republican,House
"Gordon, Bart",1000,Democrat,House
"Tanner, John",1000,Democrat,House
"Davis, Artur",1000,Democrat,House
"Begich, Mark",2000,Democrat,Senate
"Fleischmann, Chuck",6000,Republican,House
"Fincher, Steve",4000,Republican,House
"Tester, Jon",6500,Democrat,Senate
"Murtha, John P",1600,Democrat,House
"Critz, Mark",11000,Democrat,House
"Meehan, Patrick",3500,Republican,House
"Durbin, Dick",6000,Democrat,Senate
"Doyle, Mike",6000,Democrat,House
"Casey, Bob",2000,Democrat,Senate
"Dahlkemper, Kathy",2000,Democrat,House
"Shuster, Bill",48500,Republican,House
"Renacci, Jim",26000,Republican,House
"Brown, Scott",26000,Republican,Senate
"Schmidt, Jean",4000,Republican,House
"Foxx, Virginia",24000,Republican,House
"Talent, James M",5000,Republican,Senate
"Griffin, Tim",3000,Republican,House
"Berg, Rick",50200,Republican,House
"Nunnelee, Alan",10500,Republican,House
"Ellsworth, Brad",2000,Democrat,House
"Carnahan, Robin",3500,Democrat,Senate
"Stearns, Cliff",9000,Republican,House
"Skelton, Ike",5000,Democrat,House
"Minnick, Walt",2000,Democrat,House
"Pomeroy, Earl",3500,Democrat,House
"Hoyer, Steny H",2500,Democrat,House
"Reid, Harry",2000,Democrat,Senate
"Meek, Kendrick B",1000,Democrat,House
"Brown, Sherrod",2000,Democrat,Senate
"Romney, Mitt",30250,Republican,
"Allen, George",42000,Republican,Senate
"Wilson, Heather A",18500,Republican,Senate
"Mourdock, Richard E",26000,Republican,Senate
"Flake, Jeff",35500,Republican,Senate
"Mandel, Josh",35500,Republican,Senate
"Thompson, Tommy G",11000,Republican,Senate
"Smith, Tom",11000,Republican,Senate
"Massie, Thomas",21000,Republican,House
"Mullin, Markwayne",11000,Republican,House
"Mack, Connie",10000,Republican,House
"Inhofe, James M",44500,Republican,Senate
"Dewhurst, David H",5000,Republican,Senate
"Bruning, Jon",11000,Republican,Senate
"Johnson, Bill",50500,Republican,House
"Summers, Charlie",8000,Republican,Senate
"Walorski, Jackie",15000,Republican,House
"Keadle, Scott",2500,Republican,House
"Snuffer, Rick",4500,Republican,House
"Walberg, Tim",20000,Republican,House
"Yoder, Kevin",9500,Republican,House
"Radel, Trey",1000,Republican,House
"Wagner, Ann L",46000,Republican,House
"Tipton, Scott",39500,Republican,House
"Daines, Steven",48100,Republican,Senate
"Plummer, Jason",8000,Republican,House
"Fischer, Deb",12000,Republican,Senate
"Wicker, Roger",18000,Republican,Senate
"McConnell, Mitch",35700,Republican,Senate
"Terry, Lee",6000,Republican,House
"Stewart, Chris",9000,Republican,House
"Davis, Rodney",40000,Republican,House
"Kelly, Mike",41000,Republican,House
"Risch, James E",11000,Republican,Senate
"McIntosh, David M",2000,Republican,House
"Pompeo, Mike",9500,Republican,House
"LaTourette, Steve",2000,Republican,House
"Roskam, Peter",5500,Republican,House
"McCarthy, Kevin",48000,Republican,House
"Rokita, Todd",12000,Republican,House
"Scott, Tim",28000,Republican,Senate
"Noem, Kristi",7000,Republican,House
"Cruz, Ted",13500,Republican,Senate
"Barrow, John",6000,Democrat,House
"Kline, John",8500,Republican,House
"Broun, Paul",1500,Republican,House
"Pitts, Joe",2500,Republican,House
