Recipient,Total,Party,Chamber
"Shelby, Richard C",30500,Republican,Senate
"Pitts, Joe",37500,Republican,House
"Dorgan, Byron L",20500,Democrat,Senate
"Denham, Jeff",65000,Republican,House
"Bishop, Rob",34000,Republican,House
"Woodall, Rob",23500,Republican,House
"Campbell, John",17000,Republican,House
"Ross, Dennis",28500,Republican,House
"Stearns, Cliff",17000,Republican,House
"Young, Don",43000,Republican,House
"Bright, Bobby",10000,Democrat,House
"Rehberg, Denny",98000,Republican,House
"Jackson Lee, Sheila",17000,Democrat,House
"Miller, Gary",16000,Republican,House
"Bilbray, Brian P",42500,Republican,House
"Rogers, Mike",57000,Republican,House
"Brooks, Mo",9000,Republican,House
"Herseth Sandlin, Stephanie",7000,Democrat,House
"Cao, Joseph",6000,Republican,House
"Aderholt, Robert B",23000,Republican,House
"Whitfield, Ed",92000,Republican,House
"Radanovich, George",10000,Republican,House
"Heller, Dean",78750,Republican,Senate
"Quayle, Ben",22750,Republican,House
"Wicker, Roger",71500,Republican,Senate
"Dingell, John D",16000,Democrat,House
"Sensenbrenner, Jim",14000,Republican,House
"Burns, Timothy R",16500,Republican,House
"Rohrabacher, Dana",5500,Republican,House
"Green, Al",3000,Democrat,House
"Brown, Henry",6000,Republican,House
"Bunning, Jim",4500,Republican,Senate
"Stabenow, Debbie",6000,Democrat,Senate
"Cardoza, Dennis",3400,Democrat,House
"Smith, Gordon H",1000,Republican,Senate
"Coffman, Mike",80500,Republican,House
"Critz, Mark",22000,Democrat,House
"Boyd, Allen",6000,Democrat,House
"Ros-Lehtinen, Ileana",5500,Republican,House
"Simpson, Mike",41000,Republican,House
"Richardson, Laura",9500,Democrat,House
"Payne, Donald M",1000,Democrat,House
"Chaffetz, Jason",25500,Republican,House
"Gordon, Bart",2000,Democrat,House
"Rodgers, Cathy McMorris",29500,Republican,House
"Meeks, Gregory W",3500,Democrat,House
"McClintock, Tom",30000,Republican,House
"Marshall, Jim",4000,Democrat,House
"Rossi, Dino",38000,Republican,Senate
"Ryan, Paul",44250,Republican,House
"Shimkus, John",94500,Republican,House
"Angle, Sharron",6000,Republican,Senate
"Canseco, Quico",81500,Republican,House
"Lance, Leonard",12500,Republican,House
"Flores, Bill",65000,Republican,House
"Johnson, Ron",18500,Republican,Senate
"Pence, Mike",25500,Republican,House
"Walberg, Tim",32000,Republican,House
"Pompeo, Mike",73000,Republican,House
"Renacci, Jim",57000,Republican,House
"Wilson, Joe",9000,Republican,House
"Lujan, Ben Ray",13500,Democrat,House
"Frazier, Ryan",17250,Republican,House
"Martin, Ed",7000,Republican,House
"Reichert, Dave",12000,Republican,House
"Heinrich, Martin",7000,Democrat,House
"Roskam, Peter",38000,Republican,House
"Costello, Jerry F",4500,Democrat,House
"Gerlach, Jim",27250,Republican,House
"Harris, Andy",49000,Republican,House
"Sires, Albio",6000,Democrat,House
"Tran, Van",9000,Republican,House
"Bucshon, Larry",19500,Republican,House
"Garrett, Scott",37500,Republican,House
"Downer, Hunt",1000,Republican,House
"Reyes, Silvestre",3500,Democrat,House
"McCotter, Thaddeus G",3000,Republican,House
"Broun, Paul",27500,Republican,House
"Childers, Travis",3500,Democrat,House
"Paul, Ron",1000,Republican,House
"Myrick, Sue",16000,Republican,House
"Smith, Adrian",23500,Republican,House
"Thompson, Mike",1000,Democrat,House
"Flake, Jeff",50500,Republican,House
"Bachus, Spencer",29500,Republican,House
"Thompson, Bennie G",9500,Democrat,House
"Miller, Joe",1000,Republican,Senate
"Buck, Ken",38500,Republican,Senate
