Recipient,Total,Party,Chamber
"Grassley, Chuck",31000,Republican,Senate
"Loebsack, David",7000,Democrat,House
"Kind, Ron",36000,Democrat,House
"Feingold, Russ",3000,Democrat,Senate
"Ryan, Paul",24000,Republican,House
"Obey, David R",13675,Democrat,House
"Reid, Harry",10500,Democrat,Senate
"Harkin, Tom",6000,Democrat,Senate
"Braley, Bruce",8000,Democrat,House
"Boswell, Leonard",2000,Democrat,House
"Johnson, Ron",5000,Republican,Senate
"Baldwin, Tammy",11000,Democrat,House
"Boucher, Rick",103242,Democrat,House
"Klobuchar, Amy",19500,Democrat,Senate
"Kagen, Steve",2000,Democrat,House
"Gillibrand, Kirsten",28000,Democrat,Senate
"Dingell, John D",98000,Democrat,House
"Latham, Tom",28500,Republican,House
"Petri, Tom",4000,Republican,House
"Thune, John",26000,Republican,Senate
"Dorgan, Byron L",55624,Democrat,Senate
"Duffy, Sean P",16000,Republican,House
"Rangel, Charles B",6500,Democrat,House
"King, Steven A",2000,Republican,House
"Melancon, Charles",26000,Democrat,House
"Walz, Tim",8000,Democrat,House
"Boccieri, John A",13500,Democrat,House
"Griffith, Parker",19000,Republican,House
"Lassa, Julie",2000,Democrat,House
"Space, Zack",43500,Democrat,House
"Markey, Betsy",12000,Democrat,House
"Ribble, Reid",6500,Republican,House
"Blunt, Roy",51000,Republican,Senate
"Emerson, Jo Ann",28000,Republican,House
"Costello, Jerry F",25500,Democrat,House
"Shimkus, John",81500,Republican,House
"Luetkemeyer, Blaine",26000,Republican,House
"McCaskill, Claire",49632,Democrat,Senate
"Schock, Aaron",19000,Republican,House
"Clay, William L Jr",18000,Democrat,House
"Graves, Sam",26500,Republican,House
"Skelton, Ike",12500,Democrat,House
"Halvorson, Deborah",13000,Democrat,House
"Hare, Phil",8000,Democrat,House
"Akin, Todd",9500,Republican,House
"Carnahan, Russ",9000,Democrat,House
"Murkowski, Lisa",96500,Republican,Senate
"Barton, Joe",114500,Republican,House
"Davis, Danny K",8000,Democrat,House
"Johnson, Timothy",8000,Republican,House
"Baucus, Max",49000,Democrat,Senate
"Clyburn, James E",118998,Democrat,House
"Butterfield, G K",43000,Democrat,House
"Roskam, Peter",15000,Republican,House
"McConnell, Mitch",53500,Republican,Senate
"Cantor, Eric",59498,Republican,House
"Lincoln, Blanche",66602,Democrat,Senate
"Hoyer, Steny H",172500,Democrat,House
"Bayh, Evan",21000,Democrat,Senate
"Barrow, John",60000,Democrat,House
"Bond, Christopher ""Kit""",3000,Republican,Senate
"Green, Gene",56675,Democrat,House
"Crapo, Mike",27000,Republican,Senate
"Isakson, Johnny",14500,Republican,Senate
"Frelinghuysen, Rodney",25000,Republican,House
"Boehner, John",167500,Republican,House
"Durbin, Dick",7000,Democrat,Senate
"Specter, Arlen",16000,Democrat,Senate
"Rush, Bobby L",20000,Democrat,House
"Matheson, Jim",49550,Democrat,House
"Casey, Bob",35500,Democrat,Senate
"Simpson, Mike",12000,Republican,House
"Upton, Fred",152000,Republican,House
"Conrad, Kent",12000,Democrat,Senate
"Mollohan, Alan B",15500,Democrat,House
"Bingaman, Jeff",21000,Democrat,Senate
"Murphy, Tim",52000,Republican,House
"Inouye, Daniel K",12000,Democrat,Senate
"Gordon, Bart",15500,Democrat,House
"Levin, Sander",31500,Democrat,House
"Graham, Lindsey",29000,Republican,Senate
"Webb, Jim",14500,Democrat,Senate
"Thompson, Bennie G",53000,Democrat,House
"Biggert, Judy",7500,Republican,House
"Kinzinger, Adam",23500,Republican,House
"Hill, Baron",23000,Democrat,House
"Landrieu, Mary L",35000,Democrat,Senate
"Neal, Richard E",29500,Democrat,House
"Hartzler, Vicky",9500,Republican,House
"Lucas, Frank D",10500,Republican,House
"Bennett, Robert F",27000,Republican,Senate
"Pryor, Mark",27500,Democrat,Senate
"Shuler, Heath",9500,Democrat,House
"Doyle, Mike",61500,Democrat,House
"Bunning, Jim",9500,Republican,Senate
"Stabenow, Debbie",53500,Democrat,Senate
"Nelson, Ben",26000,Democrat,Senate
"Bean, Melissa",6500,Democrat,House
"Warner, Mark",6000,Democrat,Senate
"Arcuri, Mike",1000,Democrat,House
"Murphy, Scott",18000,Democrat,House
"Meeks, Gregory W",5000,Democrat,House
"Stivers, Steve",34000,Republican,House
"Manchin, Joe",80500,Democrat,Senate
"Tiberi, Pat",69000,Republican,House
"Portman, Rob",48000,Republican,Senate
"Austria, Steve",19000,Republican,House
"Fisher, Lee Irwin",11000,Democrat,Senate
"Wilson, Charlie",20000,Democrat,House
"Jordan, Jim",19500,Republican,House
"Brown, Sherrod",27000,Democrat,Senate
"Ross, Mike",44000,Democrat,House
"Hershman, Brandt",8500,Republican,House
"Latta, Robert E",41000,Republican,House
"Sullivan, John",39500,Republican,House
"Rahall, Nick",30500,Democrat,House
"Oliverio, Mike",3100,Democrat,House
"Thompson, Michael Ray",7000,Republican,House
"Bennet, Michael",37000,Democrat,Senate
"Kilroy, Mary Jo",1000,Democrat,House
"Ryan, Tim",44000,Democrat,House
"Cloud, Jeff",5000,Republican,House
"Whitfield, Ed",110000,Republican,House
"Visclosky, Pete",33500,Democrat,House
"Vitter, David",20000,Republican,Senate
"Berry, Marion",11500,Democrat,House
"Voinovich, George V",10000,Republican,Senate
"Goodlatte, Bob",14500,Republican,House
"Boozman, John",6000,Republican,House
"Ortiz, Solomon P",5000,Democrat,House
"Towns, Edolphus",32000,Democrat,House
"Coats, Dan",21000,Republican,Senate
"Rogers, Mike",29000,Republican,House
"Souder, Mark E",5000,Republican,House
"Inhofe, James M",22000,Republican,Senate
"Stupak, Bart",15000,Democrat,House
"Coburn, Tom",6500,Republican,Senate
"Buyer, Steve",3500,Republican,House
"Fleming, John",9900,Republican,House
"Altmire, Jason",34500,Democrat,House
"Capito, Shelley Moore",25000,Republican,House
"McCain, John",38500,Republican,Senate
"Hall, Ralph",31500,Republican,House
"Burr, Richard",29500,Republican,Senate
"Scalise, Steve",34000,Republican,House
"Pence, Mike",3500,Republican,House
"Cuellar, Henry",15000,Democrat,House
"Fattah, Chaka",7000,Democrat,House
"Oberstar, James L",5000,Democrat,House
"McMahon, Michael E",11000,Democrat,House
"Stutzman, Marlin",8000,Republican,House
"Markey, Ed",27500,Democrat,House
"Edwards, Chet",47000,Democrat,House
"Pastor, Ed",24000,Democrat,House
"Murphy, Christopher S",18500,Democrat,House
"Rogers, Hal",24000,Republican,House
"Hensarling, Jeb",27000,Republican,House
"Mitchell, Harry",6000,Democrat,House
"Gonzalez, Charlie A",28500,Democrat,House
"Pomeroy, Earl",23500,Democrat,House
"Hurt, Robert",11000,Republican,House
"Burgess, Michael",32500,Republican,House
