Recipient,Total,Party,Chamber
"Berg, Rick",50200,Republican,House
"Nunnelee, Alan",7500,Republican,House
"Ellsworth, Brad",2000,Democrat,House
"Carnahan, Robin",3500,Democrat,Senate
"Stearns, Cliff",9000,Republican,House
"Skelton, Ike",5000,Democrat,House
"Minnick, Walt",2000,Democrat,House
"Pomeroy, Earl",3500,Democrat,House
"Hoyer, Steny H",2500,Democrat,House
"Reid, Harry",2000,Democrat,Senate
"Meek, Kendrick B",1000,Democrat,House
"Brown, Sherrod",1000,Democrat,Senate
"Romney, Mitt",30250,Republican,
"Allen, George",42000,Republican,Senate
"Wilson, Heather A",18500,Republican,Senate
"Mourdock, Richard E",26000,Republican,Senate
"Flake, Jeff",27000,Republican,House
"Mandel, Josh",30500,Republican,Senate
"Thompson, Tommy G",11000,Republican,Senate
"Smith, Tom",11000,Republican,Senate
"Massie, Thomas",17000,Republican,House
"Mullin, Markwayne",6000,Republican,House
"Mack, Connie",10000,Republican,House
"Inhofe, James M",7500,Republican,Senate
"Dewhurst, David H",5000,Republican,Senate
"Bruning, Jon",11000,Republican,Senate
"Johnson, Bill",16000,Republican,House
"Summers, Charlie",8000,Republican,Senate
"Walorski, Jackie",4500,Republican,House
"Keadle, Scott",2500,Republican,House
"Snuffer, Rick",4500,Republican,House
"Walberg, Tim",6000,Republican,House
"Yoder, Kevin",1000,Republican,House
"Radel, Trey",1000,Republican,House
"Wagner, Ann L",17500,Republican,House
"Tipton, Scott",9500,Republican,House
"Daines, Steven",12000,Republican,House
"Plummer, Jason",8000,Republican,House
"Fischer, Deb",9000,Republican,Senate
"Wicker, Roger",12000,Republican,Senate
"McConnell, Mitch",11000,Republican,Senate
"Terry, Lee",3000,Republican,House
"Stewart, Chris",3000,Republican,House
"Davis, Rodney",3000,Republican,House
"Kelly, Mike",7000,Republican,House
"Risch, James E",10000,Republican,Senate
"McIntosh, David M",2000,Republican,House
"Pompeo, Mike",2000,Republican,House
"LaTourette, Steve",2000,Republican,House
"Roskam, Peter",2000,Republican,House
"McCarthy, Kevin",2000,Republican,House
"Rokita, Todd",2000,Republican,House
"Scott, Tim",2500,Republican,House
"Noem, Kristi",6000,Republican,House
"Cruz, Ted",6000,Republican,Senate
"Barrow, John",4500,Democrat,House
"Kline, John",1500,Republican,House
"Broun, Paul",1500,Republican,House
"Pitts, Joe",1000,Republican,House
"Canseco, Quico",1000,Republican,House
"Sensenbrenner, Jim",3500,Republican,House
"Duncan, Jeff",1000,Republican,House
"Heck, Joe",1000,Republican,House
