Recipient,Party,Chamber,Coal Ratio,Hydro Ratio,Nuclear Ratio,Oil Ratio,Solar Ratio,Wind Ratio
"Portman, Rob",0,0,0.07633431982855393,0.19491784876007756,0.23083988162057353,0.4111644045310746,0.018369221349117257,0.06837432391060312
"Blunt, Roy",0,0,0.14331210191082802,0.18471337579617833,0.2484076433121019,0.36942675159235666,0.0,0.054140127388535034
"Angle, Sharron",0,0,0.45454545454545453,0.0,0.0,0.5454545454545454,0.0,0.0
"Fiorina, Carly",0,0,0.15384615384615385,0.0,0.0,0.8461538461538461,0.0,0.0
"Buck, Ken",0,0,0.11913104414856342,0.03854239663629993,0.03854239663629993,0.7967764540995095,0.0,0.00700770847932726
"Mongiardo, Daniel",0,0,1.0,0.0,0.0,0.0,0.0,0.0
"Rubio, Marco",0,0,0.06625102863439196,0.12029792041508013,0.13250205726878392,0.6269021019010559,0.0,0.054046891780688174
"Toomey, Pat",0,0,0.11320355480321626,0.17879813796022007,0.1957257723233178,0.465721540414727,0.0,0.04655099449851883
"Kirk, Mark",0,0,0.18333333333333332,0.09761904761904762,0.09285714285714286,0.46190476190476193,0.023809523809523808,0.14047619047619048
"Burr, Richard",0,0,0.06601531555320835,0.1954053340374967,0.20596778452601003,0.4415104304198574,0.014523369421705836,0.07657776604172167
"Rossi, Dino",0,0,0.08571428571428572,0.0,0.0,0.9142857142857143,0.0,0.0
"Templeman, Mike",0,0,1.0,0.0,0.0,0.0,0.0,0.0
"Johnson, Ron",0,0,0.0705521472392638,0.12269938650306748,0.15644171779141106,0.5398773006134969,0.0,0.11042944785276074
"McKinley, David",0,0,0.24188129899216126,0.167973124300112,0.23516237402015677,0.341545352743561,0.0,0.013437849944008958
"Bayh, Evan",0,0,0.14285714285714285,0.20408163265306123,0.3197278911564626,0.2789115646258503,0.0,0.05442176870748299
"Young, Todd",0,0,0.14565826330532214,0.10084033613445378,0.11484593837535013,0.5210084033613446,0.0,0.11764705882352941
"Sullivan, John",0,0,0.05641025641025641,0.09230769230769231,0.20256410256410257,0.6230769230769231,0.0,0.02564102564102564
"Burns, Timothy R",0,0,0.24489795918367346,0.04081632653061224,0.04081632653061224,0.673469387755102,0.0,0.0
"Gibbs, Bob",0,0,0.1423948220064725,0.15048543689320387,0.23300970873786409,0.40938511326860844,0.0,0.06472491909385113
"Boren, Dan",0,0,0.05260594252313687,0.034096444227959086,0.043838285435947394,0.8694593278129567,0.0,0.0
"Whitfield, Ed",0,0,0.10052910052910052,0.23885109599395313,0.3318216175359032,0.2842025699168556,0.0030234315948601664,0.04157218442932729
"Rogers, Hal",0,0,0.3037877331282446,0.09613535858488752,0.20207652374543358,0.27494712555277834,0.0,0.12305325898865603
"Manchin, Joe",0,0,0.1258741258741259,0.2692307692307692,0.33916083916083917,0.2202797202797203,0.002331002331002331,0.04312354312354312
"Davis, Geoff",0,0,0.18285714285714286,0.10285714285714286,0.10285714285714286,0.46285714285714286,0.0,0.14857142857142858
"Hurt, Robert",0,0,0.058823529411764705,0.08333333333333333,0.16176470588235295,0.5245098039215687,0.0,0.1715686274509804
"Chabot, Steve",0,0,0.030735455543358946,0.2897914379802415,0.2897914379802415,0.31284302963776073,0.0,0.07683863885839737
"Altmire, Jason",0,0,0.19833596128482037,0.2776703457987485,0.3421295332163151,0.10748817421830839,0.0,0.07437598548180763
"Specter, Arlen",0,0,0.15950920245398773,0.19631901840490798,0.19631901840490798,0.4110429447852761,0.0,0.03680981595092025
"Bunning, Jim",0,0,0.12,0.2,0.38,0.18,0.0,0.12
"Costello, Jerry F",0,0,0.19708029197080293,0.26277372262773724,0.3722627737226277,0.06569343065693431,0.0,0.10218978102189781
"Harris, Andy",0,0,0.12601626016260162,0.008130081300813009,0.008130081300813009,0.8577235772357723,0.0,0.0
"Maynard, Elliott",0,0,1.0,0.0,0.0,0.0,0.0,0.0
"Donnelly, Joe",0,0,0.11864406779661017,0.2937853107344633,0.3107344632768362,0.05649717514124294,0.02824858757062147,0.192090395480226
"Griffith, Morgan",0,0,0.1765846339704994,0.17902028409423043,0.23869371212564058,0.3484635919019505,0.0,0.057237777907679116
"Coats, Dan",0,0,0.05818181818181818,0.14909090909090908,0.23272727272727273,0.48727272727272725,0.0,0.07272727272727272
"Cantor, Eric",0,0,0.08608496099641806,0.11563651477130785,0.18238839121117797,0.5198056859647437,0.0,0.09608444705635241
"Dorgan, Byron L",0,0,0.06533670180329297,0.3094346197403955,0.4038098556784854,0.14882248744083398,0.0,0.07259633533699218
"Ross, Mike",0,0,0.05102040816326531,0.1870748299319728,0.29931972789115646,0.4421768707482993,0.0,0.02040816326530612
"Boozman, John",0,0,0.05423728813559322,0.17627118644067796,0.2711864406779661,0.4711864406779661,0.0,0.02711864406779661
"Thompson, Glenn",0,0,0.06986404833836858,0.21582326283987915,0.21959969788519637,0.42862537764350456,0.0,0.06608761329305136
"Ayotte, Kelly",0,0,0.0285204991087344,0.2014260249554367,0.18716577540106952,0.5365418894830659,0.0035650623885918,0.0427807486631016
"Lincoln, Blanche",0,0,0.03605740338619082,0.2023220967780707,0.26683279781412006,0.4587302986354276,0.0,0.03605740338619082
"Guthrie, Brett",0,0,0.06862745098039216,0.2030812324929972,0.21428571428571427,0.43557422969187676,0.0,0.0784313725490196
"Bartlett, Roscoe G",0,0,0.17777777777777778,0.13333333333333333,0.15555555555555556,0.26666666666666666,0.0,0.26666666666666666
"McCaskill, Claire",0,0,0.1211152290288981,0.3058159532979677,0.491316038078628,0.0,0.015139403628612262,0.06661337596589395
"Capito, Shelley Moore",0,0,0.24398073836276082,0.09791332263242375,0.17014446227929375,0.4333868378812199,0.0,0.05457463884430177
"Lummis, Cynthia",0,0,0.2714285714285714,0.03333333333333333,0.04285714285714286,0.6285714285714286,0.0,0.023809523809523808
"Shimkus, John",0,0,0.07965931863727455,0.28406813627254507,0.3196392785571142,0.26603206412825653,0.001002004008016032,0.04959919839679359
"Salazar, John",0,0,0.13793103448275862,0.20689655172413793,0.22413793103448276,0.43103448275862066,0.0,0.0
"Paul, Rand",0,0,0.21419518377693283,0.13519222644697929,0.1436417405999155,0.4816223067173637,0.0,0.025348542458808618
"Rehberg, Denny",0,0,0.24113475177304963,0.19858156028368795,0.20567375886524822,0.3475177304964539,0.0,0.0070921985815602835
"Emerson, Jo Ann",0,0,0.16875,0.275,0.35,0.0875,0.0,0.11875
"Matheson, Jim",0,0,0.06683081252198382,0.1969750263805839,0.22001406964474146,0.4387970453746043,0.0,0.07738304607808653
"Barr, Andy",0,0,0.3204633204633205,0.10424710424710425,0.10424710424710425,0.42277992277992277,0.0,0.04826254826254826
