Recipient,Party,Chamber,Coal Total,Hydro Total,Nuclear Total,Oil Total,Solar Total,Wind Total,Total,PAC Total,FEC Candidate ID,ID,Coal Ratio,Hydro Ratio,Nuclear Ratio,Oil Ratio,Solar Ratio,Wind Ratio
"Gardner, Cory",Republican,House,6500,29000,31000,62500,500,1000,130500,130500.0,S4CO00395,G000562,0.04980842911877394,0.2222222222222222,0.23754789272030652,0.4789272030651341,0.0038314176245210726,0.007662835249042145
"Fischer, Deb",Republican,Senate,9000,6000,6000,26000,0,1500,48500,1126100.0,S2NE00094,F000463,0.007992185418701715,0.005328123612467809,0.005328123612467809,0.023088535654027173,0.0,0.0013320309031169522
"Wicker, Roger",Republican,Senate,12000,9000,9000,69000,0,10000,109000,109000.0,H4MS01078,W000437,0.11009174311926606,0.08256880733944955,0.08256880733944955,0.6330275229357798,0.0,0.09174311926605505
"Long, Billy",Republican,House,4000,4000,4000,0,0,0,12000,394626.56,H0MO07113,L000576,0.010136165188678633,0.010136165188678633,0.010136165188678633,0.0,0.0,0.0
"Coffman, Mike",Republican,House,7000,10000,10000,63500,0,0,90500,997856.5,H8CO06138,C001077,0.007015036731233399,0.01002148104461914,0.01002148104461914,0.06363640463333155,0.0,0.0
"Donnelly, Joe",Democrat,House,1000,3000,3000,0,1500,2500,11000,1330692.02,S2IN00091,D000607,0.0007514886878182376,0.002254466063454713,0.002254466063454713,0.0,0.0011272330317273565,0.001878721719545594
"McConnell, Mitch",Republican,Senate,11000,39500,43000,54500,0,6500,154500,154500.0,S2KY00012,M000355,0.07119741100323625,0.255663430420712,0.2783171521035599,0.35275080906148865,0.0,0.042071197411003236
"Smith, Adrian",Republican,House,3000,0,0,18000,0,3000,24000,747144.82,H6NE03115,S001172,0.004015285818350451,0.0,0.0,0.024091714910102705,0.0,0.004015285818350451
"Hurt, Robert",Republican,House,2000,4000,8000,19000,0,8000,41000,907309.54,H0VA05095,H001060,0.0022043193770452363,0.004408638754090473,0.008817277508180945,0.020941034081929745,0.0,0.008817277508180945
"Stewart, Chris",Republican,House,3000,0,0,16000,0,1000,20000,235100.0,H2UT02324,S001192,0.012760527435133985,0.0,0.0,0.06805614632071459,0.0,0.004253509145044662
"Davis, Rodney",Republican,House,3000,3000,3000,21000,0,1000,31000,645797.72,H2IL13120,D000619,0.004645417453626191,0.004645417453626191,0.004645417453626191,0.03251792217538334,0.0,0.0015484724845420638
