Recipient,Party,Chamber,Coal Total,Hydro Total,Nuclear Total,Oil Total,Solar Total,Wind Total,Total,PAC Total,FEC Candidate ID,ID,Coal Ratio,Hydro Ratio,Nuclear Ratio,Oil Ratio,Solar Ratio,Wind Ratio
"Young, Todd",Republican,House,9500,11000,13500,63500,0,10000,107500,379850.0,H0IN09070,Y000064,0.025009872318020272,0.028958799526128735,0.03554034487297617,0.16717125180992498,0.0,0.02632618138738976
"Barr, Andy",Republican,House,14000,3500,3500,27000,0,3500,51500,1137173.9,H0KY06104,B001282,0.012311221704965266,0.0030778054262413164,0.0030778054262413164,0.023743070431004442,0.0,0.0030778054262413164
"Blunt, Roy",Republican,Senate,15500,45500,54000,84000,0,11000,210000,210000.0,H6MO07128,B000575,0.07380952380952381,0.21666666666666667,0.2571428571428571,0.4,0.0,0.05238095238095238
"Burr, Richard",Republican,Senate,10000,43500,43500,85200,4500,15000,201700,3942675.0,S4NC00089,B001135,0.0025363490523565855,0.011033118377751146,0.011033118377751146,0.021609693926078106,0.0011413570735604635,0.003804523578534878
"Rubio, Marco",Republican,Senate,12000,13500,13500,100700,0,11000,150700,2237239.0,S0FL00338,R000595,0.005363754163055445,0.006034223433437375,0.006034223433437375,0.04501083701830694,0.0,0.004916774649467491
"Cole, Tom",Republican,House,7000,2000,2000,46500,0,8000,65500,967844.97,H2OK04055,C001053,0.007232563289552458,0.002066446654157845,0.002066446654157845,0.0480448847091699,0.0,0.00826578661663138
"Comer, James",Republican,House,9000,1000,1000,5000,0,3500,19500,328601.11,H6KY01110,C001108,0.02738883018380553,0.0030432033537561697,0.0030432033537561697,0.015216016768780849,0.0,0.010651211738146595
"Heck, Joe",Republican,House,10000,15000,15000,73500,0,6000,119500,406402.1,H0NV03058,H001055,0.024606172064563645,0.03690925809684547,0.03690925809684547,0.18085536467454277,0.0,0.014763703238738187
"Mullin, Markwayne",Republican,House,5000,11000,16000,78500,0,7000,117500,929300.0,H2OK02083,M001190,0.0053803938448294415,0.011836866458624772,0.01721726030345421,0.08447218336382223,0.0,0.007532551382761218
"Portman, Rob",Republican,Senate,12000,30000,31000,108200,5000,14000,200200,4134430.0,S0OH00133,P000449,0.002902455719409931,0.007256139298524827,0.007498010608475655,0.026170475736679542,0.0012093565497541378,0.0033861983393115858
"Bucshon, Larry",Republican,House,5400,9500,9500,14000,0,4500,42900,648925.0,H0IN08114,B001275,0.008321454713564741,0.014639596255345378,0.014639596255345378,0.021574141849982662,0.0,0.006934545594637285
"Inhofe, James M",Republican,Senate,3500,0,1000,27000,0,1000,32500,32500.0,S4OK00083,I000024,0.1076923076923077,0.0,0.03076923076923077,0.8307692307692308,0.0,0.03076923076923077
"Bost, Mike",Republican,House,8000,13500,13500,22000,0,6000,63000,1080524.49,H4IL12060,B001295,0.007403811828457493,0.012493932460522019,0.012493932460522019,0.020360482528258107,0.0,0.00555285887134312
"Barrasso, John A",Republican,Senate,10500,11000,12000,21000,0,0,54500,103500.0,S6WY00068,B001261,0.10144927536231885,0.10628019323671498,0.11594202898550725,0.2028985507246377,0.0,0.0
"Griffith, Morgan",Republican,House,7000,18000,22500,30068,0,8500,86068,549554.0,H0VA09055,G000568,0.01273760176433981,0.03275383310830237,0.040942291385377964,0.0547134585500242,0.0,0.015467087856698342
"Kelly, Mike",Republican,House,14000,24000,25000,45812,0,10000,118812,1123544.77,H0PA03271,K000376,0.012460562652968426,0.021360964547945872,0.022251004737443618,0.04077452116127068,0.0,0.008900401894977447
"Rothfus, Keith J",Republican,House,10700,13500,13500,24000,0,0,61700,572844.0,H0PA04220,R000598,0.018678732778906647,0.023566625468713995,0.023566625468713995,0.041896223055491545,0.0,0.0
"Shimkus, John",Republican,House,15500,84500,94000,58500,0,12000,264500,2493559.71,H2IL20042,S000364,0.006216013170985988,0.033887297609568774,0.037697112133721476,0.023460436806624536,0.0,0.0048123972936665715
"McKinley, David",Republican,House,20000,23500,30000,34000,0,3000,110500,793267.01,H0WV01072,M001180,0.025212191794034142,0.029624325357990117,0.037818287691051215,0.04286072604985804,0.0,0.0037818287691051213
"Murkowski, Lisa",Republican,Senate,21500,55000,60500,101400,0,18000,256400,1842813.0,S4AK00099,M001153,0.011666946130725147,0.029845676148366654,0.03283024376320332,0.05502457384444325,0.0,0.009767675830374542
"Tipton, Scott",Republican,House,13000,5500,5500,50500,0,0,74500,931571.33,H6CO03139,T000470,0.01395491636695174,0.005904003078325736,0.005904003078325736,0.05420948281008176,0.0,0.0
"Ryan, Paul",Republican,House,7500,79000,84000,120400,0,15000,305900,1532241.7,H8WI01024,R000570,0.004894789118453049,0.05155844538103878,0.05482163812667414,0.0785776813148996,0.0,0.009789578236906097
