,Unnamed: 0,bill_id,member_id,vote_position,bill_cycle,bill_prop_party,member_party,percent_oil,percent_solar,percent_wind,percent_hydro,percent_nuclear,percent_coal,metric_oil,metric_solar,metric_wind,metric_hydro,metric_nuclear,metric_coal
35,35,hr1900-113,R000587,No,2014,R,R,0.01880276237928261,0.0,0.005571188853120772,0.005339055984240741,0.005571188853120772,0.0,1,0,0,0,0,0
36,36,hr1900-113,R000589,No,2014,R,R,0.02794661995412972,0.0,0.008773938822808167,0.0,0.0,0.001299842788564173,1,0,0,0,0,0
37,37,hr1900-113,S000018,No,2014,R,R,0.5670103092783505,0.020618556701030927,0.0,0.14432989690721648,0.17525773195876287,0.09278350515463918,1,0,0,0,0,0
38,38,hr1900-113,S000030,Yes,2014,R,D,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0
39,39,hr1900-113,S001188,No,2014,R,R,2.863070539419087,0.0,0.8298755186721992,0.6639004149377593,1.6182572614107884,0.16597510373443985,1,0,0,0,0,0
40,40,hr1900-113,W000796,No,2014,R,R,0.015312910912393762,0.0,0.004785284660123051,0.01977917659517528,0.01977917659517528,0.0,1,0,0,0,0,0
41,41,hr1900-113,W000413,No,2014,R,R,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0
42,42,hr1900-113,B001269,No,2014,R,R,0.040477048133883205,0.0,0.0032774937760229315,0.015404220747307778,0.015404220747307778,0.0,1,0,0,0,0,0
43,43,hr1900-113,B000213,No,2014,R,R,0.08034037643483379,0.0,0.005265024669273088,0.0370501735985884,0.057720270448327185,0.007605035633394461,1,0,0,0,0,0
44,44,hr1900-113,B000287,Yes,2014,R,D,0.0,0.0,0.005972058224052701,0.0018484942122067886,0.0018484942122067886,0.0,1,0,0,0,0,0
45,45,hr1900-113,B001273,No,2014,R,R,0.029764902344048424,0.0,0.0030372349330661658,0.002834752604195088,0.0032397172619372428,0.0,1,0,0,0,0,0
46,46,hr1900-113,B001227,Yes,2014,R,D,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0
47,47,hr1900-113,B001283,No,2014,R,R,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0
48,48,hr1900-113,C001037,Yes,2014,R,D,0.0,0.0,0.002138059352940996,0.0,0.000712686450980332,0.0,1,0,0,0,0,0
49,49,hr1900-113,C001076,No,2014,R,R,0.03141793456846879,0.0,0.008767795693526172,0.001461299282254362,0.001461299282254362,0.008402470872962583,1,0,0,0,0,0
50,50,hr1900-113,C001077,No,2014,R,R,0.0559445769458597,0.0,0.0014918553852229257,0.006713349233503164,0.006713349233503164,0.004102602309363045,1,0,0,0,0,0
51,51,hr1900-113,C000714,Yes,2014,R,D,0.0013922796700018725,0.0,0.004176839010005618,0.009189045822012359,0.009189045822012359,0.0,1,0,0,0,0,0
52,52,hr1900-113,C001038,Yes,2014,R,D,0.0009565843723933476,0.0,0.005952080539336385,0.010522428096326822,0.011479012468720169,0.0,1,0,0,0,0,0
53,53,hr1900-113,C001048,No,2014,R,R,0.12832515164449507,0.0,0.0048424585526224565,0.0,0.006779441973671438,0.0,1,0,0,0,0,0
54,54,hr1900-113,D000620,Yes,2014,R,D,0.0,0.0,0.0038172827092934993,0.013360489482527249,0.01431481015985062,0.0,1,0,0,0,0,0
55,55,hr1900-113,D000612,No,2014,R,R,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0
56,56,hr1900-113,D000604,No,2014,R,R,0.02945517246580161,0.0,0.007629954313430537,0.016679435010755132,0.01738919820270216,0.0,1,0,0,0,0,0
57,57,hr1900-113,D000621,No,2014,R,R,0.04958499514929395,0.0,0.008623477417268514,0.005030361826739965,0.005030361826739965,0.0,1,0,0,0,0,0
58,58,hr1900-113,D000533,No,2014,R,R,0.005795600736660595,0.0,0.009107372586180936,0.0,0.0,0.0033117718495203397,1,0,0,0,0,0
59,59,hr1900-113,E000288,Yes,2014,R,D,0.0,0.0,0.0018741743090809554,0.0028112614636214327,0.0028112614636214327,0.0,1,0,0,0,0,0
60,60,hr1900-113,E000293,Yes,2014,R,D,0.0,0.0,0.0042729750819748905,0.0,0.0,0.0,1,0,0,0,0,0
61,61,hr1900-113,F000460,No,2014,R,R,0.09261527234998516,0.0,0.0031218631129208483,0.0,0.00780465778230212,0.0,1,0,0,0,0,0
62,62,hr1900-113,F000448,No,2014,R,R,0.021392150821640425,0.0,0.013164400505624877,0.0,0.0,0.0,1,0,0,0,0,0
63,63,hr1900-113,F000372,No,2014,R,R,0.006537103377521042,0.0002971410626145928,0.01782846375687557,0.01723418163164639,0.019611310132563127,0.0011885642504583713,1,0,0,0,0,0
64,64,hr1900-113,G000289,No,2014,R,R,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0
65,65,hr1900-113,G000566,No,2014,R,R,0.03747952727671918,0.0,0.014054822728769692,0.0182712695474006,0.0182712695474006,0.0,1,0,0,0,0,0
66,66,hr1900-113,G000410,No,2014,R,D,0.051143084409101626,0.0,0.006316476560486655,0.01132890634719542,0.030227396701554686,0.0004075146168055906,1,0,0,0,0,0
67,67,hr1900-113,H001059,No,2014,R,R,0.01697800873051088,0.0,0.005659336243503627,0.003395601746102176,0.003961535370452539,0.002829668121751813,1,0,0,0,0,0
68,68,hr1900-113,I000056,No,2014,R,R,0.05762395437336169,0.0,0.0026292298573396965,0.0008764099524465655,0.0008764099524465655,0.0,1,0,0,0,0,0
69,69,hr1900-113,J000290,No,2014,R,R,0.02662497582008446,0.0,0.004733329034681682,0.002366664517340841,0.005990619559519004,0.0,1,0,0,0,0,0
70,70,hr1900-113,J000174,No,2014,R,R,0.022186951004296844,0.0,0.008732871244003678,0.0021832178110009195,0.00731377966685308,0.0,1,0,0,0,0,0
