,name,session,chamber,party,fec_candidate_id,id,crp_id
0,Daniel Akaka,110,Sen.,D,,A000069,None
1,Lamar Alexander,110,Sen.,R,,A000360,N00009888
2,Wayne Allard,110,Sen.,R,,A000109,None
3,John Barrasso,110,Sen.,R,,B001261,N00006236
4,Max Baucus,110,Sen.,D,,B000243,None
5,Evan Bayh,110,Sen.,D,,B001233,None
6,Robert Bennett,110,Sen.,R,,B000382,None
7,Joseph Biden,110,Sen.,D,,B000444,None
8,Jeff Bingaman,110,Sen.,D,,B000468,None
9,Christopher Bond,110,Sen.,R,,B000611,None
10,Barbara Boxer,110,Sen.,D,,B000711,None
11,Sherrod Brown,110,Sen.,D,,B000944,N00003535
12,Sam Brownback,110,Sen.,R,,B000953,None
13,Jim Bunning,110,Sen.,R,,B001066,None
14,Richard Burr,110,Sen.,R,,B001135,N00002221
15,Robert Byrd,110,Sen.,D,,B001210,None
16,Maria Cantwell,110,Sen.,D,,C000127,N00007836
17,Benjamin Cardin,110,Sen.,D,,C000141,N00001955
18,Thomas Carper,110,Sen.,D,,C000174,N00012508
19,Bob Casey,110,Sen.,D,,C001070,N00027503
20,Saxby Chambliss,110,Sen.,R,,C000286,None
21,Hillary Clinton,110,Sen.,D,,C001041,None
22,Tom Coburn,110,Sen.,R,,C000560,None
23,Thad Cochran,110,Sen.,R,,C000567,N00003328
24,Norm Coleman,110,Sen.,R,,C001057,None
25,Susan Collins,110,Sen.,R,,C001035,N00000491
26,Kent Conrad,110,Sen.,D,,C000705,None
27,Bob Corker,110,Sen.,R,,C001071,N00027441
28,John Cornyn,110,Sen.,R,,C001056,N00024852
29,Larry Craig,110,Sen.,R,,C000858,None
30,Michael Crapo,110,Sen.,R,,C000880,N00006267
31,Jim DeMint,110,Sen.,R,,D000595,None
32,Christopher Dodd,110,Sen.,D,,D000388,None
33,Elizabeth Dole,110,Sen.,R,,D000601,None
34,Pete Domenici,110,Sen.,R,,D000407,None
35,Byron Dorgan,110,Sen.,D,,D000432,None
36,Richard Durbin,110,Sen.,D,,D000563,N00004981
37,John Ensign,110,Sen.,R,,E000194,None
38,Michael Enzi,110,Sen.,R,,E000285,N00006249
39,Russ Feingold,110,Sen.,D,,F000061,None
40,Dianne Feinstein,110,Sen.,D,,F000062,N00007364
41,Lindsey Graham,110,Sen.,R,,G000359,N00009975
42,Charles Grassley,110,Sen.,R,,G000386,N00001758
43,Judd Gregg,110,Sen.,R,,G000445,None
44,Chuck Hagel,110,Sen.,R,,H001028,None
45,Tom Harkin,110,Sen.,D,,H000206,None
46,Orrin Hatch,110,Sen.,R,,H000338,N00009869
47,Kay Hutchison,110,Sen.,R,,H001016,None
48,James Inhofe,110,Sen.,R,,I000024,N00005582
49,Daniel Inouye,110,Sen.,D,,I000025,None
50,Johnny Isakson,110,Sen.,R,,I000055,N00002593
51,Tim Johnson,110,Sen.,D,,J000177,None
52,Edward Kennedy,110,Sen.,D,,K000105,None
53,John Kerry,110,Sen.,D,,K000148,None
54,Amy Klobuchar,110,Sen.,D,,K000367,N00027500
55,Herb Kohl,110,Sen.,D,,K000305,None
56,Jon Kyl,110,Sen.,R,,K000352,None
57,Mary Landrieu,110,Sen.,D,,L000550,None
58,Frank Lautenberg,110,Sen.,D,,L000123,None
59,Patrick Leahy,110,Sen.,D,,L000174,N00009918
60,Carl Levin,110,Sen.,D,,L000261,None
61,Joseph Lieberman,110,Sen.,ID,,L000304,None
62,Blanche Lincoln,110,Sen.,D,,L000035,None
63,Trent Lott,110,Sen.,R,,L000447,None
64,Richard Lugar,110,Sen.,R,,L000504,None
65,Mel Martinez,110,Sen.,R,,M001162,None
66,John McCain,110,Sen.,R,,M000303,N00006424
67,Claire McCaskill,110,Sen.,D,,M001170,N00027694
68,Mitch McConnell,110,Sen.,R,,M000355,N00003389
69,Robert Menendez,110,Sen.,D,,M000639,N00000699
70,Barbara Mikulski,110,Sen.,D,,M000702,None
71,Lisa Murkowski,110,Sen.,R,,M001153,N00026050
72,Patty Murray,110,Sen.,D,,M001111,N00007876
73,Bill Nelson,110,Sen.,D,,N000032,N00009926
74,Ben Nelson,110,Sen.,D,,N000180,None
75,Barack Obama,110,Sen.,D,,O000167,None
76,Mark Pryor,110,Sen.,D,,P000590,None
77,Jack Reed,110,Sen.,D,,R000122,N00000362
78,Harry Reid,110,Sen.,D,,R000146,None
79,Pat Roberts,110,Sen.,R,,R000307,N00005285
80,John Rockefeller,110,Sen.,D,,R000361,None
81,Ken Salazar,110,Sen.,D,,S001163,None
82,Bernard Sanders,110,Sen.,ID,,S000033,N00000528
83,Charles Schumer,110,Sen.,D,,S000148,N00001093
84,Jeff Sessions,110,Sen.,R,,S001141,N00003062
85,Richard Shelby,110,Sen.,R,,S000320,N00009920
86,Gordon Smith,110,Sen.,R,,S001142,None
87,Olympia Snowe,110,Sen.,R,,S000663,None
88,Arlen Specter,110,Sen.,R,,S000709,None
89,Debbie Stabenow,110,Sen.,D,,S000770,N00004118
90,Ted Stevens,110,Sen.,R,,S000888,None
91,John Sununu,110,Sen.,R,,S001078,None
92,Jon Tester,110,Sen.,D,,T000464,N00027605
93,Craig Thomas,110,Sen.,R,,T000162,None
94,John Thune,110,Sen.,R,,T000250,N00004572
95,David Vitter,110,Sen.,R,,V000127,None
96,George Voinovich,110,Sen.,R,,V000126,None
97,John Warner,110,Sen.,R,,W000154,None
98,Jim Webb,110,Sen.,D,,W000803,None
99,Sheldon Whitehouse,110,Sen.,D,,W000802,N00027533
100,Roger Wicker,110,Sen.,R,,W000437,N00003280
101,Ron Wyden,110,Sen.,D,,W000779,N00007724
102,Daniel Akaka,111,Sen.,D,,A000069,None
103,Lamar Alexander,111,Sen.,R,,A000360,N00009888
104,John Barrasso,111,Sen.,R,,B001261,N00006236
105,Max Baucus,111,Sen.,D,,B000243,None
106,Evan Bayh,111,Sen.,D,,B001233,None
107,Mark Begich,111,Sen.,D,,B001265,None
108,Michael Bennet,111,Sen.,D,,B001267,N00030608
109,Robert Bennett,111,Sen.,R,,B000382,None
110,Joseph Biden,111,Sen.,D,,B000444,None
111,Jeff Bingaman,111,Sen.,D,,B000468,None
112,Christopher Bond,111,Sen.,R,,B000611,None
113,Barbara Boxer,111,Sen.,D,,B000711,None
114,Scott Brown,111,Sen.,R,,B001268,None
115,Sherrod Brown,111,Sen.,D,,B000944,N00003535
116,Sam Brownback,111,Sen.,R,,B000953,None
117,Jim Bunning,111,Sen.,R,,B001066,None
118,Richard Burr,111,Sen.,R,,B001135,N00002221
119,Roland Burris,111,Sen.,D,,B001266,None
120,Robert Byrd,111,Sen.,D,,B001210,None
121,Maria Cantwell,111,Sen.,D,,C000127,N00007836
122,Benjamin Cardin,111,Sen.,D,,C000141,N00001955
123,Thomas Carper,111,Sen.,D,,C000174,N00012508
124,Bob Casey,111,Sen.,D,,C001070,N00027503
125,Saxby Chambliss,111,Sen.,R,,C000286,None
126,Hillary Clinton,111,Sen.,D,,C001041,None
127,Tom Coburn,111,Sen.,R,,C000560,None
128,Thad Cochran,111,Sen.,R,,C000567,N00003328
129,Susan Collins,111,Sen.,R,,C001035,N00000491
130,Kent Conrad,111,Sen.,D,,C000705,None
131,Christopher Coons,111,Sen.,D,,C001088,N00031820
132,Bob Corker,111,Sen.,R,,C001071,N00027441
133,John Cornyn,111,Sen.,R,,C001056,N00024852
134,Michael Crapo,111,Sen.,R,,C000880,N00006267
135,Jim DeMint,111,Sen.,R,,D000595,None
136,Christopher Dodd,111,Sen.,D,,D000388,None
137,Byron Dorgan,111,Sen.,D,,D000432,None
138,Richard Durbin,111,Sen.,D,,D000563,N00004981
139,John Ensign,111,Sen.,R,,E000194,None
140,Michael Enzi,111,Sen.,R,,E000285,N00006249
141,Russ Feingold,111,Sen.,D,,F000061,None
142,Dianne Feinstein,111,Sen.,D,,F000062,N00007364
143,Al Franken,111,Sen.,D,,F000457,N00029016
144,Kirsten Gillibrand,111,Sen.,D,,G000555,N00027658
145,Carte Goodwin,111,Sen.,D,,G000561,None
146,Lindsey Graham,111,Sen.,R,,G000359,N00009975
147,Charles Grassley,111,Sen.,R,,G000386,N00001758
148,Judd Gregg,111,Sen.,R,,G000445,None
149,Kay Hagan,111,Sen.,D,,H001049,None
150,Tom Harkin,111,Sen.,D,,H000206,None
151,Orrin Hatch,111,Sen.,R,,H000338,N00009869
152,Kay Hutchison,111,Sen.,R,,H001016,None
153,James Inhofe,111,Sen.,R,,I000024,N00005582
154,Daniel Inouye,111,Sen.,D,,I000025,None
155,Johnny Isakson,111,Sen.,R,,I000055,N00002593
156,Mike Johanns,111,Sen.,R,,J000291,None
157,Tim Johnson,111,Sen.,D,,J000177,None
158,Edward Kaufman,111,Sen.,D,,K000373,None
159,Edward Kennedy,111,Sen.,D,,K000105,None
160,John Kerry,111,Sen.,D,,K000148,None
161,Paul Kirk,111,Sen.,D,,K000374,None
162,Mark Kirk,111,Sen.,R,,K000360,None
163,Amy Klobuchar,111,Sen.,D,,K000367,N00027500
164,Herb Kohl,111,Sen.,D,,K000305,None
165,Jon Kyl,111,Sen.,R,,K000352,None
166,Mary Landrieu,111,Sen.,D,,L000550,None
167,Frank Lautenberg,111,Sen.,D,,L000123,None
168,Patrick Leahy,111,Sen.,D,,L000174,N00009918
169,George LeMieux,111,Sen.,R,,L000572,None
170,Carl Levin,111,Sen.,D,,L000261,None
171,Joseph Lieberman,111,Sen.,ID,,L000304,None
172,Blanche Lincoln,111,Sen.,D,,L000035,None
173,Richard Lugar,111,Sen.,R,,L000504,None
174,Joe Manchin,111,Sen.,D,,M001183,N00032838
175,Mel Martinez,111,Sen.,R,,M001162,None
176,John McCain,111,Sen.,R,S6AZ00019,M000303,N00006424
177,Claire McCaskill,111,Sen.,D,,M001170,N00027694
178,Mitch McConnell,111,Sen.,R,,M000355,N00003389
179,Robert Menendez,111,Sen.,D,,M000639,N00000699
180,Jeff Merkley,111,Sen.,D,,M001176,N00029303
181,Barbara Mikulski,111,Sen.,D,,M000702,None
182,Lisa Murkowski,111,Sen.,R,,M001153,N00026050
183,Patty Murray,111,Sen.,D,,M001111,N00007876
184,Ben Nelson,111,Sen.,D,,N000180,None
185,Bill Nelson,111,Sen.,D,,N000032,N00009926
186,Mark Pryor,111,Sen.,D,,P000590,None
187,Jack Reed,111,Sen.,D,,R000122,N00000362
188,Harry Reid,111,Sen.,D,,R000146,None
189,Jim Risch,111,Sen.,R,,R000584,N00029441
190,Pat Roberts,111,Sen.,R,,R000307,N00005285
191,John Rockefeller,111,Sen.,D,,R000361,None
192,Ken Salazar,111,Sen.,D,,S001163,None
193,Bernard Sanders,111,Sen.,ID,,S000033,N00000528
194,Charles Schumer,111,Sen.,D,,S000148,N00001093
195,Jeff Sessions,111,Sen.,R,,S001141,N00003062
196,Jeanne Shaheen,111,Sen.,D,,S001181,N00024790
197,Richard Shelby,111,Sen.,R,,S000320,N00009920
198,Olympia Snowe,111,Sen.,R,,S000663,None
199,Arlen Specter,111,Sen.,R,,S000709,None
200,Arlen Specter,111,Sen.,D,,S000709,None
201,Debbie Stabenow,111,Sen.,D,,S000770,N00004118
202,Jon Tester,111,Sen.,D,,T000464,N00027605
203,John Thune,111,Sen.,R,,T000250,N00004572
204,Mark Udall,111,Sen.,D,,U000038,None
205,Tom Udall,111,Sen.,D,,U000039,N00006561
206,David Vitter,111,Sen.,R,,V000127,None
207,George Voinovich,111,Sen.,R,,V000126,None
208,Mark Warner,111,Sen.,D,,W000805,N00002097
209,Jim Webb,111,Sen.,D,,W000803,None
210,Sheldon Whitehouse,111,Sen.,D,,W000802,N00027533
211,Roger Wicker,111,Sen.,R,,W000437,N00003280
212,Ron Wyden,111,Sen.,D,,W000779,N00007724
213,Daniel Akaka,112,Sen.,D,,A000069,None
214,Lamar Alexander,112,Sen.,R,,A000360,N00009888
215,Kelly Ayotte,112,Sen.,R,,A000368,None
216,John Barrasso,112,Sen.,R,,B001261,N00006236
217,Max Baucus,112,Sen.,D,,B000243,None
218,Mark Begich,112,Sen.,D,,B001265,None
219,Michael Bennet,112,Sen.,D,,B001267,N00030608
220,Jeff Bingaman,112,Sen.,D,,B000468,None
221,Richard Blumenthal,112,Sen.,D,,B001277,N00031685
222,Roy Blunt,112,Sen.,R,,B000575,N00005195
223,John Boozman,112,Sen.,R,,B001236,N00013873
224,Barbara Boxer,112,Sen.,D,,B000711,None
225,Scott Brown,112,Sen.,R,,B001268,None
226,Sherrod Brown,112,Sen.,D,,B000944,N00003535
227,Richard Burr,112,Sen.,R,,B001135,N00002221
228,Maria Cantwell,112,Sen.,D,,C000127,N00007836
229,Benjamin Cardin,112,Sen.,D,,C000141,N00001955
230,Thomas Carper,112,Sen.,D,,C000174,N00012508
231,Bob Casey,112,Sen.,D,,C001070,N00027503
232,Saxby Chambliss,112,Sen.,R,,C000286,None
233,Daniel Coats,112,Sen.,R,,C000542,None
234,Tom Coburn,112,Sen.,R,,C000560,None
235,Thad Cochran,112,Sen.,R,,C000567,N00003328
236,Susan Collins,112,Sen.,R,,C001035,N00000491
237,Kent Conrad,112,Sen.,D,,C000705,None
238,Christopher Coons,112,Sen.,D,,C001088,N00031820
239,Bob Corker,112,Sen.,R,,C001071,N00027441
240,John Cornyn,112,Sen.,R,,C001056,N00024852
241,Michael Crapo,112,Sen.,R,,C000880,N00006267
242,Jim DeMint,112,Sen.,R,,D000595,None
243,Richard Durbin,112,Sen.,D,,D000563,N00004981
244,John Ensign,112,Sen.,R,,E000194,None
245,Michael Enzi,112,Sen.,R,,E000285,N00006249
246,Dianne Feinstein,112,Sen.,D,,F000062,N00007364
247,Al Franken,112,Sen.,D,,F000457,N00029016
248,Kirsten Gillibrand,112,Sen.,D,,G000555,N00027658
249,Lindsey Graham,112,Sen.,R,,G000359,N00009975
250,Charles Grassley,112,Sen.,R,,G000386,N00001758
251,Kay Hagan,112,Sen.,D,,H001049,None
252,Tom Harkin,112,Sen.,D,,H000206,None
253,Orrin Hatch,112,Sen.,R,,H000338,N00009869
254,Dean Heller,112,Sen.,R,,H001041,N00027522
255,John Hoeven,112,Sen.,R,,H001061,N00031688
256,Kay Hutchison,112,Sen.,R,,H001016,None
257,James Inhofe,112,Sen.,R,,I000024,N00005582
258,Daniel Inouye,112,Sen.,D,,I000025,None
259,Johnny Isakson,112,Sen.,R,,I000055,N00002593
260,Mike Johanns,112,Sen.,R,,J000291,None
261,Tim Johnson,112,Sen.,D,,J000177,None
262,Ron Johnson,112,Sen.,R,,J000293,N00032546
263,John Kerry,112,Sen.,D,,K000148,None
264,Mark Kirk,112,Sen.,R,,K000360,None
265,Amy Klobuchar,112,Sen.,D,,K000367,N00027500
266,Herb Kohl,112,Sen.,D,,K000305,None
267,Jon Kyl,112,Sen.,R,,K000352,None
268,Mary Landrieu,112,Sen.,D,,L000550,None
269,Frank Lautenberg,112,Sen.,D,,L000123,None
270,Patrick Leahy,112,Sen.,D,,L000174,N00009918
271,Mike Lee,112,Sen.,R,,L000577,N00031696
272,Carl Levin,112,Sen.,D,,L000261,None
273,Joseph Lieberman,112,Sen.,I,,L000304,None
274,Richard Lugar,112,Sen.,R,,L000504,None
275,Joe Manchin,112,Sen.,D,,M001183,N00032838
276,John McCain,112,Sen.,R,S6AZ00019,M000303,N00006424
277,Claire McCaskill,112,Sen.,D,,M001170,N00027694
278,Mitch McConnell,112,Sen.,R,,M000355,N00003389
279,Robert Menendez,112,Sen.,D,,M000639,N00000699
280,Jeff Merkley,112,Sen.,D,,M001176,N00029303
281,Barbara Mikulski,112,Sen.,D,,M000702,None
282,Jerry Moran,112,Sen.,R,,M000934,N00005282
283,Lisa Murkowski,112,Sen.,R,,M001153,N00026050
284,Patty Murray,112,Sen.,D,,M001111,N00007876
285,Bill Nelson,112,Sen.,D,,N000032,N00009926
286,Ben Nelson,112,Sen.,D,,N000180,None
287,Rand Paul,112,Sen.,R,,P000603,N00030836
288,Rob Portman,112,Sen.,R,,P000449,N00003682
289,Mark Pryor,112,Sen.,D,,P000590,None
290,Jack Reed,112,Sen.,D,,R000122,N00000362
291,Harry Reid,112,Sen.,D,,R000146,None
292,Jim Risch,112,Sen.,R,,R000584,N00029441
293,Pat Roberts,112,Sen.,R,,R000307,N00005285
294,John Rockefeller,112,Sen.,D,,R000361,None
295,Marco Rubio,112,Sen.,R,,R000595,N00030612
296,Bernard Sanders,112,Sen.,ID,,S000033,N00000528
297,Brian Schatz,112,Sen.,D,,S001194,N00028138
298,Charles Schumer,112,Sen.,D,,S000148,N00001093
299,Jeff Sessions,112,Sen.,R,,S001141,N00003062
300,Jeanne Shaheen,112,Sen.,D,,S001181,N00024790
301,Richard Shelby,112,Sen.,R,,S000320,N00009920
302,Olympia Snowe,112,Sen.,R,,S000663,None
303,Debbie Stabenow,112,Sen.,D,,S000770,N00004118
304,Jon Tester,112,Sen.,D,,T000464,N00027605
305,John Thune,112,Sen.,R,,T000250,N00004572
306,Patrick Toomey,112,Sen.,R,,T000461,N00001489
307,Tom Udall,112,Sen.,D,,U000039,N00006561
308,Mark Udall,112,Sen.,D,,U000038,None
309,David Vitter,112,Sen.,R,,V000127,None
310,Mark Warner,112,Sen.,D,,W000805,N00002097
311,Jim Webb,112,Sen.,D,,W000803,None
312,Sheldon Whitehouse,112,Sen.,D,,W000802,N00027533
313,Roger Wicker,112,Sen.,R,,W000437,N00003280
314,Ron Wyden,112,Sen.,D,,W000779,N00007724
315,Lamar Alexander,113,Sen.,R,,A000360,N00009888
316,Kelly Ayotte,113,Sen.,R,,A000368,None
317,Tammy Baldwin,113,Sen.,D,,B001230,N00004367
318,John Barrasso,113,Sen.,R,,B001261,N00006236
319,Max Baucus,113,Sen.,D,,B000243,None
320,Mark Begich,113,Sen.,D,,B001265,None
321,Michael Bennet,113,Sen.,D,,B001267,N00030608
322,Richard Blumenthal,113,Sen.,D,,B001277,N00031685
323,Roy Blunt,113,Sen.,R,,B000575,N00005195
324,Cory Booker,113,Sen.,D,,B001288,N00035267
325,John Boozman,113,Sen.,R,,B001236,N00013873
326,Barbara Boxer,113,Sen.,D,,B000711,None
327,Sherrod Brown,113,Sen.,D,,B000944,N00003535
328,Richard Burr,113,Sen.,R,,B001135,N00002221
329,Maria Cantwell,113,Sen.,D,,C000127,N00007836
330,Benjamin Cardin,113,Sen.,D,,C000141,N00001955
331,Thomas Carper,113,Sen.,D,,C000174,N00012508
332,Bob Casey,113,Sen.,D,,C001070,N00027503
333,Saxby Chambliss,113,Sen.,R,,C000286,None
334,Jeffrey Chiesa,113,Sen.,R,,C001100,None
335,Daniel Coats,113,Sen.,R,,C000542,None
336,Tom Coburn,113,Sen.,R,,C000560,None
337,Thad Cochran,113,Sen.,R,,C000567,N00003328
338,Susan Collins,113,Sen.,R,,C001035,N00000491
339,Christopher Coons,113,Sen.,D,,C001088,N00031820
340,Bob Corker,113,Sen.,R,,C001071,N00027441
341,John Cornyn,113,Sen.,R,,C001056,N00024852
342,William Cowan,113,Sen.,D,,C001099,None
343,Michael Crapo,113,Sen.,R,,C000880,N00006267
344,Ted Cruz,113,Sen.,R,,C001098,N00033085
345,Joe Donnelly,113,Sen.,D,,D000607,N00026586
346,Richard Durbin,113,Sen.,D,,D000563,N00004981
347,Michael Enzi,113,Sen.,R,,E000285,N00006249
348,Dianne Feinstein,113,Sen.,D,,F000062,N00007364
349,Deb Fischer,113,Sen.,R,,F000463,N00033443
350,Jeff Flake,113,Sen.,R,,F000444,N00009573
351,Al Franken,113,Sen.,D,,F000457,N00029016
352,Kirsten Gillibrand,113,Sen.,D,,G000555,N00027658
353,Lindsey Graham,113,Sen.,R,,G000359,N00009975
354,Charles Grassley,113,Sen.,R,,G000386,N00001758
355,Kay Hagan,113,Sen.,D,,H001049,None
356,Tom Harkin,113,Sen.,D,,H000206,None
357,Orrin Hatch,113,Sen.,R,,H000338,N00009869
358,Martin Heinrich,113,Sen.,D,,H001046,N00029835
359,Heidi Heitkamp,113,Sen.,D,,H001069,N00033782
360,Dean Heller,113,Sen.,R,,H001041,N00027522
361,Mazie Hirono,113,Sen.,D,,H001042,N00028139
362,John Hoeven,113,Sen.,R,,H001061,N00031688
363,James Inhofe,113,Sen.,R,,I000024,N00005582
364,Johnny Isakson,113,Sen.,R,,I000055,N00002593
365,Mike Johanns,113,Sen.,R,,J000291,None
366,Tim Johnson,113,Sen.,D,,J000177,None
367,Ron Johnson,113,Sen.,R,,J000293,N00032546
368,Tim Kaine,113,Sen.,D,,K000384,N00033177
369,John Kerry,113,Sen.,D,,K000148,None
370,Angus King,113,Sen.,ID,,K000383,N00034580
371,Mark Kirk,113,Sen.,R,,K000360,None
372,Amy Klobuchar,113,Sen.,D,,K000367,N00027500
373,Mary Landrieu,113,Sen.,D,,L000550,None
374,Frank Lautenberg,113,Sen.,D,,L000123,None
375,Patrick Leahy,113,Sen.,D,,L000174,N00009918
376,Mike Lee,113,Sen.,R,,L000577,N00031696
377,Carl Levin,113,Sen.,D,,L000261,None
378,Joe Manchin,113,Sen.,D,,M001183,N00032838
379,Edward Markey,113,Sen.,D,,M000133,N00000270
380,John McCain,113,Sen.,R,S6AZ00019,M000303,N00006424
381,Claire McCaskill,113,Sen.,D,,M001170,N00027694
382,Mitch McConnell,113,Sen.,R,,M000355,N00003389
383,Robert Menendez,113,Sen.,D,,M000639,N00000699
384,Jeff Merkley,113,Sen.,D,,M001176,N00029303
385,Barbara Mikulski,113,Sen.,D,,M000702,None
386,Jerry Moran,113,Sen.,R,,M000934,N00005282
387,Lisa Murkowski,113,Sen.,R,,M001153,N00026050
388,Christopher Murphy,113,Sen.,D,,M001169,N00027566
389,Patty Murray,113,Sen.,D,,M001111,N00007876
390,Bill Nelson,113,Sen.,D,,N000032,N00009926
391,Rand Paul,113,Sen.,R,,P000603,N00030836
392,Rob Portman,113,Sen.,R,,P000449,N00003682
393,Mark Pryor,113,Sen.,D,,P000590,None
394,Jack Reed,113,Sen.,D,,R000122,N00000362
395,Harry Reid,113,Sen.,D,,R000146,None
396,Jim Risch,113,Sen.,R,,R000584,N00029441
397,Pat Roberts,113,Sen.,R,,R000307,N00005285
398,John Rockefeller,113,Sen.,D,,R000361,None
399,Marco Rubio,113,Sen.,R,,R000595,N00030612
400,Bernard Sanders,113,Sen.,ID,,S000033,N00000528
401,Brian Schatz,113,Sen.,D,,S001194,N00028138
402,Charles Schumer,113,Sen.,D,,S000148,N00001093
403,Tim Scott,113,Sen.,R,,S001184,N00031782
404,Jeff Sessions,113,Sen.,R,,S001141,N00003062
405,Jeanne Shaheen,113,Sen.,D,,S001181,N00024790
406,Richard Shelby,113,Sen.,R,,S000320,N00009920
407,Debbie Stabenow,113,Sen.,D,,S000770,N00004118
408,Jon Tester,113,Sen.,D,,T000464,N00027605
409,John Thune,113,Sen.,R,,T000250,N00004572
410,Patrick Toomey,113,Sen.,R,,T000461,N00001489
411,Mark Udall,113,Sen.,D,,U000038,None
412,Tom Udall,113,Sen.,D,,U000039,N00006561
413,David Vitter,113,Sen.,R,,V000127,None
414,John Walsh,113,Sen.,D,,W000818,None
415,Mark Warner,113,Sen.,D,,W000805,N00002097
416,Elizabeth Warren,113,Sen.,D,,W000817,N00033492
417,Sheldon Whitehouse,113,Sen.,D,,W000802,N00027533
418,Roger Wicker,113,Sen.,R,,W000437,N00003280
419,Ron Wyden,113,Sen.,D,,W000779,N00007724
420,Lamar Alexander,114,Sen.,R,P60003225,A000360,N00009888
421,Kelly Ayotte,114,Sen.,R,S0NH00235,A000368,None
422,Tammy Baldwin,114,Sen.,D,S2WI00219,B001230,N00004367
423,John Barrasso,114,Sen.,R,S6WY00068,B001261,N00006236
424,Michael Bennet,114,Sen.,D,S0CO00211,B001267,N00030608
425,Richard Blumenthal,114,Sen.,D,S0CT00177,B001277,N00031685
426,Roy Blunt,114,Sen.,R,S0MO00183,B000575,N00005195
427,Cory Booker,114,Sen.,D,S4NJ00185,B001288,N00035267
428,John Boozman,114,Sen.,R,S0AR00150,B001236,N00013873
429,Barbara Boxer,114,Sen.,D,P80003247,B000711,None
430,Sherrod Brown,114,Sen.,D,S6OH00163,B000944,N00003535
431,Richard Burr,114,Sen.,R,H2NC05074,B001135,N00002221
432,Maria Cantwell,114,Sen.,D,H2WA01054,C000127,N00007836
433,Shelley Capito,114,Sen.,R,S4WV00159,C001047,N00009771
434,Benjamin Cardin,114,Sen.,D,S6MD03177,C000141,N00001955
435,Thomas Carper,114,Sen.,D,S8DE00079,C000174,N00012508
436,Bob Casey,114,Sen.,D,S6PA00217,C001070,N00027503
437,Bill Cassidy,114,Sen.,R,S4LA00107,C001075,N00030245
438,Daniel Coats,114,Sen.,R,S0IN00053,C000542,None
439,Thad Cochran,114,Sen.,R,S8MS00055,C000567,N00003328
440,Susan Collins,114,Sen.,R,S6ME00159,C001035,N00000491
441,Christopher Coons,114,Sen.,D,S0DE00092,C001088,N00031820
442,Bob Corker,114,Sen.,R,S4TN00187,C001071,N00027441
443,John Cornyn,114,Sen.,R,S2TX00106,C001056,N00024852
444,Tom Cotton,114,Sen.,R,S4AR00103,C001095,N00033363
445,Michael Crapo,114,Sen.,R,H2ID02034,C000880,N00006267
446,Ted Cruz,114,Sen.,R,S2TX00312,C001098,N00033085
447,Steve Daines,114,Sen.,R,S2MT00096,D000618,N00033054
448,Joe Donnelly,114,Sen.,D,S2IN00091,D000607,N00026586
449,Richard Durbin,114,Sen.,D,H2IL20026,D000563,N00004981
450,Michael Enzi,114,Sen.,R,S6WY00126,E000285,N00006249
451,Joni Ernst,114,Sen.,R,S4IA00129,E000295,N00035483
452,Dianne Feinstein,114,Sen.,D,S0CA00199,F000062,N00007364
453,Deb Fischer,114,Sen.,R,S2NE00094,F000463,N00033443
454,Jeff Flake,114,Sen.,R,S2AZ00141,F000444,N00009573
455,Al Franken,114,Sen.,D,S8MN00438,F000457,N00029016
456,Cory Gardner,114,Sen.,R,S4CO00395,G000562,N00030780
457,Kirsten Gillibrand,114,Sen.,D,S0NY00410,G000555,N00027658
458,Lindsey Graham,114,Sen.,R,H4SC03087,G000359,N00009975
459,Charles Grassley,114,Sen.,R,S0IA00028,G000386,N00001758
460,Orrin Hatch,114,Sen.,R,P00003806,H000338,N00009869
461,Martin Heinrich,114,Sen.,D,S2NM00088,H001046,N00029835
462,Heidi Heitkamp,114,Sen.,D,S2ND00099,H001069,N00033782
463,Dean Heller,114,Sen.,R,S2NV00183,H001041,N00027522
464,Mazie Hirono,114,Sen.,D,S2HI00106,H001042,N00028139
465,John Hoeven,114,Sen.,R,S0ND00093,H001061,N00031688
466,James Inhofe,114,Sen.,R,H6OK01102,I000024,N00005582
467,Johnny Isakson,114,Sen.,R,H8GA06146,I000055,N00002593
468,Ron Johnson,114,Sen.,R,S0WI00197,J000293,N00032546
469,Tim Kaine,114,Sen.,D,S2VA00142,K000384,N00033177
470,Angus King,114,Sen.,ID,S2ME00109,K000383,N00034580
471,Mark Kirk,114,Sen.,R,S0IL00261,K000360,None
472,Amy Klobuchar,114,Sen.,D,S6MN00267,K000367,N00027500
473,James Lankford,114,Sen.,R,S4OK00232,L000575,N00031129
474,Patrick Leahy,114,Sen.,D,S4VT00017,L000174,N00009918
475,Mike Lee,114,Sen.,R,S0UT00165,L000577,N00031696
476,Joe Manchin,114,Sen.,D,S0WV00090,M001183,N00032838
477,Edward Markey,114,Sen.,D,S4MA00028,M000133,N00000270
478,John McCain,114,Sen.,R,S6AZ00019,M000303,N00006424
479,Claire McCaskill,114,Sen.,D,P80005721,M001170,N00027694
480,Mitch McConnell,114,Sen.,R,S2KY00012,M000355,N00003389
481,Robert Menendez,114,Sen.,D,S6NJ00289,M000639,N00000699
482,Jeff Merkley,114,Sen.,D,S8OR00207,M001176,N00029303
483,Barbara Mikulski,114,Sen.,D,S6MD00140,M000702,None
