,Unnamed: 0,Unnamed: 0.1,name,fec_candidate_id,2010,2012,2014,2016,2018,2020,id,party
58,58,58,Mazie Hirono,H6HI02251,445718.0,445718.0,0.0,0.0,0.0,0.0,H001042,D
59,59,59,John Hoeven,S0ND00093,1237603.0,0.0,0.0,1361856.0,0.0,0.0,H001061,R
60,60,60,Cindy Hyde-Smith,S8MS00261,0.0,0.0,0.0,0.0,1520323.45,1164616.0,H001079,R
61,61,61,James Inhofe,S4OK00083,0.0,0.0,1267714.0,0.0,0.0,1633650.0,I000024,R
62,62,62,Johnny Isakson,S6GA00119,2338047.0,0.0,0.0,2788946.0,0.0,0.0,I000055,R
63,63,63,Ron Johnson,S0WI00197,805777.0,0.0,0.0,2219078.0,340050.0,0.0,J000293,R
64,64,64,Doug Jones,S0AL00156,0.0,0.0,0.0,0.0,875252.0,1943850.37,J000300,D
65,65,65,Tim Kaine,S2VA00142,0.0,1259445.0,0.0,0.0,2083252.36,0.0,K000384,D
66,66,66,John Kennedy,S4LA00065,0.0,0.0,0.0,1016358.0,0.0,0.0,K000393,R
67,67,67,Angus King,S2ME00109,0.0,435728.0,0.0,0.0,1204659.49,0.0,K000383,ID
68,68,68,Amy Klobuchar,S6MN00267,0.0,1938431.0,0.0,0.0,1493360.13,0.0,K000367,D
69,69,69,James Lankford,H0OK05114,185768.0,363674.87,177975.0,0.0,0.0,0.0,L000575,R
70,70,70,Patrick Leahy,S4VT00017,1008886.0,0.0,0.0,1298473.0,0.0,0.0,L000174,D
71,71,71,Mike Lee,S0UT00165,438370.0,0.0,0.0,941170.0,0.0,0.0,L000577,R
72,72,72,Kelly Loeffler,S0GA00526,0.0,0.0,0.0,0.0,0.0,838870.86,L000594,R
73,73,73,Joe Manchin,S0WV00090,1144835.0,2034918.0,0.0,0.0,2206439.91,0.0,M001183,D
74,74,74,Edward Markey,H6MA07101,676364.96,434228.25,0.0,0.0,0.0,0.0,M000133,D
75,75,75,Mitch McConnell,S2KY00012,0.0,0.0,3806660.0,0.0,0.0,3597747.57,M000355,R
76,76,76,Robert Menendez,H2NJ13075,0.0,0.0,0.0,0.0,0.0,0.0,M000639,D
77,77,77,Jeff Merkley,S8OR00207,0.0,0.0,1435689.0,0.0,0.0,601018.86,M001176,D
78,78,78,Jerry Moran,H6KS01096,0.0,0.0,0.0,0.0,0.0,0.0,M000934,R
79,79,79,Lisa Murkowski,S4AK00099,1772682.0,0.0,0.0,1842813.0,0.0,0.0,M001153,R
80,80,80,Christopher Murphy,H6CT05124,1015449.0,1015450.0,0.0,0.0,0.0,0.0,M001169,D
81,81,81,Patty Murray,S2WA00189,2360201.0,0.0,0.0,2808166.0,0.0,0.0,M001111,D
82,82,82,Rand Paul,S0KY00156,0.0,0.0,0.0,878600.0,0.0,0.0,P000603,R
83,83,83,David Perdue,S4GA11285,0.0,0.0,1348551.0,0.0,0.0,2428520.0,P000612,R
84,84,84,Gary Peters,S4MI00355,0.0,0.0,2147903.0,0.0,0.0,3068209.52,P000595,D
85,85,85,Rob Portman,S0OH00133,2018764.0,0.0,0.0,4134430.0,0.0,0.0,P000449,R
86,86,86,Jack Reed,S6RI00163,0.0,0.0,1655112.0,0.0,0.0,1480937.0,R000122,D
87,87,87,Jim Risch,S8ID00092,0.0,0.0,899385.0,0.0,0.0,1160761.73,R000584,R
88,88,88,Pat Roberts,S6KS00080,0.0,0.0,3085837.0,0.0,0.0,0.0,R000307,R
89,89,89,Mitt Romney,S8UT00176,0.0,0.0,0.0,0.0,0.0,0.0,R000615,R
90,90,90,Mike Rounds,S4SD00049,0.0,0.0,1471505.0,0.0,0.0,1490350.0,R000605,R
91,91,91,Marco Rubio,S0FL00338,1260653.0,0.0,0.0,2237239.0,0.0,0.0,R000595,R
92,92,92,Bernard Sanders,H8VT01016,0.0,0.0,0.0,0.0,0.0,0.0,S000033,ID
93,93,93,Ben Sasse,S4NE00090,0.0,0.0,1087842.0,0.0,0.0,1572850.0,S001197,R
94,94,94,Brian Schatz,S4HI00136,0.0,0.0,1243650.0,1556328.0,0.0,0.0,S001194,D
95,95,95,Charles Schumer,S8NY00082,2905309.0,0.0,0.0,3479053.0,0.0,0.0,S000148,D
96,96,96,Rick Scott,S8FL00273,0.0,0.0,0.0,0.0,981797.67,0.0,S001217,R
97,97,97,Tim Scott,H0SC01279,386289.12,738714.27,0.0,0.0,0.0,0.0,S001184,R
98,98,98,Jeanne Shaheen,S0NH00219,0.0,0.0,2064960.0,0.0,0.0,2070597.51,S001181,D
