Recipient,Total,Party,Chamber
"Barrasso, John A",130000,Republican,Senate
"Ryan, Tim",88000,Democrat,House
"Grijalva, Raul M",3500,Democrat,House
"Edwards, Donna",5500,Democrat,House
"Himes, Jim",32000,Democrat,House
"Bucshon, Larry",31500,Republican,House
"Walden, Greg",221250,Republican,House
"Carper, Tom",36130,Democrat,Senate
"Stivers, Steve",71500,Republican,House
"Rubio, Marco",37000,Republican,Senate
"Meehan, Patrick",53000,Republican,House
"Black, Diane",11500,Republican,House
"Clarke, Hansen",8000,Democrat,House
"Driehaus, Steve",10500,Democrat,House
"Kissell, Larry",12000,Democrat,House
"Inglis, Bob",8500,Republican,House
"Etheridge, Bob",5500,Democrat,House
"Ellsworth, Brad",6500,Democrat,House
"Hagan, Kay R",18000,Democrat,Senate
"Duncan, Jeff",60000,Republican,House
"McHenry, Patrick",59000,Republican,House
"Chabot, Steve",71500,Republican,House
"McIntyre, Mike",30500,Democrat,House
"Boxer, Barbara",7000,Democrat,Senate
"Mulvaney, Mick",32500,Republican,House
"Tiberi, Pat",129500,Republican,House
"Thomas, David Lloyd",2500,Republican,House
"Brown, Sherrod",45500,Democrat,Senate
"Coble, Howard",12000,Republican,House
"Davis, Geoff",9000,Republican,House
"Schmidt, Jean",7000,Republican,House
"Conway, Jack",4500,Democrat,Senate
"Foxx, Virginia",40000,Republican,House
"Grayson, Trey",4500,Republican,Senate
"Waxman, Henry",8500,Democrat,House
"Nye, Glenn",3500,Democrat,House
"Christian-Christensen, Donna",3500,Democrat,
"Austria, Steve",9000,Republican,House
"Watt, Melvin L",6500,Democrat,House
"Stutzman, Marlin",9000,Republican,House
"Melancon, Charles",22000,Democrat,House
"Boccieri, John A",9000,Democrat,House
"Carson, Andre",30000,Democrat,House
"Gowdy, Trey",27000,Republican,House
"Towns, Edolphus",26000,Democrat,House
"Markey, Betsy",10000,Democrat,House
"Paul, Rand",17000,Republican,Senate
"Donnelly, Joe",26000,Democrat,Senate
"Lummis, Cynthia",16000,Republican,Senate
"Lieberman, Joe",5000,Independent,Senate
"Brown, Henry",2000,Republican,House
"Wilson, Charlie",10000,Democrat,House
"Lee, Barbara",22500,Democrat,House
"Latham, Tom",28000,Republican,House
"Lewis, John",33500,Democrat,House
"Bright, Bobby",13500,Democrat,House
"Fudge, Marcia L",80000,Democrat,House
"Rokita, Todd",18500,Republican,House
"Childers, Travis",20500,Democrat,House
"Miller, Brad",3000,Democrat,House
"Cummings, Elijah E",7000,Democrat,House
"Castle, Michael N",1000,Republican,House
"Sutton, Betty Sue",22000,Democrat,House
"Jones, Walter B Jr",10500,Republican,House
"Shelby, Richard C",25500,Republican,Senate
"Meek, Kendrick B",3750,Democrat,House
"Price, David",18500,Democrat,House
"Moran, Jerry",18500,Republican,Senate
"Risch, James E",23500,Republican,Senate
"Holden, Tim",29000,Democrat,House
"Lugar, Richard G",7000,Republican,Senate
"Boyd, Allen",11000,Democrat,House
"Pelosi, Nancy",12000,Democrat,House
"Begich, Mark",41500,Democrat,Senate
"Griffith, Parker",17000,Republican,House
"Latta, Robert E",115500,Republican,House
"Scott, Tim",80500,Republican,Senate
"Levin, Carl",1000,Democrat,Senate
"Nunes, Devin",38500,Republican,House
"Pence, Mike",1000,Republican,House
"Nelson, Bill",20700,Democrat,Senate
"Gillibrand, Kirsten",24000,Democrat,Senate
"Corker, Bob",31000,Republican,Senate
"Gibbs, Bob",52500,Republican,House
"DeMint, Jim",4000,Republican,Senate
"McMahon, Michael E",8000,Democrat,House
"Palazzo, Steven",72500,Republican,House
"Schumer, Charles E",50500,Democrat,Senate
"Garcia, Joe",6400,Democrat,House
"Alexander, Rodney",11000,Republican,House
"Berry, Marion",4500,Democrat,House
"Poe, Ted",8500,Republican,House
"Harper, Gregg",94000,Republican,House
"King, Pete",10000,Republican,House
"Richmond, Cedric",104500,Democrat,House
"Wicker, Roger",58500,Republican,Senate
"Nunnelee, Alan",36500,Republican,House
"Wills, Robbie",1000,Democrat,House
"Brady, Kevin",124000,Republican,House
"Israel, Steve",26500,Democrat,House
"Womack, Steve",35500,Republican,House
"Boustany, Charles Jr",39500,Republican,House
"Carter, John",6000,Republican,House
"Maffei, Dan",9000,Democrat,House
"Hastings, Alcee L",7000,Democrat,House
"Fleming, John",9000,Republican,House
"Boozman, John",26000,Republican,Senate
"Courtney, Joe",33500,Democrat,House
"Cassidy, Bill",38500,Republican,Senate
"Klein, Ron",4000,Democrat,House
"Owens, Bill",12000,Democrat,House
"Landry, Jeff",10500,Republican,House
"Tonko, Paul",30500,Democrat,House
"Granger, Kay",16500,Republican,House
"Brown, Scott",20000,Republican,Senate
"Elliott, Joyce",1000,Democrat,House
"Downer, Hunt",1000,Republican,House
"Velazquez, Nydia M",2000,Democrat,House
"Dreier, David",1000,Republican,House
"Cornyn, John",65500,Republican,Senate
"Tanner, John",1000,Democrat,House
"Jackson Lee, Sheila",6500,Democrat,House
"Bledsoe, Cecile H",1000,Republican,House
"Inhofe, James M",55000,Republican,Senate
"Fattah, Chaka",4000,Democrat,House
"Salazar, John",12000,Democrat,House
"McNerney, Jerry",30500,Democrat,House
"Alexander, Lamar",21500,Republican,Senate
"Wyden, Ron",91000,Democrat,Senate
"Clarke, Yvette D",29500,Democrat,House
"Cao, Joseph",1000,Republican,House
"Pallone, Frank Jr",86500,Democrat,House
"Lungren, Dan",1000,Republican,House
"Cardoza, Dennis",1000,Democrat,House
"Coons, Chris",19500,Democrat,Senate
"Bass, Karen",6000,Democrat,House
"Fisher, Lee Irwin",6000,Democrat,Senate
"Garrett, Scott",14500,Republican,House
"Sanchez, Loretta",1500,Democrat,House
"Hilliard, Earl Frederick Jr",5500,Democrat,House
"Coakley, Martha",5000,Democrat,Senate
"Guinta, Frank",32000,Republican,House
"Ashooh, Richard E",1000,Republican,House
"DeLauro, Rosa L",7000,Democrat,House
"Whitehouse, Sheldon",13500,Democrat,Senate
"Olver, John W",2000,Democrat,House
"Hodes, Paul W",2000,Democrat,House
"Rogers, Mike D",60000,Republican,House
"Welch, Peter",23000,Democrat,House
"Keating, Bill",32000,Democrat,House
"LaTourette, Steve",22000,Republican,House
"Thompson, Glenn",69150,Republican,House
"Jordan, Jim",37000,Republican,House
"Dahlkemper, Kathy",11000,Democrat,House
"Renacci, Jim",48500,Republican,House
"Rahall, Nick",44000,Democrat,House
"Lance, Leonard",38500,Republican,House
"Pitts, Joe",37500,Republican,House
"Stearns, Cliff",7000,Republican,House
"Turner, Michael R",18000,Republican,House
"Broun, Paul",26500,Republican,House
"Burns, Timothy R",1000,Republican,House
"Kanjorski, Paul E",11000,Democrat,House
"Peterson, Collin",42250,Democrat,House
"Holt, Rush",1000,Democrat,House
"Issa, Darrell",3000,Republican,House
"Hensarling, Jeb",11500,Republican,House
"Voinovich, George V",5000,Republican,Senate
"Noem, Kristi",32500,Republican,House
"DeFazio, Peter",7500,Democrat,House
"Blumenauer, Earl",47500,Democrat,House
"Schrader, Kurt",95247,Democrat,House
"Wu, David",2000,Democrat,House
"Carney, Chris",13000,Democrat,House
"Murphy, Patrick J",10000,Democrat,House
"Schwartz, Allyson",14500,Democrat,House
