Recipient,Total,Party,Chamber
"Barr, Andy",15250,Republican,House
"McConnell, Mitch",27300,Republican,Senate
"James, John",15000,Republican,Senate
"Daines, Steven",23600,Republican,Senate
"Inhofe, James M",11000,Republican,Senate
"Tillis, Thom",16500,Republican,Senate
"Parnell, Sean",5000,Republican,House
"Hinson, Ashley",2500,Republican,House
"Mooney, Alex",10000,Republican,House
"Miller, Carol",20000,Republican,House
"Ferguson, Drew",5000,Republican,House
"Bucshon, Larry",10000,Republican,House
"Bost, Mike",6000,Republican,House
"Griffith, Morgan",7500,Republican,House
"Davis, Rodney",7500,Republican,House
"Collins, Genevieve",2000,Republican,House
"Hern, Kevin",5000,Republican,House
"McSally, Martha",14000,Republican,Senate
"Gardner, Cory",30500,Republican,Senate
"Marshall, Roger",2500,Republican,House
"Reschenthaler, Guy",16500,Republican,House
"Bice, Stephanie",5000,Republican,House
"Pence, Greg",1000,Republican,House
"Johnson, Bill",10000,Republican,House
"Comer, James",2500,Republican,House
"Hendricks, Darryl",2500,No View,
"Bishop, Dan",2500,Republican,House
"Stauber, Pete",2500,Republican,House
"Shimkus, John",8000,Republican,House
"Armstrong, Kelly",23000,Republican,House
"Lummis, Cynthia",11500,Republican,Senate
"King, Esther Joy",2500,Republican,House
"Cheney, Liz",29000,Republican,House
"Foxx, Virginia",10000,Republican,House
"Simpson, Mike",1500,Republican,House
"Rounds, Mike",1500,Republican,Senate
"Capito, Shelley Moore",28999,Republican,Senate
"Rosendale, Matt",1000,Republican,House
"Loeffler, Kelly",1000,Republican,Senate
"Junge, Paul",1000,Republican,House
"Melton, Jessi",1000,Republican,House
"McKinley, David",19500,Republican,House
"McCarthy, Kevin",8000,Republican,House
"Walden, Greg",9500,Republican,House
"Toomey, Pat",4800,Republican,Senate
"Gosar, Paul",3500,Republican,House
"Costa, Jim",2000,Democrat,House
"Boebert, Lauren",2000,Republican,House
"Ernst, Joni",8500,Republican,Senate
"Bishop, Sanford",1000,Democrat,House
"Cuellar, Henry",3000,Democrat,House
"Cramer, Kevin",11000,Republican,Senate
"Curtis, John",3500,Republican,House
"Cotton, Tom",10000,Republican,Senate
"Barrasso, John A",10000,Republican,Senate
"Hoeven, John",11000,Republican,Senate
"Enzi, Mike",10000,Republican,Senate
"Graham, Lindsey",7500,Republican,Senate
"Tester, Jon",5000,Democrat,Senate
"Trump, Donald",5000,Republican,
"Kelly, Mike",2500,Republican,House
"Thompson, Glenn",2000,Republican,House
"Cline, Ben",1000,Republican,House
"Cornyn, John",8000,Republican,Senate
"Barr, Tony",2500,No View,
"Hyde-Smith, Cindy",5000,Republican,Senate
"Manchin, Joe",1500,Democrat,Senate
"Kelly, Robin",9500,Democrat,House
"Veasey, Marc",5000,Democrat,House
"Panetta, Jimmy",4000,Democrat,House
"Burgess, Michael",4000,Republican,House
"Williams, Roger",4000,Republican,House
"Kinzinger, Adam",3000,Republican,House
"Pallone, Frank Jr",3500,Democrat,House
"Neal, Richard E",3000,Democrat,House
"Cole, Tom",3000,Republican,House
"Wright, Ron",2500,Republican,House
"Crenshaw, Dan",2000,Republican,House
"LaHood, Darin",2000,Republican,House
"Latta, Robert E",2000,Republican,House
"Portman, Rob",2000,Republican,Senate
"Johnson, Eddie Bernice",2000,Democrat,House
"Brady, Kevin",2000,Republican,House
"Rush, Bobby L",2000,Democrat,House
"McCaul, Michael",2000,Republican,House
"Houlahan, Chrissy",2000,Democrat,House
"Lee, Barbara",2000,Democrat,House
"Rodgers, Cathy McMorris",2000,Republican,House
"McNerney, Jerry",2000,Democrat,House
"Graves, Garret",2000,Republican,House
"Fletcher, Lizzie",1000,Democrat,House
"Bustos, Cheri",1000,Democrat,House
"Welch, Peter",1000,Democrat,House
"Granger, Kay",1000,Republican,House
"McEachin, Donald",1000,Democrat,House
"Ratcliffe, John",1000,Republican,House
"Pfluger, August",1000,Republican,House
"Olson, Pete",1000,Republican,House
"Tonko, Paul",1000,Democrat,House
"Arrington, Jodey",1000,Republican,House
"Doyle, Mike",1000,Democrat,House
"Sessions, Pete",1000,Republican,House
"Carter, John",1000,Republican,House
"Murkowski, Lisa",1000,Republican,Senate
"Taylor, Van",1000,Republican,House
"Cloud, Michael",1000,Republican,House
"Roy, Chip",1000,Republican,House
"Garcia, Sylvia",1000,Democrat,House
"Courtney, Joe",1000,Democrat,House
"Evans, Dwight",1000,Democrat,House
"Gooden, Lance",1000,Republican,House
"DeGette, Diana",1000,Democrat,House
"Heinrich, Martin",1000,Democrat,Senate
