Recipient,Total,Party,Chamber
"Casten, Sean",6000,Democrat,House
"Durbin, Dick",4000,Democrat,Senate
"Inhofe, James M",4000,Republican,Senate
"Graves, Sam",2000,Republican,House
"LaHood, Darin",4000,Republican,House
"Duckworth, Tammy",4500,Democrat,Senate
"Thune, John",2500,Republican,Senate
"Murkowski, Lisa",3500,Republican,Senate
"Neal, Richard E",5000,Democrat,House
"Davis, Danny K",2500,Democrat,House
"Pallone, Frank Jr",5000,Democrat,House
"Buchanan, Vernon",1500,Republican,House
"Schumer, Charles E",4300,Democrat,Senate
"Kildee, Dan",1500,Democrat,House
"Stefanik, Elise",1200,Republican,House
"Bustos, Cheri",1000,Democrat,House
"McHenry, Patrick",1000,Republican,House
"Marshall, Roger",2000,Republican,House
"Moran, Jerry",1000,Republican,Senate
"Tillis, Thom",1000,Republican,Senate
"Grassley, Chuck",1000,Republican,Senate
"Tonko, Paul",1000,Democrat,House
"Estes, Ron",1000,Republican,House
"Bishop, Sanford",1000,Democrat,House
"Braun, Mike",1000,Republican,Senate
"Smith, Tina",1000,Democrat,Senate
"Blunt, Roy",1000,Republican,Senate
"Arrington, Jodey",1000,Republican,House
"DeGette, Diana",500,Democrat,House
"Blumenauer, Earl",500,Democrat,House
"Thompson, Mike",4500,Democrat,House
"Graham, Lindsey",2800,Republican,Senate
"Masto, Catherine Cortez",2500,Democrat,Senate
"Bass, Karen",1500,Democrat,House
"McSally, Martha",1000,Republican,Senate
"Lee, Susie",1000,Democrat,House
"Zeldin, Lee",500,Republican,House
"Krishnamoorthi, Raja",500,Democrat,House
"Crist, Charlie",500,Democrat,House
"Fortenberry, Jeff",500,Republican,House
