Recipient,Total,Party,Chamber
"Blumenauer, Earl",7000,Democrat,House
"Casten, Sean",14000,Democrat,House
"Duckworth, Tammy",10000,Democrat,Senate
"LaHood, Darin",9500,Republican,House
"Thune, John",5000,Republican,Senate
"Mullin, Markwayne",6000,Republican,House
"Pallone, Frank Jr",17500,Democrat,House
"Murkowski, Lisa",3500,Republican,Senate
"Tonko, Paul",12500,Democrat,House
"McEachin, Donald",1000,Democrat,House
"Finkenauer, Abby",1000,Democrat,House
"Smith, Adam",12000,Democrat,House
"Inhofe, James M",14000,Republican,Senate
"Marshall, Roger",3000,Republican,House
"Warner, Mark",8000,Democrat,Senate
"Shaheen, Jeanne",12000,Democrat,Senate
"Peters, Gary",10000,Democrat,Senate
"Daines, Steven",7500,Republican,Senate
"McCarthy, Kevin",10000,Republican,House
"McConnell, Mitch",14000,Republican,Senate
"Durbin, Dick",13000,Democrat,Senate
"Pelosi, Nancy",7500,Democrat,House
"Scalise, Steve",8500,Republican,House
"Hoyer, Steny H",9500,Democrat,House
"Collins, Susan M",6000,Republican,Senate
"Kind, Ron",10000,Democrat,House
"Kennedy, Joe III",3000,Democrat,House
"Clyburn, James E",10000,Democrat,House
"Brady, Kevin",10000,Republican,House
"Sullivan, Dan",7500,Republican,Senate
"Reed, Jack",8000,Democrat,Senate
"Kinzinger, Adam",9000,Republican,House
"Walorski, Jackie",11000,Republican,House
"Neal, Richard E",11500,Democrat,House
"Ryan, Tim",7500,Democrat,House
"Coons, Chris",6500,Democrat,Senate
"Ernst, Joni",9000,Republican,Senate
"McSally, Martha",5500,Republican,Senate
"Bustos, Cheri",9000,Democrat,House
"Graham, Lindsey",4000,Republican,Senate
"Turner, Michael R",7500,Republican,House
"Tillis, Thom",10000,Republican,Senate
"Gallagher, Mike",3000,Republican,House
"Markey, Ed",3500,Democrat,Senate
"Norcross, Don",7000,Democrat,House
"Kuster, Ann",7000,Democrat,House
"Moore, Gwen",7000,Democrat,House
"Reed, Tom",8000,Republican,House
"Rochester, Lisa Blunt",10500,Democrat,House
"Luetkemeyer, Blaine",6500,Republican,House
"Gardner, Cory",9000,Republican,Senate
"Graves, Sam",8500,Republican,House
"Kelly, Mike",5500,Republican,House
"Cornyn, John",7000,Republican,Senate
"Rodgers, Cathy McMorris",6000,Republican,House
"Katko, John",6000,Republican,House
"Jeffries, Hakeem",6000,Democrat,House
"Granger, Kay",6000,Republican,House
"Hartzler, Vicky",6000,Republican,House
"Larsen, Rick",6000,Democrat,House
"Lynch, Stephen F",7000,Democrat,House
"Stivers, Steve",6000,Republican,House
"Murphy, Stephanie",7000,Democrat,House
"Price, David",7000,Democrat,House
"Lipinski, Daniel",6500,Democrat,House
"Sewell, Terri A",6000,Democrat,House
"Long, Billy",6000,Republican,House
"Clark, Katherine",5000,Democrat,House
"Davids, Sharice",1000,Democrat,House
"Byrne, Bradley",3000,Republican,House
"Lucas, Frank D",5500,Republican,House
"Joyce, David P",5500,Republican,House
