Recipient,Total,Party,Chamber
"Wagner, Ann L",22500,Republican,House
"Kinzinger, Adam",25000,Republican,House
"Davis, Rodney",22000,Republican,House
"Bustos, Cheri",24000,Democrat,House
"Graves, Sam",21000,Republican,House
"Hartzler, Vicky",10000,Republican,House
"Smith, Jason",15000,Republican,House
"Luetkemeyer, Blaine",16000,Republican,House
"LaHood, Darin",18000,Republican,House
"Durbin, Dick",12000,Democrat,Senate
"Long, Billy",15500,Republican,House
"Bost, Mike",10500,Republican,House
"Clay, William L Jr",5000,Democrat,House
"Shimkus, John",25000,Republican,House
"Hawley, Josh",3000,Republican,Senate
"Neal, Richard E",50000,Democrat,House
"Duckworth, Tammy",6000,Democrat,Senate
"McConnell, Mitch",16500,Republican,Senate
"Ernst, Joni",18000,Republican,Senate
"Clyburn, James E",40500,Democrat,House
"Hoyer, Steny H",63000,Democrat,House
"Mullin, Markwayne",6500,Republican,House
"Arrington, Jodey",20500,Republican,House
"Murkowski, Lisa",24000,Republican,Senate
"Johnson, Bill",26500,Republican,House
"McSally, Martha",21500,Republican,Senate
"Walden, Greg",15500,Republican,House
"Scalise, Steve",18500,Republican,House
"Scott, Tim",3000,Republican,Senate
"Peters, Gary",22000,Democrat,Senate
"Gardner, Cory",43500,Republican,Senate
"Lewis, John",6000,Democrat,House
"Graham, Lindsey",17000,Republican,Senate
"Loeffler, Kelly",13000,Republican,Senate
"Kind, Ron",18500,Democrat,House
"Brown, Anthony",3000,Democrat,House
"Wicker, Roger",8500,Republican,Senate
"McHenry, Patrick",12000,Republican,House
"Daines, Steven",18000,Republican,Senate
"Graves, Garret",13500,Republican,House
"Upton, Fred",38000,Republican,House
"Nunes, Devin",5000,Republican,House
"Thompson, Bennie G",21500,Democrat,House
"Thune, John",3000,Republican,Senate
"Simpson, Mike",9000,Republican,House
"Wilson, Joe",9000,Republican,House
"Rice, Tom",21000,Republican,House
"Kelly, Robin",22000,Democrat,House
"Latta, Robert E",27500,Republican,House
"Olson, Pete",9500,Republican,House
"Richmond, Cedric",23000,Democrat,House
"Reed, Tom",7500,Republican,House
"Kildee, Dan",15000,Democrat,House
"O'Halleran, Tom",10000,Democrat,House
"Fitzpatrick, Brian",21000,Republican,House
"Stauber, Pete",5500,Republican,House
"Inhofe, James M",10000,Republican,Senate
"Ruppersberger, Dutch",6000,Democrat,House
"McEachin, Donald",6000,Democrat,House
"Walberg, Tim",16000,Republican,House
"Stevens, Haley",10000,Democrat,House
"Dingell, Debbie",18000,Democrat,House
"Moolenaar, John",10000,Republican,House
"Bergman, John",12000,Republican,House
"Meijer, Peter",10000,Republican,House
"Lawrence, Brenda",10000,Democrat,House
"Levin, Andy",7500,Democrat,House
"Huizenga, Bill",7500,Republican,House
"Pallone, Frank Jr",40000,Democrat,House
"McCarthy, Kevin",42500,Republican,House
"Capito, Shelley Moore",26500,Republican,Senate
"Manchin, Joe",10500,Democrat,Senate
"Rush, Bobby L",30500,Democrat,House
"Mitchell, Paul",5000,Republican,House
"Sullivan, Dan",6000,Republican,Senate
"Cornyn, John",19500,Republican,Senate
"Coons, Chris",4500,Democrat,Senate
"Cole, Tom",10500,Republican,House
"Cassidy, Bill",12000,Republican,Senate
"Peters, Scott",9000,Democrat,House
"Hudson, Richard",18000,Republican,House
"Risch, James E",19500,Republican,Senate
"Tonko, Paul",12500,Democrat,House
"McKinley, David",15000,Republican,House
"Krishnamoorthi, Raja",1000,Democrat,House
"Rochester, Lisa Blunt",4000,Democrat,House
"McNerney, Jerry",11000,Democrat,House
"Clarke, Yvette D",5500,Democrat,House
"Schrader, Kurt",23000,Democrat,House
"Cheney, Liz",10500,Republican,House
