Recipient,Total,Party,Chamber
"Nadler, Jerrold",3800,Democrat,House
"Jeffries, Hakeem",3500,Democrat,House
"Tillis, Thom",91500,Republican,Senate
"Collins, Doug",11000,Republican,House
"Lieu, Ted",1000,Democrat,House
"Gomez, Jimmy",1000,Democrat,House
"Deutch, Ted",3500,Democrat,House
"Murphy, Stephanie",500,Democrat,House
"Cornyn, John",121800,Republican,Senate
"Brady, Kevin",129500,Republican,House
"Crenshaw, Dan",83300,Republican,House
"Pfluger, August",63647,Republican,House
"Carter, John",29000,Republican,House
"Cuellar, Henry",146000,Democrat,House
"Roy, Chip",34500,Republican,House
"Inhofe, James M",90000,Republican,Senate
"Cheney, Liz",70000,Republican,House
"Hern, Kevin",70000,Republican,House
"Scalise, Steve",85100,Republican,House
"Lummis, Cynthia",58500,Republican,Senate
"Capito, Shelley Moore",92000,Republican,Senate
"Mullin, Markwayne",80500,Republican,House
"Cole, Tom",49500,Republican,House
"Lucas, Frank D",46000,Republican,House
"McConnell, Mitch",98500,Republican,Senate
"McCarthy, Kevin",81500,Republican,House
"Cassidy, Bill",84000,Republican,Senate
"Hoyer, Steny H",36000,Democrat,House
"Johnson, Bill",58500,Republican,House
"Johnson, Mike",37500,Republican,House
"Gonzalez, Vicente",82000,Democrat,House
"Hudson, Richard",74000,Republican,House
"Keller, Fred",13500,Republican,House
"Fletcher, Lizzie",64399,Democrat,House
"Richmond, Cedric",72500,Democrat,House
"Sewell, Terri A",37000,Democrat,House
"Joyce, John",22500,Republican,House
"Reed, Tom",34500,Republican,House
"Kelly, Mike",40000,Republican,House
"Reschenthaler, Guy",57500,Republican,House
"Clyburn, James E",20000,Democrat,House
"Meuser, Dan",19000,Republican,House
"Perdue, David",53000,Republican,Senate
"Gardner, Cory",143500,Republican,Senate
"Garcia, Sylvia",40500,Democrat,House
"Walden, Greg",35500,Republican,House
"Rounds, Mike",35500,Republican,Senate
"Latta, Robert E",49500,Republican,House
"Conaway, Mike",11500,Republican,House
"Costa, Jim",64000,Democrat,House
"Graves, Garret",86300,Republican,House
"McCaul, Michael",66500,Republican,House
"Thompson, Glenn",16500,Republican,House
"Armstrong, Kelly",54500,Republican,House
"Daines, Steven",88500,Republican,Senate
"Collins, Susan M",57700,Republican,Senate
"Gottheimer, Josh",14000,Democrat,House
"McSally, Martha",83000,Republican,Senate
"Ernst, Joni",39000,Republican,Senate
"Davis, Rodney",51500,Republican,House
"Stefanik, Elise",29500,Republican,House
"Cotton, Tom",37500,Republican,Senate
"Van Drew, Jeff",16000,Republican,House
"Sullivan, Dan",57600,Republican,Senate
"Hyde-Smith, Cindy",46000,Republican,Senate
"Risch, James E",41000,Republican,Senate
"Fitzpatrick, Brian",17500,Republican,House
"Emmer, Tom",32500,Republican,House
"Bacon, Donald John",20000,Republican,House
"Ferguson, Drew",37500,Republican,House
"Veasey, Marc",55500,Democrat,House
"McHenry, Patrick",50000,Republican,House
"Buchanan, Vernon",35000,Republican,House
"Stewart, Chris",27500,Republican,House
"Curtis, John",34500,Republican,House
"Arrington, Jodey",84300,Republican,House
"Pence, Greg",24500,Republican,House
"Balderson, Troy",35000,Republican,House
"Graham, Lindsey",58000,Republican,Senate
"Marshall, Roger",47500,Republican,House
"Katko, John",44000,Republican,House
"Barr, Andy",41500,Republican,House
"Chabot, Steve",11500,Republican,House
"Correa, Lou",15500,Democrat,House
"Zeldin, Lee",27500,Republican,House
"Gonzales, Tony",43000,Republican,House
"Nunes, Devin",42000,Republican,House
"Mast, Brian",21500,Republican,House
"McAdams, Ben",13500,Democrat,House
"Beutler, Jaime Herrera",20500,Republican,House
"Upton, Fred",35500,Republican,House
"Young, Don",27500,Republican,House
"McClintock, Tom",20000,Republican,House
"Taylor, Van",33500,Republican,House
"Lamborn, Douglas L",16500,Republican,House
"Wittman, Rob",7500,Republican,House
"Schrader, Kurt",47500,Democrat,House
"Duncan, Jeff",32500,Republican,House
"Schneider, Brad",11500,Democrat,House
"Wagner, Ann L",9500,Republican,House
"Sasse, Ben",31500,Republican,Senate
"Smucker, Lloyd",38000,Republican,House
"Budd, Ted",19000,Republican,House
"Johnson, Dusty",17500,Republican,House
"Turner, Michael R",5000,Republican,House
"Walorski, Jackie",35500,Republican,House
"Palazzo, Steven",10000,Republican,House
"Hagerty, Bill",36000,Republican,Senate
"Weber, Randy",53000,Republican,House
"Smith, Jason",50500,Republican,House
"Waltz, Michael",17500,Republican,House
"Rodgers, Cathy McMorris",49500,Republican,House
"Stivers, Steve",25000,Republican,House
"Huizenga, Bill",29000,Republican,House
"Carter, Buddy",28000,Republican,House
"Stauber, Pete",29000,Republican,House
"Gooden, Lance",57500,Republican,House
"Boyle, Brendan",5000,Democrat,House
"Granger, Kay",18000,Republican,House
"Graves, Sam",49500,Republican,House
"Lipinski, Daniel",24500,Democrat,House
"Kinzinger, Adam",29000,Republican,House
"Norcross, Don",6500,Democrat,House
"LaHood, Darin",33500,Republican,House
"Gonzalez, Anthony",26000,Republican,House
"Desaulnier, Mark",3000,Democrat,House
"Casten, Sean",4000,Democrat,House
"Newhouse, Dan",3500,Republican,House
"Gallagher, Mike",17000,Republican,House
"Burgess, Michael",37000,Republican,House
"Perlmutter, Ed",7500,Democrat,House
"Steil, Bryan",27000,Republican,House
"Shimkus, John",29500,Republican,House
"Warner, Mark",14000,Democrat,Senate
"Tipton, Scott",20500,Republican,House
"Hagedorn, Jim",22500,Republican,House
"Simpson, Mike",17500,Republican,House
"Long, Billy",36500,Republican,House
"Rice, Tom",11500,Republican,House
"Wright, Ron",16800,Republican,House
"Steube, Greg",15000,Republican,House
"Jackson Lee, Sheila",2500,Democrat,House
"Williams, Roger",37000,Republican,House
"Buck, Ken",16000,Republican,House
"Griffith, Morgan",30000,Republican,House
"Pallone, Frank Jr",15000,Democrat,House
"Smith, Adrian",15500,Republican,House
"Joyce, David P",36000,Republican,House
"Kelly, Trent",7000,Republican,House
"Hollingsworth, Trey",6500,Republican,House
"Timmons, William",12000,Republican,House
"Peterson, Collin",19000,Democrat,House
"Cardenas, Tony",3500,Democrat,House
"Crawford, Rick",17500,Republican,House
"Hill, French",28500,Republican,House
"Higgins, Clay",10000,Republican,House
"Bucshon, Larry",7500,Republican,House
"Wenstrup, Brad",19500,Republican,House
"Guest, Michael Patrick",11500,Republican,House
"Johnson, Eddie Bernice",7500,Democrat,House
"McKinley, David",32500,Republican,House
"Westerman, Bruce",41500,Republican,House
"Rutherford, John",2500,Republican,House
"Bergman, John",4500,Republican,House
"Banks, Jim",17500,Republican,House
"Babin, Brian",31500,Republican,House
"Calvert, Ken",7000,Republican,House
"Bilirakis, Gus",10500,Republican,House
"LaMalfa, Doug",2000,Republican,House
"Vela, Filemon",26000,Democrat,House
"Nehls, Troy",14500,Republican,House
"Estes, Ron",35500,Republican,House
"Aguilar, Pete",6500,Democrat,House
"Meeks, Gregory W",6500,Democrat,House
"Cooper, Jim",2500,Democrat,House
"Wilson, Joe",13500,Republican,House
"Duffy, Sean P",4500,Republican,House
"Rouzer, David",14500,Republican,House
"Cartwright, Matt",1000,Democrat,House
"Rogers, Hal",3500,Republican,House
"Cloud, Michael",28300,Republican,House
"Rush, Bobby L",2500,Democrat,House
"Diaz-Balart, Mario",5500,Republican,House
"Flores, Bill",32500,Republican,House
"Biggs, Andy",26000,Republican,House
"Lesko, Debbie",16000,Republican,House
"Marchant, Kenny",3500,Republican,House
"Bentz, Cliff",6000,Republican,House
"Vargas, Juan",3500,Democrat,House
"Foxx, Virginia",11000,Republican,House
"Cook, Paul",1000,Republican,House
"Chase, Claire",17500,Republican,House
"Neese, Terry",10000,Republican,House
"Hill, David",5000,Republican,House
"Parnell, Sean",10000,Republican,House
"Malliotakis, Nicole",5000,Republican,House
"Tuberville, Tommy",19000,Republican,Senate
"Fischbach, Michelle",5000,Republican,House
"James, John",41000,Republican,Senate
"Hendricks, Darryl",5000,No View,
"Hinson, Ashley",16000,Republican,House
"Steel, Michelle",5000,Republican,House
"Van Duyne, Beth",47000,Republican,House
"Gibbs, Kate",5000,Republican,House
"Kean, Tom",19000,Republican,House
"Kim, Young",5000,Republican,House
"Collins, Genevieve",6500,Republican,House
"Valadao, David",15000,Republican,House
"Rosendale, Matt",17500,Republican,House
"Hunt, Wesley",26300,Republican,House
"Mace, Nancy",12500,Republican,House
"Owens, Burgess",2500,Republican,House
"Taylor, Scott",2500,Republican,House
"Jackson, Ronny",22000,Republican,House
"Bennett, Lynda",7500,Republican,House
"Hoeven, John",1750,Republican,Senate
"Armstrong, Wil",1500,Republican,House
"Bishop, Dan",15500,Republican,House
"Crapo, Mike",9500,Republican,Senate
"Toomey, Pat",9500,Republican,Senate
"Coons, Chris",10000,Democrat,Senate
"Blunt, Roy",10000,Republican,Senate
"Shaheen, Jeanne",6000,Democrat,Senate
"Miller, Carol",16500,Republican,House
"Schweikert, David",12500,Republican,House
"Luetkemeyer, Blaine",6500,Republican,House
"Horsford, Steven",6500,Democrat,House
"Loeffler, Kelly",18500,Republican,Senate
"Ratcliffe, John",15000,Republican,House
"Graves, Tom",21000,Republican,House
"Comer, James",14500,Republican,House
"Neal, Richard E",20000,Democrat,House
"Moran, Jerry",10000,Republican,Senate
"Enzi, Mike",5000,Republican,Senate
"Guthrie, Brett",33500,Republican,House
"Riggleman, Denver",21000,Republican,House
"Loudermilk, Barry",7000,Republican,House
"Kustoff, David",12000,Republican,House
"Perry, Scott",11500,Republican,House
"Thompson, Mike",19000,Democrat,House
"Watkins, Steve",6000,Republican,House
"Kennedy, John",5000,Republican,Senate
"Bass, Karen",3000,Democrat,House
"Garcia, Mike",7500,Republican,House
"Hurd, Will",20500,Republican,House
"Thompson, Bennie G",2500,Democrat,House
"Olson, Pete",21000,Republican,House
"Amodei, Mark",4500,Republican,House
"Baird, Jim",7500,Republican,House
"Larson, John B",2500,Democrat,House
"Bishop, Sanford",7500,Democrat,House
"Bustos, Cheri",3500,Democrat,House
"Meadows, Mark",5000,Republican,House
"Scott, Bobby",2500,Democrat,House
"Norman, Ralph",12500,Republican,House
"Womack, Steve",13500,Republican,House
"Mooney, Alex",10500,Republican,House
"Holding, George",6500,Republican,House
"Davidson, Warren",10500,Republican,House
"Foster, Bill",2000,Democrat,House
"Rose, John",4000,Republican,House
"Donalds, Byron",9000,Republican,House
"Massie, Thomas",6500,Republican,House
"Palmer, Gary",11500,Republican,House
"Rogers, Mike D",4000,Republican,House
"Lee, Susie",1500,Democrat,House
"Issa, Darrell",11500,Republican,House
"Cawthorn, David Madison",1500,Republican,House
"Fleischmann, Chuck",1500,Republican,House
"Dingell, Debbie",1500,Democrat,House
"Moolenaar, John",1500,Republican,House
"Larsen, Rick",14000,Democrat,House
"Sires, Albio",1500,Democrat,House
