Recipient,Total,Party,Chamber
"Grassley, Chuck",26500,Republican,Senate
"Loebsack, David",4000,Democrat,House
"Kind, Ron",15000,Democrat,House
"Feingold, Russ",3000,Democrat,Senate
"Ryan, Paul",14000,Republican,House
"Obey, David R",13675,Democrat,House
"Reid, Harry",3500,Democrat,Senate
"Harkin, Tom",2500,Democrat,Senate
"Braley, Bruce",3000,Democrat,House
"Boswell, Leonard",2000,Democrat,House
"Johnson, Ron",1000,Republican,Senate
"Baldwin, Tammy",2000,Democrat,House
"Boucher, Rick",103242,Democrat,House
"Klobuchar, Amy",13000,Democrat,Senate
"Kagen, Steve",2000,Democrat,House
"Gillibrand, Kirsten",16000,Democrat,Senate
"Dingell, John D",70000,Democrat,House
"Latham, Tom",4500,Republican,House
"Petri, Tom",2000,Republican,House
"Thune, John",16500,Republican,Senate
"Dorgan, Byron L",55624,Democrat,Senate
"Duffy, Sean P",4000,Republican,House
"Rangel, Charles B",6500,Democrat,House
"King, Steven A",1000,Republican,House
"Melancon, Charles",26000,Democrat,House
"Walz, Tim",3000,Democrat,House
"Boccieri, John A",13500,Democrat,House
"Griffith, Parker",19000,Republican,House
"Lassa, Julie",2000,Democrat,House
"Space, Zack",43500,Democrat,House
"Markey, Betsy",12000,Democrat,House
"Ribble, Reid",1000,Republican,House
"Blunt, Roy",44000,Republican,House
"Emerson, Jo Ann",13000,Republican,House
"Costello, Jerry F",15500,Democrat,House
"Shimkus, John",26000,Republican,House
"Luetkemeyer, Blaine",13000,Republican,House
"McCaskill, Claire",15632,Democrat,Senate
"Schock, Aaron",9000,Republican,House
"Clay, William L Jr",9500,Democrat,House
"Graves, Sam",13500,Republican,House
"Skelton, Ike",12500,Democrat,House
"Halvorson, Deborah",13000,Democrat,House
"Hare, Phil",8000,Democrat,House
"Akin, Todd",7500,Republican,House
"Carnahan, Russ",6000,Democrat,House
"Murkowski, Lisa",63500,Independent,Senate
"Barton, Joe",67000,Republican,House
"Davis, Danny K",5000,Democrat,House
"Johnson, Timothy",5000,Republican,House
"Baucus, Max",33000,Democrat,Senate
"Clyburn, James E",69498,Democrat,House
"Butterfield, G K",23500,Democrat,House
"Roskam, Peter",6000,Republican,House
"McConnell, Mitch",10500,Republican,Senate
"Cantor, Eric",29498,Republican,House
"Lincoln, Blanche",66602,Democrat,Senate
"Hoyer, Steny H",80500,Democrat,House
"Bayh, Evan",21000,Democrat,Senate
"Barrow, John",24500,Democrat,House
"Bond, Christopher ""Kit""",3000,Republican,Senate
"Green, Gene",29375,Democrat,House
"Crapo, Mike",23500,Republican,Senate
"Isakson, Johnny",13500,Republican,Senate
"Frelinghuysen, Rodney",11000,Republican,House
"Boehner, John",65000,Republican,House
"Durbin, Dick",2000,Democrat,Senate
"Specter, Arlen",13000,Democrat,Senate
"Rush, Bobby L",7000,Democrat,House
"Matheson, Jim",22550,Democrat,House
"Casey, Bob",12500,Democrat,Senate
"Simpson, Mike",5000,Republican,House
"Upton, Fred",56000,Republican,House
"Conrad, Kent",12000,Democrat,Senate
"Mollohan, Alan B",15500,Democrat,House
"Bingaman, Jeff",18500,Democrat,Senate
"Murphy, Tim",20500,Republican,House
"Inouye, Daniel K",12000,Democrat,Senate
"Gordon, Bart",15500,Democrat,House
"Levin, Sander",17000,Democrat,House
"Graham, Lindsey",16500,Republican,Senate
"Webb, Jim",14500,Democrat,Senate
"Thompson, Bennie G",27500,Democrat,House
"Biggert, Judy",1000,Republican,House
"Kinzinger, Adam",2000,Republican,House
"Hill, Baron",23000,Democrat,House
"Landrieu, Mary L",6500,Democrat,Senate
"Neal, Richard E",23500,Democrat,House
"Hartzler, Vicky",3500,Republican,House
"Lucas, Frank D",1000,Republican,House
"Bennett, Robert F",27000,Republican,Senate
"Pryor, Mark",5000,Democrat,Senate
"Shuler, Heath",8500,Democrat,House
"Doyle, Mike",24500,Democrat,House
"Bunning, Jim",9500,Republican,Senate
"Stabenow, Debbie",14500,Democrat,Senate
"Nelson, Ben",20000,Democrat,Senate
"Bean, Melissa",6500,Democrat,House
"Warner, Mark",3000,Democrat,Senate
"Arcuri, Mike",1000,Democrat,House
"Murphy, Scott",18000,Democrat,House
"Meeks, Gregory W",5000,Democrat,House
"Stivers, Steve",17000,Republican,House
"Manchin, Joe",32000,Democrat,Senate
"Tiberi, Pat",30000,Republican,House
"Portman, Rob",39000,Republican,Senate
"Austria, Steve",17000,Republican,House
"Fisher, Lee Irwin",11000,Democrat,Senate
"Wilson, Charlie",20000,Democrat,House
"Jordan, Jim",13500,Republican,House
"Brown, Sherrod",12400,Democrat,Senate
"Ross, Mike",33500,Democrat,House
"Hershman, Brandt",8500,Republican,House
"Latta, Robert E",20000,Republican,House
"Sullivan, John",11500,Republican,House
"Rahall, Nick",11000,Democrat,House
"Oliverio, Mike",3100,Democrat,House
"Thompson, Michael Ray",7000,Republican,House
"Bennet, Michael",23000,Democrat,Senate
"Kilroy, Mary Jo",1000,Democrat,House
"Ryan, Tim",23500,Democrat,House
"Cloud, Jeff",5000,Republican,House
"Whitfield, Ed",18000,Republican,House
"Visclosky, Pete",24500,Democrat,House
"Vitter, David",17500,Republican,Senate
"Berry, Marion",11500,Democrat,House
"Voinovich, George V",10000,Republican,Senate
"Goodlatte, Bob",4000,Republican,House
"Boozman, John",6000,Republican,House
"Ortiz, Solomon P",5000,Democrat,House
"Towns, Edolphus",16000,Democrat,House
"Coats, Dan",13500,Republican,Senate
"Rogers, Mike",18000,Republican,House
"Souder, Mark E",5000,Republican,House
"Inhofe, James M",12000,Republican,Senate
"Stupak, Bart",15000,Democrat,House
"Coburn, Tom",6500,Republican,Senate
"Buyer, Steve",3500,Republican,House
"Fleming, John",5400,Republican,House
"Altmire, Jason",15500,Democrat,House
"Capito, Shelley Moore",3000,Republican,House
"McCain, John",38500,Republican,Senate
"Hall, Ralph",15500,Republican,House
"Burr, Richard",25500,Republican,Senate
"Scalise, Steve",15000,Republican,House
"Pence, Mike",3500,Republican,House
"Cuellar, Henry",6500,Democrat,House
"Fattah, Chaka",5000,Democrat,House
"Oberstar, James L",5000,Democrat,House
"McMahon, Michael E",11000,Democrat,House
"Stutzman, Marlin",4000,Republican,House
"Markey, Ed",25500,Democrat,House
"Edwards, Chet",47000,Democrat,House
"Pastor, Ed",15000,Democrat,House
"Murphy, Christopher S",12500,Democrat,House
"Rogers, Hal",5000,Republican,House
"Hensarling, Jeb",12000,Republican,House
"Mitchell, Harry",6000,Democrat,House
"Gonzalez, Charlie A",20500,Democrat,House
"Pomeroy, Earl",23500,Democrat,House
"Hurt, Robert",3000,Republican,House
"Burgess, Michael",13500,Republican,House
"Conaway, Mike",10500,Republican,House
"Bright, Bobby",16500,Democrat,House
"Sessions, Pete",19700,Republican,House
"Israel, Steve",8500,Democrat,House
"Alexander, Rodney",6500,Republican,House
"Neugebauer, Randy",6000,Republican,House
"LaTourette, Steve",11000,Republican,House
"Camp, Dave",27999,Republican,House
"Gingrey, Phil",11000,Republican,House
"Turner, Michael R",3000,Republican,House
"Boren, Dan",4500,Democrat,House
"Wills, Robbie",2000,Democrat,House
"Cornyn, John",7500,Republican,Senate
"Gohmert, Louis B Jr",6000,Republican,House
"Salazar, John",13000,Democrat,House
"Quayle, Ben",4000,Republican,House
"Myrick, Sue",16500,Republican,House
"Shadegg, John",1000,Republican,House
"Whitehouse, Sheldon",1000,Democrat,Senate
"Crowley, Joseph",17500,Democrat,House
"Calvert, Ken",1000,Republican,House
"Wyden, Ron",15000,Democrat,Senate
"Johnson, Sam",7400,Republican,House
"Rodriguez, Ciro D",7999,Democrat,House
"Shuster, Bill",13000,Republican,House
"Garrett, Scott",5500,Republican,House
"Engel, Eliot",1000,Democrat,House
"Walden, Greg",22250,Republican,House
"Udall, Mark",13500,Democrat,Senate
"Conway, Jack",5500,Democrat,Senate
"Corker, Bob",6500,Republican,Senate
