Recipient,Total,Party,Chamber
"Portman, Rob",20400,Republican,Senate
"Blunt, Roy",37500,Republican,House
"Angle, Sharron",5000,Republican,Senate
"Fiorina, Carly",12000,Republican,Senate
"Buck, Ken",15000,Republican,Senate
"Mongiardo, Daniel",5000,Democrat,Senate
"Rubio, Marco",5000,Republican,Senate
"Toomey, Pat",21000,Republican,Senate
"Kirk, Mark",22000,Republican,House
"Burr, Richard",15000,Republican,Senate
"Rossi, Dino",6000,Republican,Senate
"Templeman, Mike",5000,Republican,House
"Johnson, Ron",1000,Republican,Senate
"McKinley, David",17500,Republican,House
"Bayh, Evan",10500,Democrat,Senate
"Young, Todd",6000,Republican,House
"Sullivan, John",2000,Republican,House
"Burns, Timothy R",6000,Republican,House
"Gibbs, Bob",10000,Republican,House
"Boren, Dan",5400,Democrat,House
"Whitfield, Ed",11500,Republican,House
"Rogers, Hal",12500,Republican,House
"Manchin, Joe",16000,Democrat,Senate
"Davis, Geoff",8000,Republican,House
"Hurt, Robert",4000,Republican,House
"Chabot, Steve",2000,Republican,House
"Altmire, Jason",11000,Democrat,House
"Specter, Arlen",13000,Democrat,Senate
"Bunning, Jim",3000,Republican,Senate
"Costello, Jerry F",9500,Democrat,House
"Harris, Andy",3000,Republican,House
"Maynard, Elliott",2000,Republican,House
"Donnelly, Joe",4000,Democrat,House
"Griffith, Morgan",7000,Republican,House
"Coats, Dan",8000,Republican,Senate
"Cantor, Eric",12000,Republican,House
"Dorgan, Byron L",9000,Democrat,Senate
"Ross, Mike",6500,Democrat,House
"Boozman, John",6000,Republican,House
"Thompson, Glenn",4500,Republican,House
"Ayotte, Kelly",8000,Republican,Senate
"Lincoln, Blanche",9000,Democrat,Senate
"Guthrie, Brett",6500,Republican,House
"Bartlett, Roscoe G",1000,Republican,House
"McCaskill, Claire",11400,Democrat,Senate
"Capito, Shelley Moore",13000,Republican,House
"Lummis, Cynthia",18500,Republican,House
"Shimkus, John",15000,Republican,House
"Salazar, John",8000,Democrat,House
"Paul, Rand",9000,Republican,Senate
"Rehberg, Denny",9500,Republican,House
"Emerson, Jo Ann",7000,Republican,House
"Matheson, Jim",7000,Democrat,House
"Barr, Andy",5000,Republican,House
"Lee, Mike",5000,Republican,Senate
"Thune, John",11000,Republican,Senate
"Rockefeller, Jay",5000,Democrat,Senate
"Boucher, Rick",14500,Democrat,House
"Camp, Dave",7500,Republican,House
"Oliverio, Mike",4900,Democrat,House
"Wilson, Charlie",10000,Democrat,House
"Hoeven, John",28000,Republican,Senate
"Isakson, Johnny",7000,Republican,Senate
"Hastings, Doc",6500,Republican,House
"Murkowski, Lisa",10500,Independent,Senate
"Gardner, Cory",8000,Republican,House
"Grayson, Trey",2000,Republican,Senate
"Norton, Jane",9500,Republican,Senate
"Crapo, Mike",3500,Republican,Senate
"Bennett, Robert F",4500,Republican,Senate
"Shelby, Richard C",3500,Republican,Senate
"Barrasso, John A",3000,Republican,Senate
"Webb, Jim",8000,Democrat,Senate
"Upton, Fred",10000,Republican,House
"Bishop, Rob",3000,Republican,House
"Luetkemeyer, Blaine",3000,Republican,House
"Miller, Joe",8000,Republican,Senate
"Hartzler, Vicky",3000,Republican,House
"Pearce, Steve",4000,Republican,House
"Hultgren, Randy",3000,Republican,House
"Blackburn, Marsha",3000,Republican,House
"Frazier, Ryan",5500,Republican,House
"Chaffetz, Jason",2500,Republican,House
"Baucus, Max",3500,Democrat,Senate
"Grassley, Chuck",2000,Republican,Senate
"Barton, Joe",9000,Republican,House
"Lamborn, Douglas L",4000,Republican,House
"Moran, Jerry",2000,Republican,House
"Enzi, Mike",2000,Republican,Senate
"Schilling, Bobby",2000,Republican,House
"Kinzinger, Adam",2000,Republican,House
"Nelson, Ben",2000,Democrat,Senate
"DeMint, Jim",12000,Republican,Senate
"Herseth Sandlin, Stephanie",6000,Democrat,House
"Smith, Adrian",2000,Republican,House
"Stivers, Steve",5000,Republican,House
"Holden, Tim",3000,Democrat,House
"Stabenow, Debbie",2000,Democrat,Senate
"Graves, Sam",2000,Republican,House
"Heller, Dean",2000,Republican,House
"Long, Billy",2000,Republican,House
"Rahall, Nick",7000,Democrat,House
"Boehner, John",9000,Republican,House
"Manzullo, Don",1000,Republican,House
"Hatch, Orrin G",1000,Republican,Senate
"Melancon, Charles",3000,Democrat,House
"Peters, Gary",2000,Democrat,House
"Bucshon, Larry",1000,Republican,House
"Peterson, Collin",1000,Democrat,House
"Lungren, Dan",1000,Republican,House
"Coffman, Mike",1000,Republican,House
"Mollohan, Alan B",3000,Democrat,House
"Hensarling, Jeb",1000,Republican,House
"Fleming, John",1000,Republican,House
"Nye, Glenn",1000,Democrat,House
"Vitter, David",6000,Republican,Senate
"Akin, Todd",1000,Republican,House
"Murphy, Tim",8000,Republican,House
"Rodgers, Cathy McMorris",3000,Republican,House
"McCaul, Michael",1000,Republican,House
"Boustany, Charles Jr",1000,Republican,House
"Schock, Aaron",1000,Republican,House
"Stutzman, Marlin",1000,Republican,House
"Bingaman, Jeff",6000,Democrat,Senate
"Lewis, Jerry",1000,Republican,House
"Nunes, Devin",1000,Republican,House
"Sessions, Pete",1000,Republican,House
"Simpson, Mike",1000,Republican,House
"Miller, Candice S",1000,Republican,House
"Benishek, Dan",1000,Republican,House
"Dingell, John D",1000,Democrat,House
"Duncan, John J Jr",1000,Republican,House
"Biggert, Judy",1000,Republican,House
"Calvert, Ken",1000,Republican,House
"Pombo, Richard W",8500,Republican,House
"Young, Don",1000,Republican,House
"Gordon, Bart",1000,Democrat,House
"Tanner, John",1000,Democrat,House
"Davis, Artur",1000,Democrat,House
"Begich, Mark",2000,Democrat,Senate
"Fleischmann, Chuck",1000,Republican,House
"Fincher, Steve",1000,Republican,House
"Tester, Jon",1000,Democrat,Senate
"Murtha, John P",1600,Democrat,House
"Critz, Mark",5000,Democrat,House
"Meehan, Patrick",2000,Republican,House
"Durbin, Dick",4000,Democrat,Senate
"Doyle, Mike",1500,Democrat,House
"Casey, Bob",1000,Democrat,Senate
"Dahlkemper, Kathy",2000,Democrat,House
"Shuster, Bill",1000,Republican,House
"Renacci, Jim",10000,Republican,House
"Brown, Scott",5000,Republican,Senate
"Schmidt, Jean",4000,Republican,House
"Foxx, Virginia",4000,Republican,House
"Talent, James M",5000,Republican,Senate
"Griffin, Tim",3000,Republican,House
"Berg, Rick",7500,Republican,House
"Nunnelee, Alan",5000,Republican,House
"Ellsworth, Brad",2000,Democrat,House
"Carnahan, Robin",3500,Democrat,Senate
"Stearns, Cliff",4500,Republican,House
"Skelton, Ike",5000,Democrat,House
"Minnick, Walt",2000,Democrat,House
"Pomeroy, Earl",3500,Democrat,House
"Hoyer, Steny H",2500,Democrat,House
"Reid, Harry",2000,Democrat,Senate
"Meek, Kendrick B",1000,Democrat,House
"Brown, Sherrod",1000,Democrat,Senate
