Recipient,Total,Party,Chamber
"Perdue, David",21000,Republican,Senate
"Ribble, Reid",5500,Republican,House
"Loebsack, David",4500,Democrat,House
"Ryan, Paul",28000,Republican,House
"Pocan, Mark",6500,Democrat,House
"Grothman, Glenn S",5000,Republican,House
"Baldwin, Tammy",9000,Democrat,Senate
"Kind, Ron",20000,Democrat,House
"Braley, Bruce",3000,Democrat,House
"Grassley, Chuck",10000,Republican,Senate
"Whitfield, Ed",84500,Republican,House
"Ernst, Joni",11500,Republican,Senate
"Duffy, Sean P",11500,Republican,House
"Young, David",7500,Republican,House
"Murphy, Pat",1000,Democrat,House
"Johnson, Ron",3000,Republican,Senate
"Shimkus, John",64500,Republican,House
"Shuster, Bill",37500,Republican,House
"Latham, Tom",10000,Republican,House
"Portman, Rob",27100,Republican,Senate
"Mullin, Markwayne",6500,Republican,House
"Murray, Patty",14000,Democrat,Senate
"Walz, Tim",3000,Democrat,House
"King, Steven A",1000,Republican,House
"Murkowski, Lisa",40500,Republican,Senate
"Leibham, Joe",1000,Republican,House
"Sensenbrenner, Jim",1000,Republican,House
"Petri, Tom",1000,Republican,House
"Blunt, Roy",6000,Republican,Senate
"Wagner, Ann L",23000,Republican,House
"Graves, Sam",12500,Republican,House
"Long, Billy",23000,Republican,House
"Smith, Jason",12500,Republican,House
"Luetkemeyer, Blaine",16000,Republican,House
"Kinzinger, Adam",23000,Republican,House
"Clay, William L Jr",10000,Democrat,House
"Schock, Aaron",14000,Republican,House
"Bustos, Cheri",14000,Democrat,House
"Davis, Rodney",23500,Republican,House
"Enyart, William",9000,Democrat,House
"Olson, Pete",27499,Republican,House
"McCaskill, Claire",8000,Democrat,Senate
"Hartzler, Vicky",7000,Republican,House
"Durbin, Dick",15000,Democrat,Senate
"McConnell, Mitch",38500,Republican,Senate
"Kirk, Mark",4000,Republican,Senate
"Clyburn, James E",47000,Democrat,House
"Roskam, Peter",5000,Republican,House
"Cleaver, Emanuel",6000,Democrat,House
"Landrieu, Mary L",71500,Democrat,Senate
"Doyle, Mike",38000,Democrat,House
"Scott, Tim",30000,Republican,Senate
"Butterfield, G K",12500,Democrat,House
"Hoyer, Steny H",69250,Democrat,House
"Wyden, Ron",61500,Democrat,Senate
"Davis, Danny K",2000,Democrat,House
"McKinley, David",28000,Republican,House
"Upton, Fred",85500,Republican,House
"Pryor, Mark",34000,Democrat,Senate
"Maffei, Dan",7000,Democrat,House
"Foster, Bill",4000,Democrat,House
"Frelinghuysen, Rodney",8000,Republican,House
"Thompson, Bennie G",32000,Democrat,House
"Enzi, Mike",19500,Republican,Senate
"Guthrie, Brett",22500,Republican,House
"Richmond, Cedric",20500,Democrat,House
"Benishek, Dan",18000,Republican,House
"Stabenow, Debbie",6500,Democrat,Senate
"Barrow, John",39000,Democrat,House
"Jenkins, Lynn",10000,Republican,House
"Beatty, Joyce",29000,Democrat,House
"Barrasso, John A",31500,Republican,Senate
"Murphy, Tim",23500,Republican,House
"Hultgren, Randy",3000,Republican,House
"Southerland, Steve",11500,Republican,House
"Rogers, Mike",12500,Republican,House
"Sewell, Terri A",15000,Democrat,House
"Rahall, Nick",33000,Democrat,House
"Rush, Bobby L",6000,Democrat,House
"Ross, Dennis",7500,Republican,House
"Owens, Bill",2000,Democrat,House
"Griffith, Morgan",23000,Republican,House
"Murphy, Patrick",6000,Democrat,House
"Holding, George",10000,Republican,House
"Lance, Leonard",10500,Republican,House
"Dingell, John D",14500,Democrat,House
"Levin, Sander",19000,Democrat,House
"Terry, Lee",32500,Republican,House
"Vitter, David",23250,Republican,Senate
"Pompeo, Mike",24500,Republican,House
"Reed, Tom",12000,Republican,House
"Scalise, Steve",37000,Republican,House
"Fudge, Marcia L",21000,Democrat,House
"Stivers, Steve",23000,Republican,House
"Boehner, John",77500,Republican,House
"Capito, Shelley Moore",20500,Republican,House
"Johnson, Bill",41000,Republican,House
"Udall, Mark",19000,Democrat,Senate
"Cotton, Tom",19500,Republican,House
"Gibbs, Bob",17000,Republican,House
"Manchin, Joe",26000,Democrat,Senate
"Barton, Joe",33500,Republican,House
"Tiberi, Pat",39000,Republican,House
"Latta, Robert E",19000,Republican,House
"Rogers, Hal",12000,Republican,House
"Stutzman, Marlin",11500,Republican,House
"Coats, Dan",11000,Republican,Senate
"Mooney, Alex",5000,Republican,House
"Cornyn, John",33500,Republican,Senate
"Goodlatte, Bob",11000,Republican,House
"Cassidy, Bill",15500,Republican,House
"Lane, Charlotte",6000,Republican,House
"Jordan, Jim",13000,Republican,House
"Cantor, Eric",22125,Republican,House
"Land, Terri Lynn",12500,Republican,Senate
"Alexander, Lamar",23000,Republican,Senate
"Casey, Nick",17000,Democrat,House
"Warner, Mark",14000,Democrat,Senate
"Renacci, Jim",15500,Republican,House
"Gallego, Pete",17500,Democrat,House
"Rubio, Marco",17500,Republican,Senate
"Baucus, Max",14500,Democrat,Senate
"Camp, Dave",25500,Republican,House
"Brown, Sherrod",10500,Democrat,Senate
"Hunter, Duncan D",2500,Republican,House
"Massie, Thomas",6500,Republican,House
"Thornberry, Mac",6500,Republican,House
"Farenthold, Blake",2500,Republican,House
"Crowley, Joseph",17500,Democrat,House
"Begich, Mark",31500,Democrat,Senate
"Hurt, Robert",3000,Republican,House
"Bridenstine, James",2000,Republican,House
"Inhofe, James M",30500,Republican,Senate
"Shelby, Richard C",6500,Republican,Senate
"Harper, Gregg",30000,Republican,House
"Westerman, Bruce",2000,Republican,House
"Holloway, Clyde C",5500,Republican,House
"Fischer, Deb",4000,Republican,Senate
"Walden, Greg",37500,Republican,House
"Ryan, Tim",21500,Democrat,House
"Conaway, Mike",12500,Republican,House
"Lipinski, Daniel",3000,Democrat,House
"Fleming, John",5000,Republican,House
"Lankford, James",14000,Republican,House
"McCarthy, Kevin",39000,Republican,House
"Donnelly, Joe",7500,Democrat,Senate
"Hall, Ralph",9000,Republican,House
"Alexander, Rodney",3000,Republican,House
"Poliquin, Bruce",1000,Republican,House
"Mills, Stewart",1000,Republican,House
"Schumer, Charles E",10000,Democrat,Senate
"Simpson, Mike",25500,Republican,House
"Roberts, Pat",21000,Republican,Senate
"Heitkamp, Heidi",11000,Democrat,Senate
"Kaptur, Marcy",15000,Democrat,House
"Salmon, Matt",4000,Republican,House
"Crawford, Rick",4000,Republican,House
"Ellmers, Renee",21000,Republican,House
"Valadao, David",4500,Republican,House
"Riser, Neil",1000,Republican,House
"Witt, James Lee",2500,Democrat,House
"Visclosky, Pete",7000,Democrat,House
"Messer, Luke",8000,Republican,House
"Gohmert, Louis B Jr",7500,Republican,House
"Nolan, Rick",2000,Democrat,House
"McSally, Martha",1000,Republican,House
"Joyce, David P",12000,Republican,House
"Wilcox, Mary Rose",2000,Democrat,House
"Sessions, Jeff",16000,Republican,Senate
"Hinojosa, Ruben",1000,Democrat,House
"Morris, Jay",1500,Republican,House
"Boustany, Charles Jr",7000,Republican,House
"Peters, Gary",14000,Democrat,House
"Walberg, Tim",13000,Republican,House
"Miller, Candice S",15000,Republican,House
"Dingell, Debbie",14500,Democrat,House
"Bishop, Mike",10000,Republican,House
"Moolenaar, John",10000,Republican,House
"Kildee, Dan",10000,Democrat,House
"Trott, Dave",7500,Republican,House
"Conyers, John Jr",7500,Democrat,House
"Delaney, John K",12000,Democrat,House
"Lawrence, Brenda",7500,Democrat,House
"Huizenga, Bill",6000,Republican,House
"Green, Gene",17500,Democrat,House
"Bentivolio, Kerry",4500,Republican,House
"McCaul, Michael",17000,Republican,House
"Hobbs, Rudy",2500,Democrat,House
"Ruppersberger, Dutch",3500,Democrat,House
"Gardner, Cory",31000,Republican,House
"Tillis, Thom",15000,Republican,Senate
"Clarke, Hansen",2500,Democrat,House
"Cochran, Thad",34000,Republican,Senate
"Pastor, Ed",3500,Democrat,House
"Hagan, Kay R",5000,Democrat,Senate
"Neal, Richard E",14000,Democrat,House
"Strickland, Tony",2000,Republican,House
"Perlmutter, Ed",13000,Democrat,House
"Moore, Gwen",1500,Democrat,House
"Norcross, Don",1500,Democrat,House
"Grijalva, Raul M",1500,Democrat,House
"Sessions, Pete",10500,Republican,House
"Matheson, Jim",13000,Democrat,House
"Van Hollen, Chris",1000,Democrat,House
"Grisham, Michelle Lujan",3500,Democrat,House
"Castro, Joaquin",14000,Democrat,House
"Carney, John",3000,Democrat,House
"Flake, Jeff",4000,Republican,Senate
"Himes, Jim",2000,Democrat,House
"McIntyre, Mike",3000,Democrat,House
"Nunes, Devin",10500,Republican,House
"Edwards, Donna",1000,Democrat,House
"Blackburn, Marsha",11500,Republican,House
"Dent, Charlie",15000,Republican,House
"Fitzpatrick, Michael G",13000,Republican,House
"Nunnelee, Alan",19500,Republican,House
"Denham, Jeff",3000,Republican,House
"Booker, Cory",24000,Democrat,Senate
"Welch, Peter",6000,Democrat,House
"Pitts, Joe",16000,Republican,House
"Bilirakis, Gus",9500,Republican,House
"Tipton, Scott",9000,Republican,House
"Heinrich, Martin",10000,Democrat,Senate
"Coons, Chris",9500,Democrat,Senate
"Toomey, Pat",17500,Republican,Senate
"Graham, Lindsey",11500,Republican,Senate
"Burgess, Michael",14000,Republican,House
"Amash, Justin",1000,Republican,House
"Sheffield, Horace",500,Democrat,House
"Casey, Bob",13000,Democrat,Senate
"Pittenger, Robert",6500,Republican,House
"Mulvaney, Mick",10000,Republican,House
"Gowdy, Trey",10000,Republican,House
"Rice, Tom",10000,Republican,House
"Duncan, Jeff",8500,Republican,House
"Wilson, Joe",7000,Republican,House
"Yarmuth, John A",11500,Democrat,House
"Carson, Andre",7500,Democrat,House
"Meadows, Mark",7000,Republican,House
"McHenry, Patrick",5000,Republican,House
"Wenstrup, Brad",9750,Republican,House
"Rokita, Todd",6500,Republican,House
"Chabot, Steve",14000,Republican,House
"Nugent, Richard",6000,Republican,House
"Walorski, Jackie",6000,Republican,House
"Brooks, Susan",5000,Republican,House
"Cuellar, Henry",11500,Democrat,House
"Horsford, Steven",10000,Democrat,House
"Lee, Barbara",5000,Democrat,House
"Israel, Steve",15500,Democrat,House
"Hudson, Richard",8500,Republican,House
"Jolly, David",4500,Republican,House
"Diaz-Balart, Mario",4000,Republican,House
"Barber, Ron",6000,Democrat,House
"Young, Todd",4000,Republican,House
"Sinema, Kyrsten",4000,Democrat,House
"Schneider, Brad",3000,Democrat,House
"Daines, Steven",30500,Republican,House
"Bucshon, Larry",3500,Republican,House
"Foxx, Virginia",3500,Republican,House
"Mikulski, Barbara A",3500,Democrat,Senate
"DeSantis, Ron",3500,Republican,House
"Gerlach, Jim",13500,Republican,House
"Berger, Philip",3000,Republican,House
"Miller, Jeff",9000,Republican,House
"Rothfus, Keith J",13000,Republican,House
"Boozman, John",5000,Republican,Senate
"Brady, Kevin",13500,Republican,House
"Posey, Bill",3000,Republican,House
"Schrader, Kurt",22500,Democrat,House
"Peters, Scott",3000,Democrat,House
"Hutto, Brad",3000,Democrat,Senate
"Moran, Jerry",5000,Republican,Senate
"Adams, Alma",2000,Democrat,House
"Jackson Lee, Sheila",3500,Democrat,House
"DeGette, Diana",10000,Democrat,House
"Pelosi, Nancy",2500,Democrat,House
"Mica, John L",3000,Republican,House
"Rogers, Mike D",12000,Republican,House
"Buchanan, Vernon",4000,Republican,House
"Lee, Mike",2000,Republican,Senate
"Noem, Kristi",6250,Republican,House
"Jeffries, Hakeem",3000,Democrat,House
"Kirkpatrick, Ann",3000,Democrat,House
"Jones, Walter B Jr",2000,Republican,House
"Paul, Rand",2000,Republican,Senate
"Barr, Andy",6000,Republican,House
"Lujan, Ben Ray",15500,Democrat,House
"Yoho, Ted",2000,Republican,House
"Price, David",2000,Democrat,House
"Thune, John",6000,Republican,Senate
"Shaheen, Jeanne",3000,Democrat,Senate
"Webster, Daniel",2000,Republican,House
"Corker, Bob",2000,Republican,Senate
"Veasey, Marc",8000,Democrat,House
"Rounds, Mike",26000,Republican,Senate
"Hastings, Alcee L",2500,Democrat,House
"Heck, Joe",2000,Republican,House
"Collins, Doug",12000,Republican,House
"Radel, Trey",1500,Republican,House
"Carper, Tom",1500,Democrat,Senate
"Perry, Scott",8000,Republican,House
"Menendez, Robert",1000,Democrat,Senate
"Bishop, Sanford",11000,Democrat,House
"Ros-Lehtinen, Ileana",1000,Republican,House
"Feinstein, Dianne",1000,Democrat,Senate
"Westmoreland, Lynn A",11000,Republican,House
"Chaffetz, Jason",2000,Republican,House
"Rooney, Tom",1000,Republican,House
"Risch, James E",1000,Republican,Senate
"DelBene, Suzan",1000,Democrat,House
"Byrne, Bradley",18500,Republican,House
"Larson, John B",4000,Democrat,House
"Coble, Howard",1000,Republican,House
"Thompson, Mike",9500,Democrat,House
"Smith, Adrian",4000,Republican,House
"Kennedy, Joe III",1000,Democrat,House
"Cooper, Jim",1000,Democrat,House
"Black, Diane",1000,Republican,House
"Rouzer, David",2000,Republican,House
"Pascrell, Bill Jr",3000,Democrat,House
"Cummings, Elijah E",1000,Democrat,House
"Crenshaw, Ander ",1000,Republican,House
"Castor, Kathy",3000,Democrat,House
"Walker, Mark",1000,Republican,House
"Benacquisto, Lizbeth",1000,Republican,House
"Pallone, Frank Jr",4500,Democrat,House
"Peterson, Collin",7500,Democrat,House
"Eshoo, Anna",1000,Democrat,House
"Heller, Dean",1000,Republican,Senate
"Whitehouse, Sheldon",1000,Democrat,Senate
"Griffin, Tim",3000,Republican,House
"Beutler, Jaime Herrera",2000,Republican,House
"Wicker, Roger",1000,Republican,Senate
"Reid, Harry",8500,Democrat,Senate
"Marchant, Kenny",6999,Republican,House
"Flores, Bill",16999,Republican,House
"Williams, Roger",9999,Republican,House
"Johnson, Eddie Bernice",7500,Democrat,House
"Carter, John",7500,Republican,House
"Johnson, Jarvis",7200,Democrat,House
"Hurd, Will",7500,Republican,House
"Poe, Ted",6000,Republican,House
"Hensarling, Jeb",10000,Republican,House
"Hall, Jerry",4000,No View,
"Smith, Lamar",3500,Republican,House
"Neugebauer, Randy",7000,Republican,House
"Weber, Randy",7000,Republican,House
"Cruz, Ted",4500,Republican,Senate
"Granger, Kay",2000,Republican,House
"O'Rourke, Beto",2000,Democrat,House
"Culberson, John",2000,Republican,House
"Vela, Filemon",1000,Democrat,House
"Centilli, Doug",2000,Republican,House
"Ratcliffe, John",1000,Republican,House
"Udall, Tom",20000,Democrat,Senate
"Womack, Steve",5000,Republican,House
"Palazzo, Steven",14000,Republican,House
"Graves, Garret",2500,Republican,House
"Babin, Brian",2500,Republican,House
"Abraham, Ralph",2500,Republican,House
"Merkley, Jeff",7100,Democrat,Senate
"Kennedy, John",2500,No View,
"King, Pete",2000,Republican,House
"Clarke, Yvette D",2000,Democrat,House
"Matsui, Doris",4000,Democrat,House
"DeLauro, Rosa L",2000,Democrat,House
"Rodgers, Cathy McMorris",3000,Republican,House
"Hanna, Richard",2000,Republican,House
"Tonko, Paul",3000,Democrat,House
"Crawford, Dennis",2000,Democrat,House
"Meehan, Patrick",9500,Republican,House
"Fortenberry, Jeff",2000,Republican,House
"Courtney, Joe",2000,Democrat,House
"Schatz, Brian",1000,Democrat,Senate
"Ayotte, Kelly",4000,Republican,Senate
"Reed, Jack",1000,Democrat,Senate
"McGovern, James P",1000,Democrat,House
"Velazquez, Nydia M",1000,Democrat,House
"Grimm, Michael",1000,Republican,House
"Stockman, Steve",1000,Republican,House
"Burns, Timothy G",500,Republican,House
"McAllister, Vance",73,Republican,House
"Yoder, Kevin",5000,Republican,House
"Huelskamp, Tim",500,Republican,House
"Sullivan, Dan",10000,Republican,Senate
"Kelly, Mike",15000,Republican,House
"Thompson, Glenn",12500,Republican,House
"LoBiondo, Frank",5000,Republican,House
"Barletta, Lou",13500,Republican,House
"Turner, Michael R",3500,Republican,House
"Garrett, Scott",3000,Republican,House
"Marino, Tom",13000,Republican,House
"Brown, Scott",2500,Republican,Senate
"Payne, Donald M Jr",2500,Democrat,House
"Smith, Chris",1000,Republican,House
"Gillespie, Ed",1000,Republican,Senate
"Coleman, Bonnie",2500,Democrat,House
"Markey, Ed",10000,Democrat,Senate
"Hahn, Janice",1000,Democrat,House
"Kelly, Robin",1000,Democrat,House
"Lucas, Frank D",4000,Republican,House
"Franken, Al",3000,Democrat,Senate
"Pearce, Steve",4500,Republican,House
"Blumenauer, Earl",10000,Democrat,House
"Bonamici, Suzanne",4000,Democrat,House
"Costello, Ryan",5000,Republican,House
"Hoeven, John",8250,Republican,Senate
"Boyle, Brendan",1000,Democrat,House
"Collins, Susan M",1000,Republican,Senate
"Paulsen, Erik",5000,Republican,House
"Kingston, Jack",10000,Republican,House
"Palmer, Gary",15000,Republican,House
"Demarco, Paul",10000,Republican,House
"Woodall, Rob",10000,Republican,House
"Roby, Martha",10000,Republican,House
"Price, Tom",10000,Republican,House
"Brooks, Mo",10000,Republican,House
"Scott, David",10000,Democrat,House
"Aderholt, Robert B",10000,Republican,House
"Scott, Austin",10000,Republican,House
"Gingrey, Phil",5000,Republican,House
"Graves, Tom",7500,Republican,House
"Lewis, John",7000,Democrat,House
"Loudermilk, Barry",5000,Republican,House
"Carter, Buddy",5000,Republican,House
"Brooke, William W",5000,Republican,House
"Johnson, Hank",5000,Democrat,House
"Beason, Scott",5000,Republican,House
"Broun, Paul",5000,Republican,House
"Fincher, Chad",2500,Republican,House
"Sasse, Ben",5000,Republican,Senate
"Hice, Jody",5000,Republican,House
"Burr, Richard",3000,Republican,Senate
"Allen, Richard W",2500,Republican,House
"Wehby, Monica",2500,Republican,Senate
"Becerra, Xavier",2500,Democrat,House
"Johnson, Sam",2000,Republican,House
"Dold, Bob",2000,Republican,House
"McCain, John",1000,Republican,Senate
"Tester, Jon",4000,Democrat,Senate
"Garcia, Joe",1000,Democrat,House
"Klobuchar, Amy",7000,Democrat,Senate
"Kline, John",6000,Republican,House
"Coffman, Mike",5000,Republican,House
"Hatch, Orrin G",6000,Republican,Senate
"Emmer, Tom",2000,Republican,House
"Harkin, Tom",2000,Democrat,Senate
"McCollum, Betty",2000,Democrat,House
"Cramer, Kevin",2000,Republican,House
"Ellison, Keith",2000,Democrat,House
"Stewart, Chris",1500,Republican,House
"McNerney, Jerry",1000,Democrat,House
"Buck, Ken",1000,Republican,House
"Lamborn, Douglas L",1000,Republican,House
"Walsh, John",1000,Democrat,Senate
