Recipient,Total,Party,Chamber
"McConnell, Mitch",21000,Republican,Senate
"Barr, Andy",24500,Republican,House
"Cassidy, Bill",25000,Republican,House
"Jenkins, Evan",14000,Republican,House
"Tillis, Thom",28500,Republican,Senate
"Wehby, Monica",5000,Republican,Senate
"Capito, Shelley Moore",40000,Republican,House
"Daines, Steven",28000,Republican,House
"Davis, Rodney",24000,Republican,House
"Land, Terri Lynn",15000,Republican,Senate
"Johnson, Bill",11500,Republican,House
"Ernst, Joni",23000,Republican,Senate
"Mooney, Alex",17500,Republican,House
"Gillespie, Ed",10000,Republican,Senate
"Inhofe, James M",31000,Republican,Senate
"Byrne, Bradley",5000,Republican,House
"Gibbs, Bob",9000,Republican,House
"Schilling, Bobby",5000,Republican,House
"Bucshon, Larry",18000,Republican,House
"Pompeo, Mike",6500,Republican,House
"Rogers, Hal",23000,Republican,House
"Enyart, William",9000,Democrat,House
"Lucas, Frank D",1500,Republican,House
"McKinley, David",20500,Republican,House
"Vitter, David",15500,Republican,Senate
"Flores, Bill",1000,Republican,House
"Messer, Luke",2000,Republican,House
"Boehner, John",17500,Republican,House
"Gardner, Cory",20500,Republican,House
"Tipton, Scott",9000,Republican,House
"Enzi, Mike",26000,Republican,Senate
"Lummis, Cynthia",12500,Republican,House
"Whitfield, Ed",16000,Republican,House
"Wagner, Ann L",15500,Republican,House
"Barrasso, John A",18500,Republican,Senate
"Cantor, Eric",8025,Republican,House
"Casey, Nick",8500,Democrat,House
"Smith, Jason",9500,Republican,House
"Upton, Fred",14500,Republican,House
"Blunt, Roy",14000,Republican,Senate
"Bishop, Rob",4000,Republican,House
"Long, Billy",9000,Republican,House
"Lamborn, Douglas L",5000,Republican,House
"Landrieu, Mary L",6500,Democrat,Senate
"Chaffetz, Jason",4000,Republican,House
"Peterson, Collin",3500,Democrat,House
"Scalise, Steve",6000,Republican,House
"Cornyn, John",13000,Republican,Senate
"Terry, Lee",3000,Republican,House
"Brady, Kevin",3000,Republican,House
"Coffman, Mike",3000,Republican,House
"Benishek, Dan",3000,Republican,House
"Rounds, Mike",22500,Republican,Senate
"Zinke, Ryan K",5000,Republican,House
"Kelly, Mike",12500,Republican,House
"Heitkamp, Heidi",6500,Democrat,Senate
"Griffith, Morgan",13000,Republican,House
"Shimkus, John",8000,Republican,House
"Walorski, Jackie",3000,Republican,House
"Matheson, Jim",5000,Democrat,House
"Murphy, Tim",13000,Republican,House
"Lujan, Ben Ray",3000,Democrat,House
"Wyden, Ron",2500,Democrat,Senate
"Luetkemeyer, Blaine",2500,Republican,House
"Rothfus, Keith J",20000,Republican,House
"Stewart, Chris",2500,Republican,House
"Tiberi, Pat",2500,Republican,House
"Harris, Andy",2500,Republican,House
"Thompson, Glenn",4500,Republican,House
"Denham, Jeff",2500,Republican,House
"Barton, Joe",4500,Republican,House
"Kirk, Mark",7500,Republican,Senate
"Simpson, Mike",3000,Republican,House
"Roberts, Pat",14500,Republican,Senate
"Young, Don",2000,Republican,House
"Schock, Aaron",2000,Republican,House
"Crapo, Mike",3000,Republican,Senate
"Pryor, Mark",2000,Democrat,Senate
"Costa, Jim",2000,Democrat,House
"Scott, Tim",24500,Republican,Senate
"Sasse, Ben",15500,Republican,Senate
"Fleischmann, Chuck",2000,Republican,House
"Gallego, Pete",2000,Democrat,House
"Kinzinger, Adam",2000,Republican,House
"Alexander, Lamar",12000,Republican,Senate
"Hartzler, Vicky",3000,Republican,House
"Kingston, Jack",3500,Republican,House
"Ryan, Paul",2000,Republican,House
"Kline, John",7000,Republican,House
"Walberg, Tim",7500,Republican,House
"Guthrie, Brett",2000,Republican,House
"Massie, Thomas",2000,Republican,House
"Pitts, Joe",1500,Republican,House
"Shuster, Bill",19000,Republican,House
"McCarthy, Kevin",1500,Republican,House
"Thune, John",1500,Republican,Senate
"Rahall, Nick",1500,Democrat,House
"Camp, Dave",5500,Republican,House
"Barrow, John",1500,Democrat,House
"Lane, Charlotte",4500,Republican,House
"Bishop, Sanford",1000,Democrat,House
"Roskam, Peter",1000,Republican,House
"Calvert, Ken",1000,Republican,House
"Southerland, Steve",2000,Republican,House
"Frelinghuysen, Rodney",1000,Republican,House
"Sessions, Pete",1000,Republican,House
"Green, Gene",1000,Democrat,House
"Walden, Greg",1000,Republican,House
"Rogers, Mike",1000,Republican,House
"Olson, Pete",1000,Republican,House
"Love, Mia",1000,Republican,House
"Bost, Mike",1000,Republican,House
"Sessions, Jeff",1000,Republican,Senate
"Latham, Tom",1000,Republican,House
"Hastings, Doc",3500,Republican,House
"Boozman, John",1000,Republican,Senate
"Rodgers, Cathy McMorris",1000,Republican,House
"Bilirakis, Gus",1000,Republican,House
"Sewell, Terri A",3500,Democrat,House
"Ellmers, Renee",1000,Republican,House
"Collins, Susan M",3500,Republican,Senate
"Cole, Tom",1000,Republican,House
"Murkowski, Lisa",3500,Republican,Senate
"Schrader, Kurt",1000,Democrat,House
"Duncan, Jeff",1000,Republican,House
"Reed, Tom",1000,Republican,House
"Lankford, James",13000,Republican,House
"Johnson, Ron",1000,Republican,Senate
"Joyce, David P",3000,Republican,House
"Young, Todd",1000,Republican,House
"Fincher, Steve",1000,Republican,House
"Toomey, Pat",6000,Republican,Senate
"Duncan, John J Jr",1000,Republican,House
"Smith, Adrian",1000,Republican,House
"Rigell, Scott",1000,Republican,House
"Hultgren, Randy",1000,Republican,House
"Sullivan, Dan",16000,Republican,Senate
"Schweikert, David",1000,Republican,House
"Pearce, Steve",1000,Republican,House
"Graves, Sam",1000,Republican,House
"Heller, Dean",1000,Republican,Senate
"Stivers, Steve",2000,Republican,House
"Perdue, David",13500,Republican,Senate
"Cramer, Kevin",11000,Republican,House
"Hall, Ralph",1000,Republican,House
"McCaul, Michael",1000,Republican,House
"Risch, James E",1000,Republican,Senate
"Buck, Ken",1000,Republican,House
"Manchin, Joe",500,Democrat,Senate
"Cotton, Tom",11000,Republican,House
"Baucus, Max",6000,Democrat,Senate
"Tester, Jon",1000,Democrat,Senate
"Noem, Kristi",1000,Republican,House
"Doyle, Mike",3500,Democrat,House
"Hoeven, John",7500,Republican,Senate
"Ruppersberger, Dutch",1000,Democrat,House
"Gerlach, Jim",1000,Republican,House
"Rokita, Todd",10000,Republican,House
"Graham, Lindsey",10000,Republican,Senate
"Brown, Scott",5000,Republican,Senate
"McFadden, Mike",5000,Republican,Senate
"Cochran, Thad",15000,Republican,Senate
"Foxx, Virginia",2000,Republican,House
"Rubio, Marco",2000,Republican,Senate
"Harper, Gregg",3000,Republican,House
