Recipient,Total,Party,Chamber
"Mica, John L",15500,Republican,House
"Salmon, Matt",17500,Republican,House
"Cook, Paul",4000,Republican,House
"Price, Tom",30000,Republican,House
"Beutler, Jaime Herrera",13500,Republican,House
"Calvert, Ken",17500,Republican,House
"Walters, Mimi",32500,Republican,House
"Goodlatte, Bob",35000,Republican,House
"Collins, Susan M",23000,Republican,Senate
"Jackson Lee, Sheila",9500,Democrat,House
"Strickland, Tony",30500,Republican,House
"Chaffetz, Jason",17500,Republican,House
"LaMalfa, Doug",20000,Republican,House
"Rothfus, Keith J",29500,Republican,House
"McClintock, Tom",35000,Republican,House
"Tillis, Thom",54100,Republican,Senate
"Warner, Mark",4000,Democrat,Senate
"Aderholt, Robert B",7000,Republican,House
"Woodall, Rob",9500,Republican,House
"Meeks, Gregory W",6500,Democrat,House
"Miller, George",2000,Democrat,House
"Rogers, Mike",21000,Republican,House
"Green, Al",5500,Democrat,House
"Young, Don",17000,Republican,House
"Noem, Kristi",13500,Republican,House
"Harris, Andy",29500,Republican,House
"Bass, Karen",4000,Democrat,House
"Love, Mia",27000,Republican,House
"Vargas, Juan",2500,Democrat,House
"Desaulnier, Mark",2000,Democrat,House
"Amodei, Mark",2000,Republican,House
"Vela, Filemon",12500,Democrat,House
"Babin, Brian",21000,Republican,House
"Campbell, John",1000,Republican,House
"Byrne, Bradley",21000,Republican,House
"Rogers, Hal",24000,Republican,House
"Cramer, Kevin",51500,Republican,House
"Torres, Norma",1000,Democrat,House
"Lance, Leonard",14000,Republican,House
"Westmoreland, Lynn A",11000,Republican,House
"Massie, Thomas",18500,Republican,House
"Abraham, Ralph",7000,Republican,House
"Ros-Lehtinen, Ileana",1000,Republican,House
"Stockman, Steve",11000,Republican,House
"Alexander, Rodney",3500,Republican,House
"Labrador, Raul",13000,Republican,House
"Jolly, David",17000,Republican,House
"Grisham, Michelle Lujan",500,Democrat,House
"Smith, Adrian",11500,Republican,House
"Brown, Scott",21500,Republican,Senate
"Sullivan, Dan",34100,Republican,Senate
"McFadden, Mike",20000,Republican,Senate
"Perdue, David",37000,Republican,Senate
"Gomez, Gabriel",7500,Republican,Senate
"Wehby, Monica",27500,Republican,Senate
"Toomey, Pat",23600,Republican,Senate
